"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ESTADISTICA MATEMATICA","Aceña Gil, Víctor","2025-09-01","2347011-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aceña Gil, Víctor (2025). ESTADISTICA MATEMATICA. Universdiad Rey Juan Carlos","2025-26_2347_2347011_victor.acena (Universidad Rey Juan Carlos)"
"ESTADISTICA MATEMATICA","Aceña Gil, Víctor","2025-09-01","2299040-2299","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aceña Gil, Víctor (2025). ESTADISTICA MATEMATICA. Universdiad Rey Juan Carlos","2025-26_2299_2299040_victor.acena (Universidad Rey Juan Carlos)"
"INFERENCIA ESTADISTICA","Aceña Gil, Víctor","2025-09-01","2360014-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aceña Gil, Víctor (2025). INFERENCIA ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2360_2360014_victor.acena (Universidad Rey Juan Carlos)"
"MODELOS ESTADISTICOS PARA LA PREDICCION","Aceña Gil, Víctor","2025-09-01","2028034-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aceña Gil, Víctor (2025). MODELOS ESTADISTICOS PARA LA PREDICCION. Universdiad Rey Juan Carlos","2025-26_2028_2028034_victor.acena (Universidad Rey Juan Carlos)"
"ESTADISTICA MATEMATICA","Aceña Gil, Víctor","2025-09-01","2117018-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aceña Gil, Víctor (2025). ESTADISTICA MATEMATICA. Universdiad Rey Juan Carlos","2025-26_2117_2117018_victor.acena (Universidad Rey Juan Carlos)"
"ESTADISTICA MATEMATICA","Aceña Gil, Víctor","2025-09-01","2178039-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aceña Gil, Víctor (2025). ESTADISTICA MATEMATICA. Universdiad Rey Juan Carlos","2025-26_2178_2178039_victor.acena (Universidad Rey Juan Carlos)"
"Análisis de Datos en el Deporte","Aceña Gil, Víctor","2025-09-01","641206-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aceña Gil, Víctor (2025). Análisis de Datos en el Deporte. Universdiad Rey Juan Carlos","2025-26_6412_641206_victor.acena (Universidad Rey Juan Carlos)"
"MATEMATICA DISCRETA","Aceña Gil, Víctor","2025-09-01","2265003-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aceña Gil, Víctor (2025). MATEMATICA DISCRETA. Universdiad Rey Juan Carlos","2025-26_2265_2265003_victor.acena (Universidad Rey Juan Carlos)"
"Programación Orientada al Análisis de Datos","Aceña Gil, Víctor","2025-09-01","641204-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aceña Gil, Víctor (2025). Programación Orientada al Análisis de Datos. Universdiad Rey Juan Carlos","2025-26_6412_641204_victor.acena (Universidad Rey Juan Carlos)"
"ESTADISTICA MATEMATICA","Aceña Gil, Víctor","2025-09-01","2118018-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aceña Gil, Víctor (2025). ESTADISTICA MATEMATICA. Universdiad Rey Juan Carlos","2025-26_2118_2118018_victor.acena (Universidad Rey Juan Carlos)"
"ESTADISTICA MATEMATICA","Aceña Gil, Víctor","2025-09-01","2316039-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aceña Gil, Víctor (2025). ESTADISTICA MATEMATICA. Universdiad Rey Juan Carlos","2025-26_2316_2316039_victor.acena (Universidad Rey Juan Carlos)"
"ESTADISTICA MATEMATICA","Aceña Gil, Víctor","2025-09-01","2315039-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aceña Gil, Víctor (2025). ESTADISTICA MATEMATICA. Universdiad Rey Juan Carlos","2025-26_2315_2315039_victor.acena (Universidad Rey Juan Carlos)"
"ESTADISTICA MATEMATICA","Aceña Gil, Víctor","2025-09-01","2348039-2348","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aceña Gil, Víctor (2025). ESTADISTICA MATEMATICA. Universdiad Rey Juan Carlos","2025-26_2348_2348039_victor.acena (Universidad Rey Juan Carlos)"
"MINERIA DE DATOS","Aceña Gil, Víctor","2025-09-01","2028032-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aceña Gil, Víctor (2025). MINERIA DE DATOS. Universdiad Rey Juan Carlos","2025-26_2028_2028032_victor.acena (Universidad Rey Juan Carlos)"
