"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"LAS TIC EN LA EDUCACION","Alfaro Gimeno, César","2025-09-01","2102006-2102","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). LAS TIC EN LA EDUCACION. Universdiad Rey Juan Carlos","2025-26_2102_2102006_cesar.alfaro (Universidad Rey Juan Carlos)"
"TEORIA DE AUTOMATAS Y LENGUAJES FORMALES","Alfaro Gimeno, César","2025-09-01","2269034-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). TEORIA DE AUTOMATAS Y LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2269_2269034_cesar.alfaro (Universidad Rey Juan Carlos)"
"TEORIA DE AUTOMATAS Y LENGUAJES FORMALES","Alfaro Gimeno, César","2025-09-01","2059015-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). TEORIA DE AUTOMATAS Y LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2059_2059015_cesar.alfaro (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Alfaro Gimeno, César","2025-09-01","2173006-2173","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2025-26_2173_2173006_cesar.alfaro (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Alfaro Gimeno, César","2025-09-01","2172006-2172","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2025-26_2172_2172006_cesar.alfaro (Universidad Rey Juan Carlos)"
"LENGUAJES FORMALES","Alfaro Gimeno, César","2025-09-01","2028025-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2028_2028025_cesar.alfaro (Universidad Rey Juan Carlos)"
"LENGUAJES FORMALES","Alfaro Gimeno, César","2025-09-01","2316028-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2316_2316028_cesar.alfaro (Universidad Rey Juan Carlos)"
"Estadística (IM)","Alfaro Gimeno, César","2025-09-01","2419011-2419","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). Estadística (IM). Universdiad Rey Juan Carlos","2025-26_2419_2419011_cesar.alfaro (Universidad Rey Juan Carlos)"
"LENGUAJES FORMALES","Alfaro Gimeno, César","2025-09-01","2178047-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2178_2178047_cesar.alfaro (Universidad Rey Juan Carlos)"
"ESTADISTICA","Alfaro Gimeno, César","2025-09-01","2163020-2163","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2163_2163020_cesar.alfaro (Universidad Rey Juan Carlos)"
"LENGUAJES FORMALES","Alfaro Gimeno, César","2025-09-01","2299016-2299","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2299_2299016_cesar.alfaro (Universidad Rey Juan Carlos)"
"LENGUAJES FORMALES","Alfaro Gimeno, César","2025-09-01","2118040-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2118_2118040_cesar.alfaro (Universidad Rey Juan Carlos)"
"LENGUAJES FORMALES","Alfaro Gimeno, César","2025-09-01","2347025-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2347_2347025_cesar.alfaro (Universidad Rey Juan Carlos)"
"TEORIA DE AUTOMATAS Y LENGUAJES FORMALES","Alfaro Gimeno, César","2025-09-01","2243027-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). TEORIA DE AUTOMATAS Y LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2243_2243027_cesar.alfaro (Universidad Rey Juan Carlos)"
"TEORIA DE AUTOMATAS Y LENGUAJES FORMALES","Alfaro Gimeno, César","2025-09-01","2073034-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). TEORIA DE AUTOMATAS Y LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2073_2073034_cesar.alfaro (Universidad Rey Juan Carlos)"
"LAS TIC EN LA EDUCACION","Alfaro Gimeno, César","2025-09-01","2019006-2019","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). LAS TIC EN LA EDUCACION. Universdiad Rey Juan Carlos","2025-26_2019_2019006_cesar.alfaro (Universidad Rey Juan Carlos)"
"ESTADISTICA","Alfaro Gimeno, César","2025-09-01","2030008-2030","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alfaro Gimeno, César (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2030_2030008_cesar.alfaro (Universidad Rey Juan Carlos)"
