"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Algar Díaz, María Jesús","2025-09-01","2316001-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Algar Díaz, María Jesús (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2316_2316001_mariajesus.algar (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Algar Díaz, María Jesús","2025-09-01","2034003-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Algar Díaz, María Jesús (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2034_2034003_mariajesus.algar (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Algar Díaz, María Jesús","2025-09-01","2061009-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Algar Díaz, María Jesús (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2061_2061009_mariajesus.algar (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Algar Díaz, María Jesús","2025-09-01","2033009-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Algar Díaz, María Jesús (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2033_2033009_mariajesus.algar (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Algar Díaz, María Jesús","2025-09-01","2117011-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Algar Díaz, María Jesús (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2117_2117011_mariajesus.algar (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Algar Díaz, María Jesús","2025-09-01","2118002-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Algar Díaz, María Jesús (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2118_2118002_mariajesus.algar (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Algar Díaz, María Jesús","2025-09-01","2114007-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Algar Díaz, María Jesús (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2114_2114007_mariajesus.algar (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Algar Díaz, María Jesús","2025-09-01","2315009-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Algar Díaz, María Jesús (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2315_2315009_mariajesus.algar (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Algar Díaz, María Jesús","2025-09-01","2097011-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Algar Díaz, María Jesús (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2097_2097011_mariajesus.algar (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Algar Díaz, María Jesús","2025-09-01","2114004-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Algar Díaz, María Jesús (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2114_2114004_mariajesus.algar (Universidad Rey Juan Carlos)"
"DE MACHINE LEARNING A DEEP LEARNING: UN MODELO PARA LA CLASIFICACI ¿ON M ¿ULTIPLE CON HERENCIA","Algar Díaz, María Jesús (Tutor)","2025-07-16","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Algar Díaz, María Jesús (Tutor) (2025). DE MACHINE LEARNING A DEEP LEARNING: UN MODELO PARA LA CLASIFICACI ¿ON M ¿ULTIPLE CON HERENCIA.","-"
