"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"METODOS ESTADISTICOS DE GESTION E INVESTIGACION","Alonso Ayuso, Antonio","2025-09-01","2028016-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2025). METODOS ESTADISTICOS DE GESTION E INVESTIGACION. Universdiad Rey Juan Carlos","2025-26_2028_2028016_antonio.alonso (Universidad Rey Juan Carlos)"
"METODOS ESTADISTICOS DE GESTION E INVESTIGACION","Alonso Ayuso, Antonio","2025-09-01","2299046-2299","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2025). METODOS ESTADISTICOS DE GESTION E INVESTIGACION. Universdiad Rey Juan Carlos","2025-26_2299_2299046_antonio.alonso (Universidad Rey Juan Carlos)"
"INVESTIGACION OPERATIVA","Alonso Ayuso, Antonio","2025-09-01","2114036-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2025). INVESTIGACION OPERATIVA. Universdiad Rey Juan Carlos","2025-26_2114_2114036_antonio.alonso (Universidad Rey Juan Carlos)"
"OPTIMIZACION Y ANALISIS DE REDES","Alonso Ayuso, Antonio","2025-09-01","2347033-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2025). OPTIMIZACION Y ANALISIS DE REDES. Universdiad Rey Juan Carlos","2025-26_2347_2347033_antonio.alonso (Universidad Rey Juan Carlos)"
"METODOS ESTADISTICOS DE GESTION E INVESTIGACION","Alonso Ayuso, Antonio","2025-09-01","2178043-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2025). METODOS ESTADISTICOS DE GESTION E INVESTIGACION. Universdiad Rey Juan Carlos","2025-26_2178_2178043_antonio.alonso (Universidad Rey Juan Carlos)"
"Gestión y Planificación","Alonso Ayuso, Antonio","2025-09-01","639905-6399","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2025). Gestión y Planificación. Universdiad Rey Juan Carlos","2025-26_6399_639905_antonio.alonso (Universidad Rey Juan Carlos)"
"OPTIMIZACION Y ANALISIS DE REDES","Alonso Ayuso, Antonio","2025-09-01","2028033-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2025). OPTIMIZACION Y ANALISIS DE REDES. Universdiad Rey Juan Carlos","2025-26_2028_2028033_antonio.alonso (Universidad Rey Juan Carlos)"
"INVESTIGACION OPERATIVA","Alonso Ayuso, Antonio","2025-09-01","2034021-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2025). INVESTIGACION OPERATIVA. Universdiad Rey Juan Carlos","2025-26_2034_2034021_antonio.alonso (Universidad Rey Juan Carlos)"
"METODOS ESTADISTICOS DE GESTION E INVESTIGACION","Alonso Ayuso, Antonio","2025-09-01","2348043-2348","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2025). METODOS ESTADISTICOS DE GESTION E INVESTIGACION. Universdiad Rey Juan Carlos","2025-26_2348_2348043_antonio.alonso (Universidad Rey Juan Carlos)"
"METODOS ESTADISTICOS DE GESTION E INVESTIGACION","Alonso Ayuso, Antonio","2025-09-01","2347016-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2025). METODOS ESTADISTICOS DE GESTION E INVESTIGACION. Universdiad Rey Juan Carlos","2025-26_2347_2347016_antonio.alonso (Universidad Rey Juan Carlos)"
"A heuristic algorithm to improving the coil slitting process in the steel industry","Soto-Sanchez, Oscar; Sierra-Paradinas, Maria; Gallego, Micael; Alonso-Ayuso, Antonio; Gortazar, Francisco","2025-03-01","10.1007/s10732-024-09546-x","N","Publicaciones","Artículo","Artificial intelligence; Ciência da computação; Ciencias sociales; Computer networks and communications; Computer science, artificial intelligence; Computer science, theory & methods; Control and optimization; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Information systems; Interdisciplinar; Management science and operations research; Software","Journal Of Heuristics","0.458","-","-","-","Q2","Soto-Sanchez, Oscar; Sierra-Paradinas, Maria; Gallego, Micael; Alonso-Ayuso, Antonio; Gortazar, Francisco (2025). A heuristic algorithm to improving the coil slitting process in the steel industry. Journal Of Heuristics, 31(1), 13-. DOI: 10.1007/s10732-024-09546-x","10.1007/s10732-024-09546-x (Crossref);2-s2.0-85217792722 (Scopus);WOS:001409634400001 (WoS)"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Alonso Ayuso, Antonio","2025-01-01","1813460-4351","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Mathematical optimisation in the honeycomb cardboard industry: A model for the two-dimensional variable-sized cutting stock problem","Teran-Viadero, P; Alonso-Ayuso, A; Martin-Campo, FJ","2024-11-16","10.1016/j.ejor.2024.06.022","Y","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Administração, ciências contábeis e turismo; Biotecnología; Ciência da computação; Ciência política e relações internacionais; Ciências agrárias i; Ciências ambientais; Ciencias sociales; Computer science (all); Computer science (miscellaneous); Comunicación e información; Direito; Economia; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Farmacia; General computer science; Industrial and manufacturing engineering; Información y documentación; Information systems and management; Interdisciplinar; Management; Management science and operations research; Matemática / probabilidade e estatística; Medicina i; Modeling and simulation; Operations research & management science; Planejamento urbano e regional / demografia","European Journal Of Operational Research","2.239","-","-","-","Q1","Teran-Viadero, P; Alonso-Ayuso, A; Martin-Campo, FJ (2024). Mathematical optimisation in the honeycomb cardboard industry: A model for the two-dimensional variable-sized cutting stock problem. European Journal Of Operational Research, 319(1), 303-315. DOI: 10.1016/j.ejor.2024.06.022","10.1016/j.ejor.2024.06.022 (Crossref);2-s2.0-85197037747 (Scopus);9828673 (iMarina);WOS:001284188600001 (WoS)"
"ChatGPT's performance in university admissions tests in mathematics","Udias, A; Alonso-Ayuso, A; Alfaro, C; Algar, MJ; Cuesta, M; Fernández-Isabel, A; Gómez, J; Lancho, C; Cano, EL; de Diego, IM; Ortega, F","2024-11-01","10.29333/iejme/15517","Y","Publicaciones","Artículo","Ciências agrárias i; Ciencias sociales; Educação; Education; Education & educational research; Education, scientific disciplines; Ensino; General mathematics; Mathematics (all); Mathematics (miscellaneous); Pedagogical & educational research","International Electronic Journal Of Mathematics Education","0.111","-","-","-","Q4","Udias, A; Alonso-Ayuso, A; Alfaro, C; Algar, MJ; Cuesta, M; Fernández-Isabel, A; Gómez, J; Lancho, C; Cano, EL; de Diego, IM; Ortega, F (2024). ChatGPT's performance in university admissions tests in mathematics. International Electronic Journal Of Mathematics Education, 19(4), em0795-. DOI: 10.29333/iejme/15517","2-s2.0-85209779771 (Scopus);WOS:001362927400009 (WoS)"
"METODOS ESTADISTICOS DE GESTION E INVESTIGACION","Alonso Ayuso, Antonio","2024-09-01","2028016-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2024). METODOS ESTADISTICOS DE GESTION E INVESTIGACION. Universdiad Rey Juan Carlos","2024-25_2028_2028016_antonio.alonso (Universidad Rey Juan Carlos)"
"METODOS ESTADISTICOS DE GESTION E INVESTIGACION","Alonso Ayuso, Antonio","2024-09-01","2299046-2299","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2024). METODOS ESTADISTICOS DE GESTION E INVESTIGACION. Universdiad Rey Juan Carlos","2024-25_2299_2299046_antonio.alonso (Universidad Rey Juan Carlos)"
"OPTIMIZACION Y ANALISIS DE REDES","Alonso Ayuso, Antonio","2024-09-01","2347033-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2024). OPTIMIZACION Y ANALISIS DE REDES. Universdiad Rey Juan Carlos","2024-25_2347_2347033_antonio.alonso (Universidad Rey Juan Carlos)"
"METODOS ESTADISTICOS DE GESTION E INVESTIGACION","Alonso Ayuso, Antonio","2024-09-01","2348043-2348","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2024). METODOS ESTADISTICOS DE GESTION E INVESTIGACION. Universdiad Rey Juan Carlos","2024-25_2348_2348043_antonio.alonso (Universidad Rey Juan Carlos)"
"METODOS ESTADISTICOS DE GESTION E INVESTIGACION","Alonso Ayuso, Antonio","2024-09-01","2347016-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2024). METODOS ESTADISTICOS DE GESTION E INVESTIGACION. Universdiad Rey Juan Carlos","2024-25_2347_2347016_antonio.alonso (Universidad Rey Juan Carlos)"
"OPTIMIZACION Y ANALISIS DE REDES","Alonso Ayuso, Antonio","2024-09-01","2028033-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2024). OPTIMIZACION Y ANALISIS DE REDES. Universdiad Rey Juan Carlos","2024-25_2028_2028033_antonio.alonso (Universidad Rey Juan Carlos)"
"METODOS ESTADISTICOS DE GESTION E INVESTIGACION","Alonso Ayuso, Antonio","2024-09-01","2178043-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2024). METODOS ESTADISTICOS DE GESTION E INVESTIGACION. Universdiad Rey Juan Carlos","2024-25_2178_2178043_antonio.alonso (Universidad Rey Juan Carlos)"
"OPTIMIZACION II","Alonso Ayuso, Antonio","2024-09-01","2360019-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2024). OPTIMIZACION II. Universdiad Rey Juan Carlos","2024-25_2360_2360019_antonio.alonso (Universidad Rey Juan Carlos)"
"GESTIÓN Y PLANIFICACIÓN","Alonso Ayuso, Antonio","2024-09-01","624105-6241","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Alonso Ayuso, Antonio (2024). GESTIÓN Y PLANIFICACIÓN. Universdiad Rey Juan Carlos","2024-25_6241_624105_antonio.alonso (Universidad Rey Juan Carlos)"
