"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Andrés Espinal, Lidia","2025-09-01","2101006-2101","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2025). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2025-26_2101_2101006_lidia.andres (Universidad Rey Juan Carlos)"
"ANALISIS Y GESTION DEL RIESGO","Andrés Espinal, Lidia","2025-09-01","2285036-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2025). ANALISIS Y GESTION DEL RIESGO. Universdiad Rey Juan Carlos","2025-26_2285_2285036_lidia.andres (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Andrés Espinal, Lidia","2025-09-01","2177007-2177","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2025). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2025-26_2177_2177007_lidia.andres (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Andrés Espinal, Lidia","2025-09-01","2052010-2052","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2025). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2052_2052010_lidia.andres (Universidad Rey Juan Carlos)"
"PROTECCION DE INFRAESTRUCTURAS CRITICAS","Andrés Espinal, Lidia","2025-09-01","2285037-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2025). PROTECCION DE INFRAESTRUCTURAS CRITICAS. Universdiad Rey Juan Carlos","2025-26_2285_2285037_lidia.andres (Universidad Rey Juan Carlos)"
"PROTECCION DE INFRAESTRUCTURAS CRITICAS","Andrés Espinal, Lidia","2024-09-01","2285037-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2024). PROTECCION DE INFRAESTRUCTURAS CRITICAS. Universdiad Rey Juan Carlos","2024-25_2285_2285037_lidia.andres (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Andrés Espinal, Lidia","2024-09-01","2052010-2052","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2024). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2024-25_2052_2052010_lidia.andres (Universidad Rey Juan Carlos)"
"ANALISIS Y GESTION DEL RIESGO","Andrés Espinal, Lidia","2024-09-01","2285036-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2024). ANALISIS Y GESTION DEL RIESGO. Universdiad Rey Juan Carlos","2024-25_2285_2285036_lidia.andres (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Andrés Espinal, Lidia","2024-09-01","2177007-2177","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2024). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2024-25_2177_2177007_lidia.andres (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Andrés Espinal, Lidia","2024-09-01","2101006-2101","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2024). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2024-25_2101_2101006_lidia.andres (Universidad Rey Juan Carlos)"
"ANALISIS Y GESTION DEL RIESGO","Andrés Espinal, Lidia","2023-09-01","2285036-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2023). ANALISIS Y GESTION DEL RIESGO. Universdiad Rey Juan Carlos","2023-24_2285_2285036_lidia.andres (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Andrés Espinal, Lidia","2023-09-01","2101006-2101","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2023). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2023-24_2101_2101006_lidia.andres (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Andrés Espinal, Lidia","2023-09-01","2103006-2103","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2023). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2023-24_2103_2103006_lidia.andres (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Andrés Espinal, Lidia","2022-09-01","2101006-2101","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2022). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2022-23_2101_2101006_lidia.andres (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Andrés Espinal, Lidia","2022-09-01","2315025-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2022). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2022-23_2315_2315025_lidia.andres (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Andrés Espinal, Lidia","2022-09-01","2097041-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2022). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2022-23_2097_2097041_lidia.andres (Universidad Rey Juan Carlos)"
"BASE DE DATOS","Andrés Espinal, Lidia","2022-09-01","2265012-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2022). BASE DE DATOS. Universdiad Rey Juan Carlos","2022-23_2265_2265012_lidia.andres (Universidad Rey Juan Carlos)"
"PENTESTING","Andrés Espinal, Lidia","2022-09-01","2285034-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Andrés Espinal, Lidia (2022). PENTESTING. Universdiad Rey Juan Carlos","2022-23_2285_2285034_lidia.andres (Universidad Rey Juan Carlos)"
