"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"LOGICA","Arias Herrero, Joaquín","2025-09-01","2361003-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Arias Herrero, Joaquín (2025). LOGICA. Universdiad Rey Juan Carlos","2025-26_2361_2361003_joaquin.arias (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Arias Herrero, Joaquín","2025-09-01","2117036-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Arias Herrero, Joaquín (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2117_2117036_joaquin.arias (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Arias Herrero, Joaquín","2025-09-01","2361009-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Arias Herrero, Joaquín (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2361_2361009_joaquin.arias (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Arias Herrero, Joaquín","2025-09-01","2033028-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Arias Herrero, Joaquín (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2033_2033028_joaquin.arias (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Arias Herrero, Joaquín","2025-09-01","2114032-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Arias Herrero, Joaquín (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2114_2114032_joaquin.arias (Universidad Rey Juan Carlos)"
"LOGICA","Arias Herrero, Joaquín","2025-09-01","2285004-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Arias Herrero, Joaquín (2025). LOGICA. Universdiad Rey Juan Carlos","2025-26_2285_2285004_joaquin.arias (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Arias Herrero, Joaquín","2025-09-01","2097049-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Arias Herrero, Joaquín (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2097_2097049_joaquin.arias (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Arias Herrero, Joaquín","2025-09-01","2315032-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Arias Herrero, Joaquín (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2315_2315032_joaquin.arias (Universidad Rey Juan Carlos)"
"EVALUACIÓN Y VISUALIZACIÓN DE LA ALINEACIÓN DE VALORES EN LA ASIGNACIÓN DE PLAZAS ESCOLARES USANDO HERRAMIENTAS (LÓGICAS) DE CONSULTA","Arias Herrero, Joaquín (Tutor)","2025-06-25","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Arias Herrero, Joaquín (Tutor) (2025). EVALUACIÓN Y VISUALIZACIÓN DE LA ALINEACIÓN DE VALORES EN LA ASIGNACIÓN DE PLAZAS ESCOLARES USANDO HERRAMIENTAS (LÓGICAS) DE CONSULTA.","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Arias Herrero, Joaquín","2025-01-01","1813465-5102","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
