"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"DISEÑO DIGITAL 2D","Atauri Mezquida, David","2025-09-01","2175001-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2025). DISEÑO DIGITAL 2D. Universdiad Rey Juan Carlos","2025-26_2175_2175001_david.atauri (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE LA WEB","Atauri Mezquida, David","2025-09-01","2114014-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2025). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2025-26_2114_2114014_david.atauri (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE LA WEB","Atauri Mezquida, David","2025-09-01","2316035-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2025). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2025-26_2316_2316035_david.atauri (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE LA WEB","Atauri Mezquida, David","2025-09-01","2034015-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2025). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2025-26_2034_2034015_david.atauri (Universidad Rey Juan Carlos)"
"DISEÑO DIGITAL 2D","Atauri Mezquida, David","2025-09-01","2321017-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2025). DISEÑO DIGITAL 2D. Universdiad Rey Juan Carlos","2025-26_2321_2321017_david.atauri (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE LA WEB","Atauri Mezquida, David","2025-09-01","2118029-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2025). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2025-26_2118_2118029_david.atauri (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Atauri Mezquida, David","2025-09-01","2361019-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2361_2361019_david.atauri (Universidad Rey Juan Carlos)"
"INTELIGENCIA AMBIENTAL Y COMPUTACION UBICUA","Atauri Mezquida, David","2025-09-01","2361024-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2025). INTELIGENCIA AMBIENTAL Y COMPUTACION UBICUA. Universdiad Rey Juan Carlos","2025-26_2361_2361024_david.atauri (Universidad Rey Juan Carlos)"
"Gestión de servicios dirigida por modelos.","Atauri Mezquida, David (Investigador/a); Granada Mejía, Juan David (Investigador principal (IP)); Vara Mesa, Juan Manuel (Investigador/a); Pérez Blanco, Francisco Javier (Investigador/a); Gómez Macías, Cristian (Investigador/a)","2025-01-01","2024/SOLCON-137672","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-137672. Gestión de servicios dirigida por modelos.. Atauri Mezquida, David (Investigador/a); Granada Mejía, Juan David (Investigador principal (IP)); Vara Mesa, Juan Manuel (Investigador/a); Pérez Blanco, Francisco Javier (Investigador/a); Gómez Macías, Cristian (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3721 (Universidad Rey Juan Carlos)"
"Tramo de Investigación (Sexenio)","Atauri Mezquida, David","2024-12-31","-","-","Reconocimientos","Tramo de Investigación (Sexenio)","-","-","-","-","-","-","-","Tramo de Investigación (Sexenio) (2024)","david.atauri-sexenios (Universidad Rey Juan Carlos)"
"CREACIÓN DE UN COMPARADOR DE PRECIOS DE TELÉFONOS MÓVILES A TRAVÉS DE WEB SCRAPING","Simón de Blas, Clara (Tutor); Atauri Mezquida, David (Cotutor)","2024-12-19","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Simón de Blas, Clara (Tutor); Atauri Mezquida, David (Cotutor) (2024). CREACIÓN DE UN COMPARADOR DE PRECIOS DE TELÉFONOS MÓVILES A TRAVÉS DE WEB SCRAPING.","-"
"ANÁLISIS DE REDES SOCIALES PARA LA DETECCION DE MENORES EN LA GENERACION DE CONTENIDOS REFERENTES A AUTOLESIONES","Simón de Blas, Clara (Tutor); Atauri Mezquida, David (Cotutor)","2024-12-11","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Simón de Blas, Clara (Tutor); Atauri Mezquida, David (Cotutor) (2024). ANÁLISIS DE REDES SOCIALES PARA LA DETECCION DE MENORES EN LA GENERACION DE CONTENIDOS REFERENTES A AUTOLESIONES.","-"
"INTERACCION PERSONA-ORDENADOR","Atauri Mezquida, David","2024-09-01","2032024-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2024). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2024-25_2032_2032024_david.atauri (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Atauri Mezquida, David","2024-09-01","2113025-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2024). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2024-25_2113_2113025_david.atauri (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Atauri Mezquida, David","2024-09-01","2361019-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Atauri Mezquida, David (2024). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2024-25_2361_2361019_david.atauri (Universidad Rey Juan Carlos)"
