"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"RESTAURACIÓN AUTOMÁTICA DE POSTALES ANTIGUAS","Barreiro Garrido, Álvaro (Cotutor); Sánchez Calle, Ángel (Tutor)","2025-07-03","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (Cotutor); Sánchez Calle, Ángel (Tutor) (2025). RESTAURACIÓN AUTOMÁTICA DE POSTALES ANTIGUAS.","-"
"FUNDAMENTOS FISICOS DE LOS COMPUTADORES","Barreiro Garrido, Álvaro","2024-09-01","2032003-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2024). FUNDAMENTOS FISICOS DE LOS COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2032_2032003_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FISICA PARA VIDEOJUEGOS","Barreiro Garrido, Álvaro","2024-09-01","2265002-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2024). FISICA PARA VIDEOJUEGOS. Universdiad Rey Juan Carlos","2024-25_2265_2265002_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LOS COMPUTADORES","Barreiro Garrido, Álvaro","2024-09-01","2113003-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2024). FUNDAMENTOS FISICOS DE LOS COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2113_2113003_alvaro.barreiro (Universidad Rey Juan Carlos)"
"A Pix2Pix Architecture for Complete Offline Handwritten Text Normalization","Barreiro-Garrido, A; Ruiz-Parrado, V; Moreno, AB; Velez, JF","2024-06-01","10.3390/s24123892","Y","Publicaciones","Artículo","Analytical chemistry; Arquitetura, urbanismo e design; Astronomia / física; Atomic and molecular physics, and optics; Biochemistry; Biodiversidade; Biotecnología; Chemistry, analytical; Ciência da computação; Ciência de alimentos; Ciências agrárias i; Ciências ambientais; Ciências biológicas i; Ciências biológicas ii; Ciências biológicas iii; Educação física; Electrical and electronic engineering; Electrochemistry; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Engineering, electrical & electronic; Farmacia; Geociências; Geografía; Information systems; Instrumentation; Instruments & instrumentation; Interdisciplinar; Letras / linguística; Linguística e literatura; Matemática / probabilidade e estatística; Materiais; Medicina i; Medicina ii; Medicina iii; Medicina veterinaria; Medicine (miscellaneous); Química; Zootecnia / recursos pesqueiros","Sensors","0.764","1","-","-","Q1","Barreiro-Garrido, A; Ruiz-Parrado, V; Moreno, AB; Velez, JF (2024). A Pix2Pix Architecture for Complete Offline Handwritten Text Normalization. Sensors, 24(12), 3892-. DOI: 10.3390/s24123892","38931676 (PMID);10.3390/s24123892 (Crossref);2-s2.0-85197116694 (Scopus);38931676 (Europe PMC);38931676 (Pubmed);9815138 (iMarina);WOS:001256586200001 (WoS)"
"FUNDAMENTOS DE COMPUTADORES","Barreiro Garrido, Álvaro","2023-09-01","2315009-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2023). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2315_2315009_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FISICA PARA VIDEOJUEGOS","Barreiro Garrido, Álvaro","2023-09-01","2265002-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2023). FISICA PARA VIDEOJUEGOS. Universdiad Rey Juan Carlos","2023-24_2265_2265002_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Barreiro Garrido, Álvaro","2023-09-01","2114007-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2023). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2114_2114007_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Barreiro Garrido, Álvaro","2023-09-01","2117011-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2023). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2117_2117011_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Barreiro Garrido, Álvaro","2023-09-01","2033009-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2023). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2033_2033009_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LOS COMPUTADORES","Barreiro Garrido, Álvaro","2023-09-01","2360005-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2023). FUNDAMENTOS FISICOS DE LOS COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2360_2360005_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Barreiro Garrido, Álvaro","2023-09-01","2097011-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2023). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2097_2097011_alvaro.barreiro (Universidad Rey Juan Carlos)"
"MODELOS DE REGRESION","Barreiro Garrido, Álvaro","2023-09-01","2360018-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2023). MODELOS DE REGRESION. Universdiad Rey Juan Carlos","2023-24_2360_2360018_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LOS COMPUTADORES","Barreiro Garrido, Álvaro","2023-09-01","2032003-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2023). FUNDAMENTOS FISICOS DE LOS COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2032_2032003_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LOS COMPUTADORES","Barreiro Garrido, Álvaro","2023-09-01","2113003-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2023). FUNDAMENTOS FISICOS DE LOS COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2113_2113003_alvaro.barreiro (Universidad Rey Juan Carlos)"
"BDI-Sen: A Sentence Dataset for Clinical Symptoms of Depression","Anxo Pérez; Javier Parapar; Álvaro Barreiro; Silvia López‐Larrosa","2023-07-19","10.1145/3539618.3591905","G","Publicaciones","Conferencia Publicada","-","Proceedings Of The 46th International Acm Sigir Conference On Research And Development In Information Retrieval","-","-","-","-","-","Anxo Pérez; Javier Parapar; Álvaro Barreiro; Silvia López‐Larrosa (2023). BDI-Sen: A Sentence Dataset for Clinical Symptoms of Depression. New York: ACM","10.1145/3539618.3591905 (Crossref);W4384823130 (OpenAlex)"
"Relevance feedback for building pooled test collections","Otero, D; Parapar, J; Barreiro, A","2023-05-26","10.1177/01655515231171085","-","Publicaciones","Artículo","Administração, ciências contábeis e turismo; Ciência da computação; Ciencias sociales; Computer science, information systems; Comunicació i informació; Comunicación e información; Información y documentación; Information science & library science; Information systems; Interdisciplinar; Library and information sciences","Journal Of Information Science","0.583","-","-","-","Q1","Otero, D; Parapar, J; Barreiro, A (2023). Relevance feedback for building pooled test collections. Journal Of Information Science, (), -. DOI: 10.1177/01655515231171085","WOS:001001662400001 (WoS)"
"PsyProf: A Platform for Assisted Screening of Depression in Social Media","Perez, Anxo; Piot-Perez-Abadin, Paloma; Parapar, Javier; Barreiro, Alvaro","2023-01-01","10.1007/978-3-031-28241-6_30","N","Publicaciones","Conferencia Publicada","Administração pública e de empresas, ciências contábeis e turismo; Administração, ciências contábeis e turismo; Arquitetura e urbanismo; Arquitetura, urbanismo e design; Artes; Astronomia / física; Biodiversidade; Biotecnología; Ciência da computação; Ciências agrárias i; Ciências ambientais; Ciências biológicas i; Ciências biológicas ii; Ciências biológicas iii; Ciências sociais aplicadas i; Computer science (all); Computer science (miscellaneous); Computer science, artificial intelligence; Computer science, theory & methods; Comunicação e informação; Comunicació i informació; Direito; Educação; Educação física; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Ensino; Farmacia; General computer science; General o multidisciplinar; Geociências; Geografía; Interdisciplinar; Linguística e literatura; Matemática / probabilidade e estatística; Materiais; Medicina i; Medicina ii; Medicina iii; Medicina veterinaria; Odontología; Planejamento urbano e regional / demografia; Psicología; Química; Saúde coletiva; Theoretical computer science","Lecture Notes In Computer Science","0.606","-","-","-","Q2","Perez, Anxo; Piot-Perez-Abadin, Paloma; Parapar, Javier; Barreiro, Alvaro (2023). PsyProf: A Platform for Assisted Screening of Depression in Social Media. : Springer International Publishing AG","10.1007/978-3-031-28241-6_30 (Crossref);WOS:000995495200030 (WoS)"
"Automatic depression score estimation with word embedding models","Perez, Anxo; Parapar, Javier; Barreiro, Alvaro","2022-10-01","10.1016/j.artmed.2022.102380","N","Publicaciones","Artículo","Artificial intelligence; Ciência da computação; Computer science, artificial intelligence; Engenharias iv; Engineering, biomedical; Health informatics; Interdisciplinar; Medical informatics; Medicina i; Medicina ii; Medicine (miscellaneous); Saúde coletiva","Artificial Intelligence In Medicine","1.443","1","-","-","Q1","Perez, Anxo; Parapar, Javier; Barreiro, Alvaro (2022). Automatic depression score estimation with word embedding models. Artificial Intelligence In Medicine, 132(), 102380-. DOI: 10.1016/j.artmed.2022.102380","36207086 (PMID);36207086 (Europe PMC);9530981 (iMarina);W4293212040 (OpenAlex);WOS:000889272900003 (WoS)"
"FUNDAMENTOS DE COMPUTADORES","Barreiro Garrido, Álvaro","2022-09-01","2315009-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2022). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2022-23_2315_2315009_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LOS COMPUTADORES","Barreiro Garrido, Álvaro","2022-09-01","2032003-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2022). FUNDAMENTOS FISICOS DE LOS COMPUTADORES. Universdiad Rey Juan Carlos","2022-23_2032_2032003_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Barreiro Garrido, Álvaro","2022-09-01","2033009-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2022). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2022-23_2033_2033009_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FISICA PARA VIDEOJUEGOS","Barreiro Garrido, Álvaro","2022-09-01","2265002-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2022). FISICA PARA VIDEOJUEGOS. Universdiad Rey Juan Carlos","2022-23_2265_2265002_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Barreiro Garrido, Álvaro","2022-09-01","2061009-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2022). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2022-23_2061_2061009_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Barreiro Garrido, Álvaro","2022-09-01","2097011-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2022). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2022-23_2097_2097011_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LOS COMPUTADORES","Barreiro Garrido, Álvaro","2022-09-01","2113003-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2022). FUNDAMENTOS FISICOS DE LOS COMPUTADORES. Universdiad Rey Juan Carlos","2022-23_2113_2113003_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Barreiro Garrido, Álvaro","2022-09-01","2114007-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2022). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2022-23_2114_2114007_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Barreiro Garrido, Álvaro","2022-09-01","2117011-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2022). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2022-23_2117_2117011_alvaro.barreiro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LOS COMPUTADORES","Barreiro Garrido, Álvaro","2022-09-01","2360005-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Barreiro Garrido, Álvaro (2022). FUNDAMENTOS FISICOS DE LOS COMPUTADORES. Universdiad Rey Juan Carlos","2022-23_2360_2360005_alvaro.barreiro (Universidad Rey Juan Carlos)"
"Análisis de Texto Manuscrito para Aplicaciones Digitales de la Sociedad.","Barreiro Garrido, Álvaro (Investigador/a); Ruiz Parrado, Victoria (Investigador/a); Sánchez Calle, Ángel (Investigador principal (IP)); Moreno Díaz, Ana Belén (Investigador/a); Vélez Serrano, José Francisco (Investigador principal (IP))","2022-09-01","PID2021-124064OB-I00","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","-","-","-","-","-","-","-","Ref.:PID2021-124064OB-I00. Análisis de Texto Manuscrito para Aplicaciones Digitales de la Sociedad.. Barreiro Garrido, Álvaro (Investigador/a); Ruiz Parrado, Victoria (Investigador/a); Sánchez Calle, Ángel (Investigador principal (IP)); Moreno Díaz, Ana Belén (Investigador/a); Vélez Serrano, José Francisco (Investigador principal (IP)).  Financiadora: Agencia Estatal de Investigación  (2022-09-01 / 2025-08-31)","M2834 (Otros);M2834 (Universidad Rey Juan Carlos)"
"Handwritten Word Recognition on the Fundación-Osborne Dataset","Barreiro-Garrido, A; Ruiz-Parrado, V; Sánchez, A; Velez, JF","2022-01-01","10.1007/978-3-031-06527-9_29","-","Publicaciones","Conferencia Publicada","Administração pública e de empresas, ciências contábeis e turismo; Administração, ciências contábeis e turismo; Arquitetura e urbanismo; Arquitetura, urbanismo e design; Artes; Astronomia / física; Biodiversidade; Biotecnología; Ciência da computação; Ciências agrárias i; Ciências ambientais; Ciências biológicas i; Ciências biológicas ii; Ciências biológicas iii; Ciências sociais aplicadas i; Computer science (all); Computer science (miscellaneous); Computer science, artificial intelligence; Computer science, theory & methods; Comunicação e informação; Comunicació i informació; Direito; Educação; Educação física; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Ensino; Farmacia; General computer science; General o multidisciplinar; Geociências; Geografía; Interdisciplinar; Linguística e literatura; Matemática / probabilidade e estatística; Materiais; Medicina i; Medicina ii; Medicina iii; Medicina veterinaria; Odontología; Planejamento urbano e regional / demografia; Psicología; Química; Saúde coletiva; Theoretical computer science","Lecture Notes In Computer Science","0.320","-","-","-","Q3","Barreiro-Garrido, A; Ruiz-Parrado, V; Sánchez, A; Velez, JF (2022). Handwritten Word Recognition on the Fundación-Osborne Dataset. : Springer Science and Business Media Deutschland GmbH","2-s2.0-85132123156 (Scopus);WOS:000874447200029 (WoS)"
