"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Beltrán Royo, César","2025-09-01","2117024-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Beltrán Royo, César (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2117_2117024_cesar.beltran (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Beltrán Royo, César","2025-09-01","2033017-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Beltrán Royo, César (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2033_2033017_cesar.beltran (Universidad Rey Juan Carlos)"
"ESTADISTICA","Beltrán Royo, César","2025-09-01","2114011-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Beltrán Royo, César (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2114_2114011_cesar.beltran (Universidad Rey Juan Carlos)"
"ESTADISTICA","Beltrán Royo, César","2025-09-01","2034011-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Beltrán Royo, César (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2034_2034011_cesar.beltran (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Beltrán Royo, César","2025-09-01","2316018-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Beltrán Royo, César (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2316_2316018_cesar.beltran (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Beltrán Royo, César","2025-09-01","2061017-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Beltrán Royo, César (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2061_2061017_cesar.beltran (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Beltrán Royo, César","2025-09-01","2118023-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Beltrán Royo, César (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2118_2118023_cesar.beltran (Universidad Rey Juan Carlos)"
"ESTADISTICA","Beltrán Royo, César","2025-09-01","2118001-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Beltrán Royo, César (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2118_2118001_cesar.beltran (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Beltrán Royo, César","2025-09-01","2114017-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Beltrán Royo, César (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2114_2114017_cesar.beltran (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Beltrán Royo, César","2025-09-01","2034017-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Beltrán Royo, César (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2034_2034017_cesar.beltran (Universidad Rey Juan Carlos)"
