"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"IMPLEMENTACIÓN DE SENSORES CON MODELOS DIGITAL TWIN EN UNA PLATAFORMA DE AUTOMATIZACIÓN HOME ASSISTANT","Fernández Gil, Alberto (Cotutor); Bernabé Sánchez, Iván (Tutor)","2025-09-27","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Fernández Gil, Alberto (Cotutor); Bernabé Sánchez, Iván (Tutor) (2025). IMPLEMENTACIÓN DE SENSORES CON MODELOS DIGITAL TWIN EN UNA PLATAFORMA DE AUTOMATIZACIÓN HOME ASSISTANT.","-"
"AMPLIACION DE REDES DE COMPUTADORES","Bernabé Sánchez, Iván","2025-09-01","2113027-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Bernabé Sánchez, Iván (2025). AMPLIACION DE REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2113_2113027_ivan.bernabe (Universidad Rey Juan Carlos)"
"REPRESENTACION DE CONOCIMIENTO Y RAZONAMIENTO I","Bernabé Sánchez, Iván","2025-09-01","2361025-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Bernabé Sánchez, Iván (2025). REPRESENTACION DE CONOCIMIENTO Y RAZONAMIENTO I. Universdiad Rey Juan Carlos","2025-26_2361_2361025_ivan.bernabe (Universidad Rey Juan Carlos)"
"SISTEMAS BASADOS EN CONOCIMIENTO","Bernabé Sánchez, Iván","2025-09-01","2059032-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Bernabé Sánchez, Iván (2025). SISTEMAS BASADOS EN CONOCIMIENTO. Universdiad Rey Juan Carlos","2025-26_2059_2059032_ivan.bernabe (Universidad Rey Juan Carlos)"
"SISTEMAS INTELIGENTES","Bernabé Sánchez, Iván","2025-09-01","2032030-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Bernabé Sánchez, Iván (2025). SISTEMAS INTELIGENTES. Universdiad Rey Juan Carlos","2025-26_2032_2032030_ivan.bernabe (Universidad Rey Juan Carlos)"
"AMPLIACION DE REDES DE COMPUTADORES","Bernabé Sánchez, Iván","2025-09-01","2032021-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Bernabé Sánchez, Iván (2025). AMPLIACION DE REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2032_2032021_ivan.bernabe (Universidad Rey Juan Carlos)"
"SISTEMAS INTELIGENTES","Bernabé Sánchez, Iván","2025-09-01","2321046-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Bernabé Sánchez, Iván (2025). SISTEMAS INTELIGENTES. Universdiad Rey Juan Carlos","2025-26_2321_2321046_ivan.bernabe (Universidad Rey Juan Carlos)"
"SEMINARIOS SOBRE INVESTIGACIÓN EN INTELIGENCIA ARTIFICIAL PARA EL SECTOR DE LA ENERGÍA Y LAS INFRAES","Bernabé Sánchez, Iván","2025-09-01","635511-6355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Bernabé Sánchez, Iván (2025). SEMINARIOS SOBRE INVESTIGACIÓN EN INTELIGENCIA ARTIFICIAL PARA EL SECTOR DE LA ENERGÍA Y LAS INFRAES. Universdiad Rey Juan Carlos","2025-26_6355_635511_ivan.bernabe (Universidad Rey Juan Carlos)"
"GESTIÓN Y DIRECCIÓN DE PROYECTOS","Bernabé Sánchez, Iván","2025-09-01","2175036-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Bernabé Sánchez, Iván (2025). GESTIÓN Y DIRECCIÓN DE PROYECTOS. Universdiad Rey Juan Carlos","2025-26_2175_2175036_ivan.bernabe (Universidad Rey Juan Carlos)"
"APLICACIONES INTELIGENTES EN ENERGÍAS RENOVABLES","Bernabé Sánchez, Iván","2025-09-01","635507-6355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Bernabé Sánchez, Iván (2025). APLICACIONES INTELIGENTES EN ENERGÍAS RENOVABLES. Universdiad Rey Juan Carlos","2025-26_6355_635507_ivan.bernabe (Universidad Rey Juan Carlos)"
