"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INTRODUCCION A LA PROGRAMACION","Borrás Gené, Oriol","2025-09-01","2034004-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Borrás Gené, Oriol (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2034_2034004_oriol.borras (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Borrás Gené, Oriol","2025-09-01","2316002-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Borrás Gené, Oriol (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2316_2316002_oriol.borras (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Borrás Gené, Oriol","2025-09-01","2118004-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Borrás Gené, Oriol (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2118_2118004_oriol.borras (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Borrás Gené, Oriol","2025-09-01","2043010-2043","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Borrás Gené, Oriol (2025). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2043_2043010_oriol.borras (Universidad Rey Juan Carlos)"
"INNOVACIÓN EDUCATIVA Y TIC APLICADAS A LA ENSEÑANZA DE LA INFORMÁTICA Y LA TECNOLOGÍA","Borrás Gené, Oriol","2025-09-01","638803-6388","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Borrás Gené, Oriol (2025). INNOVACIÓN EDUCATIVA Y TIC APLICADAS A LA ENSEÑANZA DE LA INFORMÁTICA Y LA TECNOLOGÍA. Universdiad Rey Juan Carlos","2025-26_6388_638803_oriol.borras (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Borrás Gené, Oriol","2025-09-01","2114005-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Borrás Gené, Oriol (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2114_2114005_oriol.borras (Universidad Rey Juan Carlos)"
"Módulo 2.INVESTIGACIÓN POTENCIADA MENDIANTE INTELIGENCIA ARTIFICIAL","Borrás Gené, Oriol","2025-09-01","477402-4774","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Borrás Gené, Oriol (2025). Módulo 2.INVESTIGACIÓN POTENCIADA MENDIANTE INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_4774_477402_oriol.borras (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Borrás Gené, Oriol","2025-09-01","2160008-2160","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Borrás Gené, Oriol (2025). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2160_2160008_oriol.borras (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Borrás Gené, Oriol","2025-09-01","2008019-2008","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Borrás Gené, Oriol (2025). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2008_2008019_oriol.borras (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Borrás Gené, Oriol","2025-09-01","2103006-2103","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Borrás Gené, Oriol (2025). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2025-26_2103_2103006_oriol.borras (Universidad Rey Juan Carlos)"
"INNOVACIÓN EDUCATIVA Y TICs APLICADAS A LA ENSEÑANZA DE LA INFORMÁTICA Y LA TECNOLOGÍA","Borrás Gené, Oriol","2025-09-01","618207-6182","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Borrás Gené, Oriol (2025). INNOVACIÓN EDUCATIVA Y TICs APLICADAS A LA ENSEÑANZA DE LA INFORMÁTICA Y LA TECNOLOGÍA. Universdiad Rey Juan Carlos","2025-26_6182_618207_oriol.borras (Universidad Rey Juan Carlos)"
"EMOTIONAL INTELLIGENCE IN EARLY CHILDHOOD EDUCATION THROUGH ICT","Borrás Gené, Oriol (Tutor)","2025-07-03","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Borrás Gené, Oriol (Tutor) (2025). EMOTIONAL INTELLIGENCE IN EARLY CHILDHOOD EDUCATION THROUGH ICT.","-"
