"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Pose-guided token selection for the recognition of activities of daily living","Pizarro, Ricardo; Valle, Roberto; Buenaposada, Jose M; Bergasa, Luis M; Baumela, Luis","2025-10-01","10.1016/j.imavis.2025.105686","N","Publicaciones","Artículo","Artes / música; Biotecnología; Ciência da computação; Ciências biológicas i; Computer science, artificial intelligence; Computer science, software engineering; Computer science, software, graphics, programming; Computer science, theory & methods; Computer vision and pattern recognition; Direito; Electrical and electronic engineering; Engenharias iv; Engineering, electrical & electronic; Interdisciplinar; Matemática / probabilidade e estatística; Optics; Química; Signal processing","Image And Vision Computing","0.791","-","-","-","Q1","Pizarro, Ricardo; Valle, Roberto; Buenaposada, Jose M; Bergasa, Luis M; Baumela, Luis (2025). Pose-guided token selection for the recognition of activities of daily living. Image And Vision Computing, 162(), 105686-. DOI: 10.1016/j.imavis.2025.105686","10383801 (iMarina);2-s2.0-105012617533 (Scopus);WOS:001547156400001 (WoS)"
"VISION ARTIFICIAL","Buenaposada Biencinto, José Miguel","2025-09-01","2113046-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Buenaposada Biencinto, José Miguel (2025). VISION ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2113_2113046_josemiguel.buenaposada (Universidad Rey Juan Carlos)"
"VISION ARTIFICIAL","Buenaposada Biencinto, José Miguel","2025-09-01","2059034-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Buenaposada Biencinto, José Miguel (2025). VISION ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2059_2059034_josemiguel.buenaposada (Universidad Rey Juan Carlos)"
"VISION ARTIFICIAL","Buenaposada Biencinto, José Miguel","2025-09-01","2033034-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Buenaposada Biencinto, José Miguel (2025). VISION ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2033_2033034_josemiguel.buenaposada (Universidad Rey Juan Carlos)"
"VISION ARTIFICIAL","Buenaposada Biencinto, José Miguel","2025-09-01","2321056-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Buenaposada Biencinto, José Miguel (2025). VISION ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2321_2321056_josemiguel.buenaposada (Universidad Rey Juan Carlos)"
"VISION ARTIFICIAL","Buenaposada Biencinto, José Miguel","2025-09-01","2114047-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Buenaposada Biencinto, José Miguel (2025). VISION ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2114_2114047_josemiguel.buenaposada (Universidad Rey Juan Carlos)"
"APRENDIZAJE AUTOMATICO II","Buenaposada Biencinto, José Miguel","2025-09-01","2361022-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Buenaposada Biencinto, José Miguel (2025). APRENDIZAJE AUTOMATICO II. Universdiad Rey Juan Carlos","2025-26_2361_2361022_josemiguel.buenaposada (Universidad Rey Juan Carlos)"
"INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL","Buenaposada Biencinto, José Miguel","2025-09-01","623017-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Buenaposada Biencinto, José Miguel (2025). INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_6230_623017_josemiguel.buenaposada (Universidad Rey Juan Carlos)"
"VISIÓN TRIDIMENSIONAL","Buenaposada Biencinto, José Miguel","2025-09-01","623009-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Buenaposada Biencinto, José Miguel (2025). VISIÓN TRIDIMENSIONAL. Universdiad Rey Juan Carlos","2025-26_6230_623009_josemiguel.buenaposada (Universidad Rey Juan Carlos)"
"VISION ARTIFICIAL","Buenaposada Biencinto, José Miguel","2025-09-01","2032040-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Buenaposada Biencinto, José Miguel (2025). VISION ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2032_2032040_josemiguel.buenaposada (Universidad Rey Juan Carlos)"
