"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Cabello Pardos, Enrique","2025-09-01","2034013-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabello Pardos, Enrique (2025). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2034_2034013_enrique.cabello (Universidad Rey Juan Carlos)"
"SEGURIDAD EN SISTEMAS DE INFORMACIÓN","Cabello Pardos, Enrique","2025-09-01","609505-6095","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabello Pardos, Enrique (2025). SEGURIDAD EN SISTEMAS DE INFORMACIÓN. Universdiad Rey Juan Carlos","2025-26_6095_609505_enrique.cabello (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA INFORMATICA","Cabello Pardos, Enrique","2025-09-01","2316009-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabello Pardos, Enrique (2025). INTRODUCCION A LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2316_2316009_enrique.cabello (Universidad Rey Juan Carlos)"
"SEGURIDAD Y PRIVACIDAD DE DATOS","Cabello Pardos, Enrique","2025-09-01","2360031-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabello Pardos, Enrique (2025). SEGURIDAD Y PRIVACIDAD DE DATOS. Universdiad Rey Juan Carlos","2025-26_2360_2360031_enrique.cabello (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA INFORMATICA","Cabello Pardos, Enrique","2025-09-01","2034009-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabello Pardos, Enrique (2025). INTRODUCCION A LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2034_2034009_enrique.cabello (Universidad Rey Juan Carlos)"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Cabello Pardos, Enrique","2025-09-01","2118015-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabello Pardos, Enrique (2025). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2118_2118015_enrique.cabello (Universidad Rey Juan Carlos)"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Cabello Pardos, Enrique","2025-09-01","2316012-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabello Pardos, Enrique (2025). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2316_2316012_enrique.cabello (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA INFORMATICA","Cabello Pardos, Enrique","2025-09-01","2118011-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabello Pardos, Enrique (2025). INTRODUCCION A LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2118_2118011_enrique.cabello (Universidad Rey Juan Carlos)"
"SEGURIDAD EN SISTEMAS DE INFORMACIÓN","Cabello Pardos, Enrique","2024-09-01","609505-6095","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabello Pardos, Enrique (2024). SEGURIDAD EN SISTEMAS DE INFORMACIÓN. Universdiad Rey Juan Carlos","2024-25_6095_609505_enrique.cabello (Universidad Rey Juan Carlos)"
"Facial mask-wearing prediction and adaptive gender classification using convolutional neural networks","Oulad-Kaddour M; Haddadou H; Palacios-Alonso D; Conde C; Cabello E","2024-01-01","10.4108/eetinis.v11i2.4318","O","Publicaciones","Otro tipo de publicación en revista","Computer networks and communications; Computer science applications; Control and systems engineering; Information systems","Eai Endorsed Transactions On Industrial Networks And Intelligent Systems","0.411","-","-","-","Q3","Oulad-Kaddour M; Haddadou H; Palacios-Alonso D; Conde C; Cabello E (2024). Facial mask-wearing prediction and adaptive gender classification using convolutional neural networks. Eai Endorsed Transactions On Industrial Networks And Intelligent Systems, 11(2), 1-13. DOI: 10.4108/eetinis.v11i2.4318","2-s2.0-85192078901 (Scopus)"
