"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL","Cabido Valladolid, Raúl","2025-09-01","623017-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2025). INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_6230_623017_raul.cabido (Universidad Rey Juan Carlos)"
"LENGUAJES DE PROGRAMACION","Cabido Valladolid, Raúl","2025-09-01","2032026-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2025). LENGUAJES DE PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2032_2032026_raul.cabido (Universidad Rey Juan Carlos)"
"LENGUAJES DE PROGRAMACION","Cabido Valladolid, Raúl","2025-09-01","2113029-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2025). LENGUAJES DE PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2113_2113029_raul.cabido (Universidad Rey Juan Carlos)"
"PROCESADORES GRAFICOS AVANZADOS","Cabido Valladolid, Raúl","2025-09-01","2265033-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2025). PROCESADORES GRAFICOS AVANZADOS. Universdiad Rey Juan Carlos","2025-26_2265_2265033_raul.cabido (Universidad Rey Juan Carlos)"
"PROCESADORES GRAFICOS AVANZADOS","Cabido Valladolid, Raúl","2025-09-01","2321030-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2025). PROCESADORES GRAFICOS AVANZADOS. Universdiad Rey Juan Carlos","2025-26_2321_2321030_raul.cabido (Universidad Rey Juan Carlos)"
"PROCESADORES GRAFICOS AVANZADOS","Cabido Valladolid, Raúl","2025-09-01","2175033-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2025). PROCESADORES GRAFICOS AVANZADOS. Universdiad Rey Juan Carlos","2025-26_2175_2175033_raul.cabido (Universidad Rey Juan Carlos)"
"ROBOTICA","Cabido Valladolid, Raúl","2025-09-01","2361028-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2025). ROBOTICA. Universdiad Rey Juan Carlos","2025-26_2361_2361028_raul.cabido (Universidad Rey Juan Carlos)"
"PROCESAMIENTO DEL LENGUAJE NATURAL I","Cabido Valladolid, Raúl","2025-09-01","2361026-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2025). PROCESAMIENTO DEL LENGUAJE NATURAL I. Universdiad Rey Juan Carlos","2025-26_2361_2361026_raul.cabido (Universidad Rey Juan Carlos)"
"ANONIMIZACIÓN DE INFORMES MÉDICOS MEDIANTE LLMS","Cabido Valladolid, Raúl (Tutor)","2025-07-16","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (Tutor) (2025). ANONIMIZACIÓN DE INFORMES MÉDICOS MEDIANTE LLMS.","-"
"SISTEMA DE RE-IDENTIFICACIÓN DE PERSONAS CON GALERÍA AUTO-ADAPTATIVA EN TIEMPO REAL PARA ENTORNOS REALES DE MUNDO ABIERTO.","Cabido Valladolid, Raúl (Tutor)","2025-06-23","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (Tutor) (2025). SISTEMA DE RE-IDENTIFICACIÓN DE PERSONAS CON GALERÍA AUTO-ADAPTATIVA EN TIEMPO REAL PARA ENTORNOS REALES DE MUNDO ABIERTO..","-"
"A parametric synthetic data generator for training learning-based sperm analysis systems","Hernandez-Ferrandiz, Daniel; Pantrigo, Juan J; Cabido, Raul","2025-05-01","10.1016/j.eswa.2025.126614","N","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Administração, ciências contábeis e turismo; Arquitetura, urbanismo e design; Artificial intelligence; Astronomia / física; Biodiversidade; Biotecnología; Ciência da computação; Ciências agrárias i; Ciências ambientais; Ciências biológicas i; Ciências biológicas ii; Ciências biológicas iii; Ciências sociais aplicadas i; Ciencias sociales; Computer science applications; Computer science, artificial intelligence; Direito; Economia; Educação; Enfermagem; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Engineering (all); Engineering (miscellaneous); Engineering, electrical & electronic; Farmacia; General engineering; Geociências; Interdisciplinar; Matemática / probabilidade e estatística; Materiais; Medicina i; Medicina ii; Medicina iii; Operations research & management science; Química","Expert Systems With Applications","1.854","-","-","-","Q1","Hernandez-Ferrandiz, Daniel; Pantrigo, Juan J; Cabido, Raul (2025). A parametric synthetic data generator for training learning-based sperm analysis systems. Expert Systems With Applications, 271(), 126614-. DOI: 10.1016/j.eswa.2025.126614","10.1016/j.eswa.2025.126614 (Crossref);10285592 (iMarina);2-s2.0-85216846279 (Scopus);W4407064642 (OpenAlex);WOS:001422989900001 (WoS)"
"DETECCION AUTOMATICA DE ALERGIAS MEDICAMENTOSAS","Cabido Valladolid, Raúl (Cotutor); Montalvo Herranz, María del Soto (Tutor)","2025-04-07","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (Cotutor); Montalvo Herranz, María del Soto (Tutor) (2025). DETECCION AUTOMATICA DE ALERGIAS MEDICAMENTOSAS.","-"
"EVALUACION DE TECNICAS DE SIMILITUD DE TEXTO PARA SU APLICACION AL AMBITO DOCENTE","Cabido Valladolid, Raúl (Cotutor); Montalvo Herranz, María del Soto (Tutor)","2025-01-23","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (Cotutor); Montalvo Herranz, María del Soto (Tutor) (2025). EVALUACION DE TECNICAS DE SIMILITUD DE TEXTO PARA SU APLICACION AL AMBITO DOCENTE. Universdiad Rey Juan Carlos","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Cabido Valladolid, Raúl","2025-01-01","1813475-4823","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Simulación eficiente de fuentes móviles de NOx mediante Box-sources en gemelos digitales de microclimas urbanos.","Concha Gómez, David (Investigador principal (IP)); Cabido Valladolid, Raúl (Investigador/a); Moreno San Segundo, José Ángel (Investigador principal (IP)); Pantrigo Fernández, Juan José (Investigador/a); Sanz Montemayor, Antonio (Investigador/a)","2025-01-01","2024/SOLCON-135859","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-135859. Simulación eficiente de fuentes móviles de NOx mediante Box-sources en gemelos digitales de microclimas urbanos.. Concha Gómez, David (Investigador principal (IP)); Cabido Valladolid, Raúl (Investigador/a); Moreno San Segundo, José Ángel (Investigador principal (IP)); Pantrigo Fernández, Juan José (Investigador/a); Sanz Montemayor, Antonio (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3713 (Universidad Rey Juan Carlos)"
"SISTEMA DE AYUDA A LA PREDICCION DE INFECCION POR VIH MEDIANTE EL ANALISIS AUTOMATICO DE NOTAS CLINICAS","Cabido Valladolid, Raúl (Cotutor); Montalvo Herranz, María del Soto (Tutor)","2024-12-19","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (Cotutor); Montalvo Herranz, María del Soto (Tutor) (2024). SISTEMA DE AYUDA A LA PREDICCION DE INFECCION POR VIH MEDIANTE EL ANALISIS AUTOMATICO DE NOTAS CLINICAS.","-"
"ACELERACIÓN DE CÓMPUTO CFD AERODINÁMICO A TRAVÉS DE LA EMULACIÓN DE LA GEOMETRÍA CON FUENTES PUNTUALES","Moreno San Segundo, José Ángel (Cotutor); Cabido Valladolid, Raúl (Tutor)","2024-10-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Moreno San Segundo, José Ángel (Cotutor); Cabido Valladolid, Raúl (Tutor) (2024). ACELERACIÓN DE CÓMPUTO CFD AERODINÁMICO A TRAVÉS DE LA EMULACIÓN DE LA GEOMETRÍA CON FUENTES PUNTUALES.","-"
"ACELERACIÓN DE CÓMPUTO CFD AERODINÁMICO A TRAVÉS DE LA EMULACIÓN DE LA GEOMETRÍA CON FUENTES PUNTUALES","Cabido Valladolid, Raúl (Tutor); Moreno San Segundo, José Ángel (Cotutor)","2024-10-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (Tutor); Moreno San Segundo, José Ángel (Cotutor) (2024). ACELERACIÓN DE CÓMPUTO CFD AERODINÁMICO A TRAVÉS DE LA EMULACIÓN DE LA GEOMETRÍA CON FUENTES PUNTUALES.","-"
"PROCESADORES GRAFICOS AVANZADOS","Cabido Valladolid, Raúl","2024-09-01","2321030-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2024). PROCESADORES GRAFICOS AVANZADOS. Universdiad Rey Juan Carlos","2024-25_2321_2321030_raul.cabido (Universidad Rey Juan Carlos)"
"PROCESADORES GRAFICOS AVANZADOS","Cabido Valladolid, Raúl","2024-09-01","2175033-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2024). PROCESADORES GRAFICOS AVANZADOS. Universdiad Rey Juan Carlos","2024-25_2175_2175033_raul.cabido (Universidad Rey Juan Carlos)"
"INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL","Cabido Valladolid, Raúl","2024-09-01","623017-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2024). INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL. Universdiad Rey Juan Carlos","2024-25_6230_623017_raul.cabido (Universidad Rey Juan Carlos)"
"PROCESADORES GRAFICOS AVANZADOS","Cabido Valladolid, Raúl","2024-09-01","2265033-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2024). PROCESADORES GRAFICOS AVANZADOS. Universdiad Rey Juan Carlos","2024-25_2265_2265033_raul.cabido (Universidad Rey Juan Carlos)"
"LENGUAJES DE PROGRAMACION","Cabido Valladolid, Raúl","2024-09-01","2032026-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2024). LENGUAJES DE PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2032_2032026_raul.cabido (Universidad Rey Juan Carlos)"
"LENGUAJES DE PROGRAMACION","Cabido Valladolid, Raúl","2024-09-01","2113029-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2024). LENGUAJES DE PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2113_2113029_raul.cabido (Universidad Rey Juan Carlos)"
"API REST PARA CONSULTA DE PARQUES NACIONALES PYTHON FLASK Y SQLITE 3","Cabido Valladolid, Raúl (Tutor)","2024-07-19","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (Tutor) (2024). API REST PARA CONSULTA DE PARQUES NACIONALES PYTHON FLASK Y SQLITE 3.","-"
"ACELERACIÓN DE SIMULACIÓN DE FLUIDOS 3D CON CUDA Y SU INTEGRACIÓN EN MOTORES GRÁFICOS","Concha Gómez, David (Cotutor); Cabido Valladolid, Raúl (Tutor)","2024-07-18","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Concha Gómez, David (Cotutor); Cabido Valladolid, Raúl (Tutor) (2024). ACELERACIÓN DE SIMULACIÓN DE FLUIDOS 3D CON CUDA Y SU INTEGRACIÓN EN MOTORES GRÁFICOS.","-"
"SISTEMA DE TELEMETRÍA EN TIEMPO REAL ORIENTADO A VEHÍCULOS DE FORMULA STUDENT","Cabido Valladolid, Raúl (Tutor); Montalvo Herranz, María del Soto (Cotutor)","2024-07-04","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (Tutor); Montalvo Herranz, María del Soto (Cotutor) (2024). SISTEMA DE TELEMETRÍA EN TIEMPO REAL ORIENTADO A VEHÍCULOS DE FORMULA STUDENT.","-"
"APLICACIÓN WEB BASADA EN EL FRAMEWORK DJANGO PARA LA GESTIÓN DE CREDENCIALES","Cabido Valladolid, Raúl (Tutor)","2024-01-25","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (Tutor) (2024). APLICACIÓN WEB BASADA EN EL FRAMEWORK DJANGO PARA LA GESTIÓN DE CREDENCIALES. Universdiad Rey Juan Carlos","TFG_2113043_a.valtierra.2017_94dd3f7895b6250df02a8a9759aece04 (Universidad Rey Juan Carlos)"
"Estudio sobre el uso de la IA generativa en clase en la enseñanza de laprogramación","Michel Maes; Soto Montalvo Herranz; Raul Cabido Valladolid; David Concha; Iván Chicano","2024-01-01","-","-","Publicaciones","Capítulos de Libro","-","Libro De Actas Del I Congreso En Innovación Docente De Las Universidades Madrileñas: Madrid. Universidad Autónoma De Madrid, 3 Y 4 De Octubre De 2024","-","-","-","-","-","Michel Maes; Soto Montalvo Herranz; Raul Cabido Valladolid; David Concha; Iván Chicano (2024). Estudio sobre el uso de la IA generativa en clase en la enseñanza de laprogramación. En . Libro De Actas Del I Congreso En Innovación Docente De Las Universidades Madrileñas: Madrid. Universidad Autónoma De Madrid, 3 Y 4 De Octubre De 2024 (pp. 35-42). Madrid: UAM","9827187ARTLIB (Dialnet)"
"INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL","Cabido Valladolid, Raúl","2023-09-01","623017-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2023). INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL. Universdiad Rey Juan Carlos","2023-24_6230_623017_raul.cabido (Universidad Rey Juan Carlos)"
"LENGUAJES DE PROGRAMACION","Cabido Valladolid, Raúl","2023-09-01","2113029-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cabido Valladolid, Raúl (2023). LENGUAJES DE PROGRAMACION. Universdiad Rey Juan Carlos","2023-24_2113_2113029_raul.cabido (Universidad Rey Juan Carlos)"
