"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"MODELADO GEOMETRICO","Cano Cancela, Javier Fernando","2025-09-01","2321006-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2025). MODELADO GEOMETRICO. Universdiad Rey Juan Carlos","2025-26_2321_2321006_javier.cano (Universidad Rey Juan Carlos)"
"MODELADO GEOMETRICO","Cano Cancela, Javier Fernando","2025-09-01","2265009-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2025). MODELADO GEOMETRICO. Universdiad Rey Juan Carlos","2025-26_2265_2265009_javier.cano (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS","Cano Cancela, Javier Fernando","2025-09-01","2178013-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2025). FUNDAMENTOS FISICOS. Universdiad Rey Juan Carlos","2025-26_2178_2178013_javier.cano (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS","Cano Cancela, Javier Fernando","2025-09-01","2299010-2299","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2025). FUNDAMENTOS FISICOS. Universdiad Rey Juan Carlos","2025-26_2299_2299010_javier.cano (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS","Cano Cancela, Javier Fernando","2025-09-01","2028008-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2025). FUNDAMENTOS FISICOS. Universdiad Rey Juan Carlos","2025-26_2028_2028008_javier.cano (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS","Cano Cancela, Javier Fernando","2025-09-01","2347008-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2025). FUNDAMENTOS FISICOS. Universdiad Rey Juan Carlos","2025-26_2347_2347008_javier.cano (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS","Cano Cancela, Javier Fernando","2025-09-01","2348013-2348","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2025). FUNDAMENTOS FISICOS. Universdiad Rey Juan Carlos","2025-26_2348_2348013_javier.cano (Universidad Rey Juan Carlos)"
"MODELADO GEOMETRICO","Cano Cancela, Javier Fernando","2025-09-01","2175009-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2025). MODELADO GEOMETRICO. Universdiad Rey Juan Carlos","2025-26_2175_2175009_javier.cano (Universidad Rey Juan Carlos)"
"Simulación y Metaheurísticas","Cano Cancela, Javier Fernando","2025-09-01","639908-6399","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2025). Simulación y Metaheurísticas. Universdiad Rey Juan Carlos","2025-26_6399_639908_javier.cano (Universidad Rey Juan Carlos)"
"SIMULACIÓN DE SISTEMAS DINÁMICOS. MOVIMIENTO DEL PÉNDULO SIMPLE","Cano Cancela, Javier Fernando (Tutor)","2025-07-04","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (Tutor) (2025). SIMULACIÓN DE SISTEMAS DINÁMICOS. MOVIMIENTO DEL PÉNDULO SIMPLE.","-"
"SIMULACIÓN DE SISTEMAS DINÁMICOS. ESTUDIO DEL MOVIMIENTO DE CAÍDA LIBRE EN PRESENCIA DE ROZAMIENTO CON EL FLUIDO CIRCUNDANTE","Cano Cancela, Javier Fernando (Tutor)","2025-07-03","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (Tutor) (2025). SIMULACIÓN DE SISTEMAS DINÁMICOS. ESTUDIO DEL MOVIMIENTO DE CAÍDA LIBRE EN PRESENCIA DE ROZAMIENTO CON EL FLUIDO CIRCUNDANTE.","-"
"Miembro. Programa de Doctorado en Ciencias","Cano Cancela, Javier Fernando","2025-01-01","1813204-4161","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Cano Cancela, Javier Fernando","2025-01-01","1813480-4161","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Evaluation of stress and anxiety levels on science and engineering undergraduate students in spain when facing written assessments guides for positive interventions","de Blas, CS; Rojas, K; Sipols, AEG; Alonso, SH; Castellanos, ME; Cano, J; Córdoba, C","2024-11-01","10.1016/j.lmot.2024.102058","-","Publicaciones","Artículo","Biodiversidade; Ciências biológicas ii; Ciencias sociales; Developmental and educational psychology; Educació; Educación; Education; Experimental and cognitive psychology; Health (social science); Interdisciplinar; Medicina veterinaria; Neuropsychology and physiological psychology; Pedagogical & educational research; Psicología; Psychology; Psychology, biological; Psychology, experimental","Learning And Motivation","0.458","-","-","-","Q2","de Blas, CS; Rojas, K; Sipols, AEG; Alonso, SH; Castellanos, ME; Cano, J; Córdoba, C (2024). Evaluation of stress and anxiety levels on science and engineering undergraduate students in spain when facing written assessments guides for positive interventions. Learning And Motivation, 88(), 102058-. DOI: 10.1016/j.lmot.2024.102058","10186849 (iMarina);2-s2.0-85206071921 (Scopus);WOS:001336104900001 (WoS)"
"Reconocimiento, Acreditacion Docente o Referencias","Cano Cancela, Javier Fernando","2024-09-30","-","-","Reconocimientos","Reconocimiento, Acreditacion Docente o Referencias","-","-","-","-","-","-","-","Reconocimiento, Acreditacion Docente o Referencias (2024)","javier.cano-quinquenios (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS","Cano Cancela, Javier Fernando","2024-09-01","2299010-2299","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2024). FUNDAMENTOS FISICOS. Universdiad Rey Juan Carlos","2024-25_2299_2299010_javier.cano (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS","Cano Cancela, Javier Fernando","2024-09-01","2028008-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2024). FUNDAMENTOS FISICOS. Universdiad Rey Juan Carlos","2024-25_2028_2028008_javier.cano (Universidad Rey Juan Carlos)"
"MODELADO GEOMETRICO","Cano Cancela, Javier Fernando","2024-09-01","2175009-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2024). MODELADO GEOMETRICO. Universdiad Rey Juan Carlos","2024-25_2175_2175009_javier.cano (Universidad Rey Juan Carlos)"
"MODELADO GEOMETRICO","Cano Cancela, Javier Fernando","2024-09-01","2321006-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2024). MODELADO GEOMETRICO. Universdiad Rey Juan Carlos","2024-25_2321_2321006_javier.cano (Universidad Rey Juan Carlos)"
"MODELADO GEOMETRICO","Cano Cancela, Javier Fernando","2024-09-01","2265009-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2024). MODELADO GEOMETRICO. Universdiad Rey Juan Carlos","2024-25_2265_2265009_javier.cano (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS","Cano Cancela, Javier Fernando","2024-09-01","2348013-2348","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2024). FUNDAMENTOS FISICOS. Universdiad Rey Juan Carlos","2024-25_2348_2348013_javier.cano (Universidad Rey Juan Carlos)"
"SIMULACIÓN Y METAHEURÍSTICAS","Cano Cancela, Javier Fernando","2024-09-01","624108-6241","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2024). SIMULACIÓN Y METAHEURÍSTICAS. Universdiad Rey Juan Carlos","2024-25_6241_624108_javier.cano (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS","Cano Cancela, Javier Fernando","2024-09-01","2347008-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2024). FUNDAMENTOS FISICOS. Universdiad Rey Juan Carlos","2024-25_2347_2347008_javier.cano (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS","Cano Cancela, Javier Fernando","2024-09-01","2178013-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2024). FUNDAMENTOS FISICOS. Universdiad Rey Juan Carlos","2024-25_2178_2178013_javier.cano (Universidad Rey Juan Carlos)"
"MECÁNICAS DE AJEDREZ","Cano Cancela, Javier Fernando (Tutor)","2024-07-05","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (Tutor) (2024). MECÁNICAS DE AJEDREZ.","-"
"Parole Board Decision-Making using Adversarial Risk Analysis","Joshi, C; Nel, C; Cano, J; Polaschek, DLL","2024-07-02","10.1080/00031305.2024.2303416","-","Publicaciones","Artículo","Ciencias sociales; General mathematics; Matemática / probabilidade e estatística; Mathematics (all); Mathematics (miscellaneous); Statistics & probability; Statistics and probability; Statistics, probability and uncertainty","American Statistician","0.775","-","-","-","Q1","Joshi, C; Nel, C; Cano, J; Polaschek, DLL (2024). Parole Board Decision-Making using Adversarial Risk Analysis. American Statistician, 78(3), 345-358. DOI: 10.1080/00031305.2024.2303416","2-s2.0-85185464288 (Scopus);WOS:001161146800001 (WoS)"
"Modeling the Propagation of Infectious Diseases across the Air Transport Network: A Bayesian Approach","Corte, PQ; Cano, J; Ayra, ES; Joshi, C; Comendador, VFG","2024-04-01","10.3390/math12081241","Y","Publicaciones","Artículo","Astronomia / física; Computer science (miscellaneous); Engineering (miscellaneous); General mathematics; Mathematics; Mathematics (all); Mathematics (miscellaneous); Química","Mathematics","0.498","-","-","-","Q2","Corte, PQ; Cano, J; Ayra, ES; Joshi, C; Comendador, VFG (2024). Modeling the Propagation of Infectious Diseases across the Air Transport Network: A Bayesian Approach. Mathematics, 12(8), 1241-. DOI: 10.3390/math12081241","2-s2.0-85192200109 (Scopus);9801692 (iMarina);WOS:001210214100001 (WoS)"
"FUNDAMENTOS FISICOS","Cano Cancela, Javier Fernando","2023-09-01","2348013-2348","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2023). FUNDAMENTOS FISICOS. Universdiad Rey Juan Carlos","2023-24_2348_2348013_javier.cano (Universidad Rey Juan Carlos)"
"MODELADO GEOMETRICO","Cano Cancela, Javier Fernando","2023-09-01","2265009-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2023). MODELADO GEOMETRICO. Universdiad Rey Juan Carlos","2023-24_2265_2265009_javier.cano (Universidad Rey Juan Carlos)"
"MODELADO GEOMETRICO","Cano Cancela, Javier Fernando","2023-09-01","2175009-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2023). MODELADO GEOMETRICO. Universdiad Rey Juan Carlos","2023-24_2175_2175009_javier.cano (Universidad Rey Juan Carlos)"
"MODELADO GEOMETRICO","Cano Cancela, Javier Fernando","2023-09-01","2321006-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2023). MODELADO GEOMETRICO. Universdiad Rey Juan Carlos","2023-24_2321_2321006_javier.cano (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS","Cano Cancela, Javier Fernando","2023-09-01","2299010-2299","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2023). FUNDAMENTOS FISICOS. Universdiad Rey Juan Carlos","2023-24_2299_2299010_javier.cano (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS","Cano Cancela, Javier Fernando","2023-09-01","2028008-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2023). FUNDAMENTOS FISICOS. Universdiad Rey Juan Carlos","2023-24_2028_2028008_javier.cano (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS","Cano Cancela, Javier Fernando","2023-09-01","2178013-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2023). FUNDAMENTOS FISICOS. Universdiad Rey Juan Carlos","2023-24_2178_2178013_javier.cano (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS","Cano Cancela, Javier Fernando","2023-09-01","2347008-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2023). FUNDAMENTOS FISICOS. Universdiad Rey Juan Carlos","2023-24_2347_2347008_javier.cano (Universidad Rey Juan Carlos)"
"SIMULACIÓN Y METAHEURÍSTICAS","Cano Cancela, Javier Fernando","2023-09-01","624108-6241","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (2023). SIMULACIÓN Y METAHEURÍSTICAS. Universdiad Rey Juan Carlos","2023-24_6241_624108_javier.cano (Universidad Rey Juan Carlos)"
"APLICACIÓN SHINY PARA EL ANÁLISIS DE EMISIONES CONTAMINANTES DEBIDAS A OPERACIONES DE RODAJE EN AEROPUERTOS","Cano Cancela, Javier Fernando (Tutor)","2023-07-03","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cano Cancela, Javier Fernando (Tutor) (2023). APLICACIÓN SHINY PARA EL ANÁLISIS DE EMISIONES CONTAMINANTES DEBIDAS A OPERACIONES DE RODAJE EN AEROPUERTOS. Universidad Rey Juan Carlos","TFG_2315048_i.iscar.2018_95f5fb8be8c1a11243e66db1cb024a08 (Universidad Rey Juan Carlos)"
