"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"DISEÑO Y ARQUITECTURA DEL SOFTWARE","Capilla Sevilla, Rafael","2025-09-01","2034024-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2025). DISEÑO Y ARQUITECTURA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2034_2034024_rafael.capilla (Universidad Rey Juan Carlos)"
"DISEÑO Y ARQUITECTURA DEL SOFTWARE","Capilla Sevilla, Rafael","2025-09-01","2316036-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2025). DISEÑO Y ARQUITECTURA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2316_2316036_rafael.capilla (Universidad Rey Juan Carlos)"
"AMPLIACION DE REDES DE COMPUTADORES","Capilla Sevilla, Rafael","2025-09-01","2113027-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2025). AMPLIACION DE REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2113_2113027_rafael.capilla (Universidad Rey Juan Carlos)"
"AMPLIACION DE REDES DE COMPUTADORES","Capilla Sevilla, Rafael","2025-09-01","2032021-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2025). AMPLIACION DE REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2032_2032021_rafael.capilla (Universidad Rey Juan Carlos)"
"DISEÑO Y ARQUITECTURA DEL SOFTWARE","Capilla Sevilla, Rafael","2025-09-01","2118030-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2025). DISEÑO Y ARQUITECTURA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2118_2118030_rafael.capilla (Universidad Rey Juan Carlos)"
"DISEÑO Y ARQUITECTURA DEL SOFTWARE","Capilla Sevilla, Rafael","2025-09-01","2114028-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2025). DISEÑO Y ARQUITECTURA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2114_2114028_rafael.capilla (Universidad Rey Juan Carlos)"
"AMPLIACION DE REDES DE COMPUTADORES","Capilla Sevilla, Rafael","2025-09-01","2321038-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2025). AMPLIACION DE REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2321_2321038_rafael.capilla (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Capilla Sevilla, Rafael","2025-09-01","2361023-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2361_2361023_rafael.capilla (Universidad Rey Juan Carlos)"
"A Roadmap for Integrating Sustainability into Software Engineering Education","Moreira, Ana; Lago, Patricia; Heldal, Rogardt; Betz, Stefanie; Brooks, Ian; Capilla, Rafael; Constantin, Vlad; Duboc, Leticia; Fernandes, Joao Paulo; Leifler, Ola; Nguyen, Ngoc-Thanh; Oyedeji, Shola; Penzenstadler, Birgit; Peters, Anne-Kathrin; Porras, Jari; Venters, Colin C","2025-06-01","10.1145/3708526","N","Publicaciones","Artículo","Ciência da computação; Computer science, software engineering; Engenharias iii; Software","Acm Transactions On Software Engineering And Methodology","1.283","-","-","-","Q1","Moreira, Ana; Lago, Patricia; Heldal, Rogardt; Betz, Stefanie; Brooks, Ian; Capilla, Rafael; Constantin, Vlad; Duboc, Leticia; Fernandes, Joao Paulo;  (2025). A Roadmap for Integrating Sustainability into Software Engineering Education. Acm Transactions On Software Engineering And Methodology, 34(5), 139-. DOI: 10.1145/3708526","10.1145/3708526 (Crossref);10294454 (iMarina);W4405543550 (OpenAlex);WOS:001505551000020 (WoS)"
"Digitalization of Smart Ecosystems","Ocampo, Alexis; Antonino, Pablo Oliveira; Capilla, Rafael; Nakagawa, Elisa Yumi","2025-03-01","10.1109/MS.2024.3521126","N","Publicaciones","Editorial","Biotecnología; Ciência da computação; Computer science, software engineering; Computer science, software, graphics, programming; Interdisciplinar; Software","Ieee Software","0.556","-","-","-","Q2","Ocampo, Alexis; Antonino, Pablo Oliveira; Capilla, Rafael; Nakagawa, Elisa Yumi (2025). Digitalization of Smart Ecosystems. Ieee Software, 42(2), 33-37. DOI: 10.1109/MS.2024.3521126","10.1109/ms.2024.3521126 (Crossref);2-s2.0-105001040101 (Scopus);W4407450119 (OpenAlex);WOS:001422962200002 (WoS)"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Capilla Sevilla, Rafael","2025-01-01","1813482-4549","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"INGENIERIA DEL SOFTWARE","Capilla Sevilla, Rafael","2024-09-01","2361023-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2024). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2361_2361023_rafael.capilla (Universidad Rey Juan Carlos)"
"AMPLIACION DE REDES DE COMPUTADORES","Capilla Sevilla, Rafael","2024-09-01","2321038-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2024). AMPLIACION DE REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2321_2321038_rafael.capilla (Universidad Rey Juan Carlos)"
"AMPLIACION DE REDES DE COMPUTADORES","Capilla Sevilla, Rafael","2024-09-01","2113027-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2024). AMPLIACION DE REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2113_2113027_rafael.capilla (Universidad Rey Juan Carlos)"
"DISEÑO Y ARQUITECTURA DEL SOFTWARE","Capilla Sevilla, Rafael","2024-09-01","2034024-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2024). DISEÑO Y ARQUITECTURA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2034_2034024_rafael.capilla (Universidad Rey Juan Carlos)"
"DISEÑO Y ARQUITECTURA DEL SOFTWARE","Capilla Sevilla, Rafael","2024-09-01","2316036-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2024). DISEÑO Y ARQUITECTURA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2316_2316036_rafael.capilla (Universidad Rey Juan Carlos)"
"AMPLIACION DE REDES DE COMPUTADORES","Capilla Sevilla, Rafael","2024-09-01","2032021-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2024). AMPLIACION DE REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2032_2032021_rafael.capilla (Universidad Rey Juan Carlos)"
"DISEÑO Y ARQUITECTURA DEL SOFTWARE","Capilla Sevilla, Rafael","2024-09-01","2114028-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2024). DISEÑO Y ARQUITECTURA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2114_2114028_rafael.capilla (Universidad Rey Juan Carlos)"
"DISEÑO Y ARQUITECTURA DEL SOFTWARE","Capilla Sevilla, Rafael","2024-09-01","2118030-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Capilla Sevilla, Rafael (2024). DISEÑO Y ARQUITECTURA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2118_2118030_rafael.capilla (Universidad Rey Juan Carlos)"
"Can instability variations warn developers when open-source projects boost?","Capilla, R; Salamanca, V; Valdezate, A; Robles, G","2024-07-01","10.1007/s10664-024-10482-4","Y","Publicaciones","Artículo","Biotecnología; Ciência da computação; Ciências ambientais; Computer science, software engineering; Engenharias iii; Engenharias iv; Software","Empirical Software Engineering","0.895","-","-","-","Q1","Capilla, R; Salamanca, V; Valdezate, A; Robles, G (2024). Can instability variations warn developers when open-source projects boost?. Empirical Software Engineering, 29(4), 97-. DOI: 10.1007/s10664-024-10482-4","10.1007/s10664-024-10482-4 (Crossref);2-s2.0-85195920701 (Scopus);WOS:001248208700003 (WoS)"
"Sustainability competencies and skills in software engineering: An industry perspective","Heldal, R; Nguyen, NT; Moreira, A; Lago, P; Duboc, L; Betz, S; Coroama, VC; Penzenstadler, B; Porras, J; Capilla, R; Brooks, I; Oyedeji, S; Venters, CC","2024-05-01","10.1016/j.jss.2024.111978","Y","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Ciência da computação; Ciências ambientais; Computer science, software engineering; Computer science, software, graphics, programming; Computer science, theory & methods; Educação física; Engenharias iii; Engenharias iv; Hardware and architecture; Information systems; Interdisciplinar; Medicina i; Software","Journal Of Systems And Software","0.975","-","-","-","Q1","Heldal, R; Nguyen, NT; Moreira, A; Lago, P; Duboc, L; Betz, S; Coroama, VC; Penzenstadler, B; Porras, J; Capilla, R; Brooks, I; Oyedeji, S; Venters, C (2024). Sustainability competencies and skills in software engineering: An industry perspective. Journal Of Systems And Software, 211(), 111978-. DOI: 10.1016/j.jss.2024.111978","2-s2.0-85184784505 (Scopus);WOS:001183529300001 (WoS)"
"Sustainability in Computing Education: A Systematic Literature Review","Peters, AK; Capilla, R; Coroama, VC; Heldal, R; Lago, P; Leifler, O; Moreira, A; Fernandes, JP; Penzenstadler, B; Porras, J; Venters, CC","2024-03-01","10.1145/3639060","Y","Publicaciones","Review","Ciencias sociales; Computer science (all); Computer science (miscellaneous); Education; Education, scientific disciplines; Engenharias iii; Engenharias iv; General computer science","Acm Transactions On Computing Education","0.784","-","-","33","Q1","Peters, AK; Capilla, R; Coroama, VC; Heldal, R; Lago, P; Leifler, O; Moreira, A; Fernandes, JP; Penzenstadler, B; Porras, J; Venters, CC (2024). Sustainability in Computing Education: A Systematic Literature Review. Acm Transactions On Computing Education, 24(1), 13-. DOI: 10.1145/3639060","10.1145/3639060 (Crossref);2-s2.0-85191023041 (Scopus);6709840332426081945 (Google Scholar);6709840332426081945 (Google Scholar PUBID);WOS:001193671100013 (WoS)"
"Understanding Cost Dynamics of Serverless Computing: An Empirical Study","Hamza, M; Akbar, MA; Capilla, R","2024-01-01","10.1007/978-3-031-53227-6_32","Y","Publicaciones","Conferencia Publicada","Business and international management; Ciência da computação; Ciencias sociales; Control and systems engineering; Engenharias i; Engenharias iii; Information systems; Information systems and management; Interdisciplinar; Management information systems; Modeling and simulation","Lecture Notes In Business Information Processing","0.262","-","-","-","Q3","Hamza, M; Akbar, MA; Capilla, R (2024). Understanding Cost Dynamics of Serverless Computing: An Empirical Study. Oslo: Springer Nature","10.1007/978-3-031-53227-6_32 (Crossref);2-s2.0-85188691048 (Scopus);9798666 (iMarina);WOS:001264471100032 (WoS)"
"A Road Less Travelled and Beyond: Towards a Roadmap for Integrating Sustainability into Computing Education","A Moreira; O Leifler; S Betz; I Brooks; R Capilla; VC Coroama; L Duboc;","2024-01-01","-","-","Publicaciones","Artículo","-","Arxiv Preprint Arxiv:","-","-","-","1","-","A Moreira; O Leifler; S Betz; I Brooks; R Capilla; VC Coroama; L Duboc;  (2024). A Road Less Travelled and Beyond: Towards a Roadmap for Integrating Sustainability into Computing Education. Arxiv Preprint Arxiv:, :2406.18945(), -","2654108306806937544 (Google Scholar);2654108306806937544 (Google Scholar PUBID)"
