"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"CONSTRUCCIÓN DE UN SIMULADOR FERROVIARIO","Casado Ceballos, Alejandra (Cotutor); Sánchez-Oro Calvo, Jesús (Tutor)","2025-07-22","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Casado Ceballos, Alejandra (Cotutor); Sánchez-Oro Calvo, Jesús (Tutor) (2025). CONSTRUCCIÓN DE UN SIMULADOR FERROVIARIO.","-"
"ALGORITMOS PARA UNA SIMULACIÓN FERROVIARIA","Casado Ceballos, Alejandra (Cotutor); Sánchez-Oro Calvo, Jesús (Tutor)","2025-07-22","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Casado Ceballos, Alejandra (Cotutor); Sánchez-Oro Calvo, Jesús (Tutor) (2025). ALGORITMOS PARA UNA SIMULACIÓN FERROVIARIA.","-"
"METAHEURÍSTICAS PARA LA RESOLUCIÓN DEL MIDS: GRASP Y DYNAMIC PATH RELINKING","Casado Ceballos, Alejandra (Cotutor); Sánchez-Oro Calvo, Jesús (Tutor)","2025-07-08","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Casado Ceballos, Alejandra (Cotutor); Sánchez-Oro Calvo, Jesús (Tutor) (2025). METAHEURÍSTICAS PARA LA RESOLUCIÓN DEL MIDS: GRASP Y DYNAMIC PATH RELINKING.","-"
"METAHEURÍSTICAS PARA LA RESOLUCIÓN DEL RLPRF: GRASP E ITERATED GREEDY","Casado Ceballos, Alejandra (Cotutor); Sánchez-Oro Calvo, Jesús (Tutor)","2025-07-08","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Casado Ceballos, Alejandra (Cotutor); Sánchez-Oro Calvo, Jesús (Tutor) (2025). METAHEURÍSTICAS PARA LA RESOLUCIÓN DEL RLPRF: GRASP E ITERATED GREEDY.","-"
"Heuristics for the weighted total domination problem","Casado, Alejandra; Sanchez-Oro, Jesus; Martinez-Gavara, Anna","2025-02-10","10.1007/s11750-025-00695-1","N","Publicaciones","Artículo","Ciencias sociales; Discrete mathematics and combinatorics; Engenharias iii; Information systems and management; Interdisciplinar; Management science and operations research; Matemática / probabilidade e estatística; Modeling and simulation; Operations research & management science; Statistics and probability","Top","0.657","-","-","-","Q2","Casado, Alejandra; Sanchez-Oro, Jesus; Martinez-Gavara, Anna (2025). Heuristics for the weighted total domination problem. Top, 33(Extra 2), 395-436. DOI: 10.1007/s11750-025-00695-1","10.1007/s11750-025-00695-1 (Crossref);10300866ARTREV (Dialnet);2-s2.0-85217533809 (Scopus);WOS:001416845100001 (WoS)"
"Ciberseguridad e inteligencia artificial resiliente para la Comunidad de Madrid. (GRAFO)","Serrano Luján, Lucía (Investigador/a); Penedo Ventosa, Iván (Investigador/a); Pérez Peló, Sergio (Investigador/a); Martín García, Lucas (Investigador/a); Cavero Díaz, Sergio (Investigador/a); Colmenar Verdugo, José Manuel (Investigador/a); Salazar Cárdenas, Sergio (Investigador/a); Martín Santamaría, Raúl (Investigador/a); Ventura Cabrejas, Silvia (Investigador/a); Lozano Osorio, Isaac (Investigador/a); García Pardo, Eduardo (Investigador/a); Herrán González, Alberto (Investigador/a); Casado Ceballos, Alejandra (Investigador/a); Diaconescu, Teodor Andrei (Investigador/a); Duarte Muñoz, Abraham (Investigador/a); Sánchez-Oro Calvo, Jesús (Investigador principal (IP)); Yuste Moure, Javier (Investigador/a); Fernández Timón, Alfonso (Investigador/a); González Pardo, Antonio (Investigador/a); Robles Rodríguez, Marcos (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Viejo Fernández, Manuel (Investigador/a)","2025-01-01","TEC-2024/COM-404","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:TEC-2024/COM-404. Ciberseguridad e inteligencia artificial resiliente para la Comunidad de Madrid. (GRAFO). Serrano Luján, Lucía (Investigador/a); Penedo Ventosa, Iván (Investigador/a); Pérez Peló, Sergio (Investigador/a); Martín García, Lucas (Investigador/a); Cavero Díaz, Sergio (Investigador/a); Colmenar Verdugo, José Manuel (Investigador/a); Salazar Cárdenas, Sergio (Investigador/a); Martín Santamaría, Raúl (Investigador/a); Ventura Cabrejas, Silvia (Investigador/a); Lozano Osorio, Isaac (Investigador/a); García Pardo, Eduardo (Investigador/a); Herrán González, Alberto (Investigador/a); Casado Ceballos, Alejandra (Investigador/a); Diaconescu, Teodor Andrei (Investigador/a); Duarte Muñoz, Abraham (Investigador/a); Sánchez-Oro Calvo, Jesús (Investigador principal (IP)); Yuste Moure, Javier (Investigador/a); Fernández Timón, Alfonso (Investigador/a); González Pardo, Antonio (Investigador/a); Robles Rodríguez, Marcos (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Viejo Fernández, Manuel (Investigador/a).  Financiadora: Comunidad de Madrid  (2025-01-01 / 2028-12-31)","M3832 (Universidad Rey Juan Carlos)"
"ALGORITMOS PARA JUEGOS","Casado Ceballos, Alejandra","2024-09-01","2175029-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Casado Ceballos, Alejandra (2024). ALGORITMOS PARA JUEGOS. Universdiad Rey Juan Carlos","2024-25_2175_2175029_alejandra.casado (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Casado Ceballos, Alejandra","2024-09-01","2034019-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Casado Ceballos, Alejandra (2024). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2024-25_2034_2034019_alejandra.casado (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Casado Ceballos, Alejandra","2024-09-01","2114019-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Casado Ceballos, Alejandra (2024). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2024-25_2114_2114019_alejandra.casado (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Casado Ceballos, Alejandra","2024-09-01","2118033-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Casado Ceballos, Alejandra (2024). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2024-25_2118_2118033_alejandra.casado (Universidad Rey Juan Carlos)"
