"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PROGRAMACION DECLARATIVA","Castro Galán, Elena","2025-09-01","2117039-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2117_2117039_elena.castro (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Castro Galán, Elena","2025-09-01","2113036-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2113_2113036_elena.castro (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Castro Galán, Elena","2025-09-01","2097044-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2097_2097044_elena.castro (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Castro Galán, Elena","2025-09-01","2285016-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2285_2285016_elena.castro (Universidad Rey Juan Carlos)"
"TECNOLOGIAS DE BASES DE DATOS","Castro Galán, Elena","2025-09-01","2114049-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2025). TECNOLOGIAS DE BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2114_2114049_elena.castro (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Castro Galán, Elena","2025-09-01","2097033-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2097_2097033_elena.castro (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Castro Galán, Elena","2025-09-01","2033023-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2033_2033023_elena.castro (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Castro Galán, Elena","2025-09-01","2315012-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2315_2315012_elena.castro (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Castro Galán, Elena","2025-09-01","2114023-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2114_2114023_elena.castro (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Castro Galán, Elena","2025-09-01","2117016-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2117_2117016_elena.castro (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Castro Galán, Elena","2025-09-01","2315026-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2315_2315026_elena.castro (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Castro Galán, Elena","2025-09-01","2033014-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2033_2033014_elena.castro (Universidad Rey Juan Carlos)"
"TECNOLOGIAS DE BASES DE DATOS","Castro Galán, Elena","2025-09-01","2034039-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2025). TECNOLOGIAS DE BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2034_2034039_elena.castro (Universidad Rey Juan Carlos)"
"GENERACIÓN DE DATOS SINTÉTICOS PARA EL ESTUDIO Y LA ELABORACIÓN DE INFORMACIÓN CONFIDENCIAL","Castro Galán, Elena (Tutor)","2025-07-08","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Castro Galán, Elena (Tutor) (2025). GENERACIÓN DE DATOS SINTÉTICOS PARA EL ESTUDIO Y LA ELABORACIÓN DE INFORMACIÓN CONFIDENCIAL.","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Castro Galán, Elena","2025-01-01","1813486-5721","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"LOGICA","Castro Galán, Elena","2024-09-01","2285004-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2024). LOGICA. Universdiad Rey Juan Carlos","2024-25_2285_2285004_elena.castro (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Castro Galán, Elena","2024-09-01","2117016-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2024). BASES DE DATOS. Universdiad Rey Juan Carlos","2024-25_2117_2117016_elena.castro (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Castro Galán, Elena","2024-09-01","2033014-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2024). BASES DE DATOS. Universdiad Rey Juan Carlos","2024-25_2033_2033014_elena.castro (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Castro Galán, Elena","2024-09-01","2097033-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2024). BASES DE DATOS. Universdiad Rey Juan Carlos","2024-25_2097_2097033_elena.castro (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Castro Galán, Elena","2024-09-01","2315012-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2024). BASES DE DATOS. Universdiad Rey Juan Carlos","2024-25_2315_2315012_elena.castro (Universidad Rey Juan Carlos)"
"LOGICA","Castro Galán, Elena","2024-09-01","2361003-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2024). LOGICA. Universdiad Rey Juan Carlos","2024-25_2361_2361003_elena.castro (Universidad Rey Juan Carlos)"
"TECNOLOGIAS DE BASES DE DATOS","Castro Galán, Elena","2024-09-01","2114049-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2024). TECNOLOGIAS DE BASES DE DATOS. Universdiad Rey Juan Carlos","2024-25_2114_2114049_elena.castro (Universidad Rey Juan Carlos)"
"TECNOLOGIAS DE BASES DE DATOS","Castro Galán, Elena","2024-09-01","2034039-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2024). TECNOLOGIAS DE BASES DE DATOS. Universdiad Rey Juan Carlos","2024-25_2034_2034039_elena.castro (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Castro Galán, Elena","2024-09-01","2285016-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Castro Galán, Elena (2024). BASES DE DATOS. Universdiad Rey Juan Carlos","2024-25_2285_2285016_elena.castro (Universidad Rey Juan Carlos)"
"Solución Tecnológica para la Movilidad Segura de las Mujeres en Entornos Urba.","Castro Galán, Elena (Investigador/a); Cuadra Fernández, Mª Dolores (Investigador/a); Sierra Alonso, Almudena (Investigador/a); Cavero Barca, José María (Investigador/a); Vela Sánchez, Belén (Investigador/a); Cuesta Quintero, Carlos Enrique (Investigador principal (IP)); Cáceres García de Marina, María de la Paloma (Investigador principal (IP))","2024-09-01","PID2023-150938OB-I00","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","-","-","-","-","-","-","-","Ref.:PID2023-150938OB-I00. Solución Tecnológica para la Movilidad Segura de las Mujeres en Entornos Urba.. Castro Galán, Elena (Investigador/a); Cuadra Fernández, Mª Dolores (Investigador/a); Sierra Alonso, Almudena (Investigador/a); Cavero Barca, José María (Investigador/a); Vela Sánchez, Belén (Investigador/a); Cuesta Quintero, Carlos Enrique (Investigador principal (IP)); Cáceres García de Marina, María de la Paloma (Investigador principal (IP)).  Financiadora: Agencia Estatal de Investigación  (2024-09-01 / 2028-08-31)","M3509 (Otros);M3509 (Universidad Rey Juan Carlos)"
