"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"BASES DE DATOS","Cavero Barca, José María","2025-09-01","2059014-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Barca, José María (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2059_2059014_josemaria.cavero (Universidad Rey Juan Carlos)"
"MODELOS DE DATOS Y DE LA INFORMACION","Cavero Barca, José María","2025-09-01","2028023-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Barca, José María (2025). MODELOS DE DATOS Y DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2028_2028023_josemaria.cavero (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Cavero Barca, José María","2025-09-01","2269033-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Barca, José María (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2269_2269033_josemaria.cavero (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Cavero Barca, José María","2025-09-01","2243025-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Barca, José María (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2243_2243025_josemaria.cavero (Universidad Rey Juan Carlos)"
"Obtención y Almacenamiento de Datos Deportivos","Cavero Barca, José María","2025-09-01","641205-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Barca, José María (2025). Obtención y Almacenamiento de Datos Deportivos. Universdiad Rey Juan Carlos","2025-26_6412_641205_josemaria.cavero (Universidad Rey Juan Carlos)"
"MODELOS DE DATOS Y DE LA INFORMACION","Cavero Barca, José María","2025-09-01","2347023-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Barca, José María (2025). MODELOS DE DATOS Y DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2347_2347023_josemaria.cavero (Universidad Rey Juan Carlos)"
"MODELOS DE DATOS Y DE LA INFORMACION","Cavero Barca, José María","2025-09-01","2178029-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Barca, José María (2025). MODELOS DE DATOS Y DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2178_2178029_josemaria.cavero (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Cavero Barca, José María","2025-09-01","2073033-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Barca, José María (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2073_2073033_josemaria.cavero (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Cavero Barca, José María","2025-09-01","2360024-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Barca, José María (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2360_2360024_josemaria.cavero (Universidad Rey Juan Carlos)"
"MODELOS DE DATOS Y DE LA INFORMACION","Cavero Barca, José María","2025-09-01","2348029-2348","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Barca, José María (2025). MODELOS DE DATOS Y DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2348_2348029_josemaria.cavero (Universidad Rey Juan Carlos)"
"MODELOS DE DATOS Y DE LA INFORMACION","Cavero Barca, José María","2025-09-01","2299050-2299","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Barca, José María (2025). MODELOS DE DATOS Y DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2299_2299050_josemaria.cavero (Universidad Rey Juan Carlos)"
"APLICACIÓN PARA LA GESTIÓN DE HORARIOS PARA CLASES UTILIZANDO FET","Vela Sánchez, Belén (Cotutor); Cavero Barca, José María (Tutor)","2025-07-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Vela Sánchez, Belén (Cotutor); Cavero Barca, José María (Tutor) (2025). APLICACIÓN PARA LA GESTIÓN DE HORARIOS PARA CLASES UTILIZANDO FET.","-"
"APLICACIÓN PARA LA GESTIÓN DE EXÁMENES UTILIZANDO FET","Vela Sánchez, Belén (Cotutor); Cavero Barca, José María (Tutor)","2025-07-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Vela Sánchez, Belén (Cotutor); Cavero Barca, José María (Tutor) (2025). APLICACIÓN PARA LA GESTIÓN DE EXÁMENES UTILIZANDO FET.","-"
"BASES DE DATOS","Cavero Barca, José María","2024-09-01","2269033-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Barca, José María (2024). BASES DE DATOS. Universdiad Rey Juan Carlos","2024-25_2269_2269033_josemaria.cavero (Universidad Rey Juan Carlos)"
