"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Inglés","Cavero Díaz, Sergio","2025-09-18","-","-","Idiomas","Conocimiento de idiomas","-","-","-","-","-","-","-","Inglés:  () 2025","sergio.cavero_Inglés_C1 (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Cavero Díaz, Sergio","2025-09-01","2097021-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Díaz, Sergio (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2097_2097021_sergio.cavero (Universidad Rey Juan Carlos)"
"ANALISIS E INGENIERIA DE REQUISITOS","Cavero Díaz, Sergio","2025-09-01","2316030-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Díaz, Sergio (2025). ANALISIS E INGENIERIA DE REQUISITOS. Universdiad Rey Juan Carlos","2025-26_2316_2316030_sergio.cavero (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Cavero Díaz, Sergio","2025-09-01","2117035-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Díaz, Sergio (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2117_2117035_sergio.cavero (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Cavero Díaz, Sergio","2025-09-01","2114010-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Díaz, Sergio (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2114_2114010_sergio.cavero (Universidad Rey Juan Carlos)"
"ANALISIS E INGENIERIA DE REQUISITOS","Cavero Díaz, Sergio","2025-09-01","2114020-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Díaz, Sergio (2025). ANALISIS E INGENIERIA DE REQUISITOS. Universdiad Rey Juan Carlos","2025-26_2114_2114020_sergio.cavero (Universidad Rey Juan Carlos)"
"ANALISIS E INGENIERIA DE REQUISITOS","Cavero Díaz, Sergio","2025-09-01","2034016-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Díaz, Sergio (2025). ANALISIS E INGENIERIA DE REQUISITOS. Universdiad Rey Juan Carlos","2025-26_2034_2034016_sergio.cavero (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Cavero Díaz, Sergio","2025-09-01","2315031-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Díaz, Sergio (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2315_2315031_sergio.cavero (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS AVANZADAS","Cavero Díaz, Sergio","2025-09-01","2269045-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Díaz, Sergio (2025). ESTRUCTURAS DE DATOS AVANZADAS. Universdiad Rey Juan Carlos","2025-26_2269_2269045_sergio.cavero (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Cavero Díaz, Sergio","2025-09-01","2034008-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cavero Díaz, Sergio (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2034_2034008_sergio.cavero (Universidad Rey Juan Carlos)"
