"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Chicano Capelo, Iván","2025-09-01","2117043-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Chicano Capelo, Iván (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2117_2117043_ivan.chicano (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Chicano Capelo, Iván","2025-09-01","2113032-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Chicano Capelo, Iván (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2113_2113032_ivan.chicano (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Chicano Capelo, Iván","2025-09-01","2315041-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Chicano Capelo, Iván (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2315_2315041_ivan.chicano (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Chicano Capelo, Iván","2025-09-01","2097048-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Chicano Capelo, Iván (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2097_2097048_ivan.chicano (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Chicano Capelo, Iván","2025-09-01","2033027-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Chicano Capelo, Iván (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2033_2033027_ivan.chicano (Universidad Rey Juan Carlos)"
"MYURJC: REIMAGINANDO LA APP DE LA URJC","Chicano Capelo, Iván (Cotutor); Gallego Carrillo, Micael (Tutor)","2025-06-17","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Chicano Capelo, Iván (Cotutor); Gallego Carrillo, Micael (Tutor) (2025). MYURJC: REIMAGINANDO LA APP DE LA URJC.","-"
"CALIDAD DEL SOFTWARE","Chicano Capelo, Iván","2024-09-01","2034030-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Chicano Capelo, Iván (2024). CALIDAD DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2034_2034030_ivan.chicano (Universidad Rey Juan Carlos)"
"CALIDAD DEL SOFTWARE","Chicano Capelo, Iván","2024-09-01","2118042-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Chicano Capelo, Iván (2024). CALIDAD DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2118_2118042_ivan.chicano (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Chicano Capelo, Iván","2024-09-01","2097048-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Chicano Capelo, Iván (2024). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2097_2097048_ivan.chicano (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Chicano Capelo, Iván","2024-09-01","2315041-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Chicano Capelo, Iván (2024). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2315_2315041_ivan.chicano (Universidad Rey Juan Carlos)"
