"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PROGRAMACION II","Colmenar Verdugo, José Manuel","2025-09-01","2361010-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Colmenar Verdugo, José Manuel (2025). PROGRAMACION II. Universdiad Rey Juan Carlos","2025-26_2361_2361010_josemanuel.colmenar (Universidad Rey Juan Carlos)"
"SISTEMAS DE INFORMACION","Colmenar Verdugo, José Manuel","2025-09-01","2061035-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Colmenar Verdugo, José Manuel (2025). SISTEMAS DE INFORMACION. Universdiad Rey Juan Carlos","2025-26_2061_2061035_josemanuel.colmenar (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Colmenar Verdugo, José Manuel","2025-09-01","2061025-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Colmenar Verdugo, José Manuel (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2061_2061025_josemanuel.colmenar (Universidad Rey Juan Carlos)"
"ALGORITMOS DE BUSQUEDA II","Colmenar Verdugo, José Manuel","2025-09-01","2361021-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Colmenar Verdugo, José Manuel (2025). ALGORITMOS DE BUSQUEDA II. Universdiad Rey Juan Carlos","2025-26_2361_2361021_josemanuel.colmenar (Universidad Rey Juan Carlos)"
"Efficient heuristics for the obnoxious planar p-median problem with variable sizes","Salazar, Sergio; Cordon, Oscar; Colmenar, J Manuel","2025-09-01","10.1016/j.asoc.2025.113401","N","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Biotecnología; Ciência da computação; Ciência de alimentos; Computer science, artificial intelligence; Computer science, interdisciplinary applications; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Interdisciplinar; Matemática / probabilidade e estatística; Software","Applied Soft Computing","1.511","-","-","-","Q1","Salazar, Sergio; Cordon, Oscar; Colmenar, J Manuel (2025). Efficient heuristics for the obnoxious planar p-median problem with variable sizes. Applied Soft Computing, 181(), 113401-. DOI: 10.1016/j.asoc.2025.113401","WOS:001519954200003 (WoS)"
"A fast metaheuristic approach for the planar multiple obnoxious facility location problem","Salazar, Sergio; Duarte, Abraham; Colmenar, J Manuel","2025-08-13","10.1111/itor.70087","N","Publicaciones","Artículo pendiente de publicación","Administração pública e de empresas, ciências contábeis e turismo; Administração, ciências contábeis e turismo; Business and international management; Ciência da computação; Ciências agrárias i; Ciências ambientais; Ciencias sociales; Computer science applications; Economia; Engenharias i; Engenharias iii; Engenharias iv; Interdisciplinar; Management; Management of technology and innovation; Management science and operations research; Matemática / probabilidade e estatística; Operations research & management science; Planejamento urbano e regional / demografia; Strategy and management","International Transactions In Operational Research","0.993","-","-","-","Q1","Salazar, Sergio; Duarte, Abraham; Colmenar, J Manuel (2025). A fast metaheuristic approach for the planar multiple obnoxious facility location problem. International Transactions In Operational Research, (), -. DOI: 10.1111/itor.70087","WOS:001548476100001 (WoS)"
"METAHEURÍSTICAS PARA EL PROBLEMA DE LA DIVERSIDAD CON RESTRICCIONES","Colmenar Verdugo, José Manuel (Tutor); Salazar Cárdenas, Sergio (Cotutor)","2025-07-18","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Colmenar Verdugo, José Manuel (Tutor); Salazar Cárdenas, Sergio (Cotutor) (2025). METAHEURÍSTICAS PARA EL PROBLEMA DE LA DIVERSIDAD CON RESTRICCIONES.","-"
"An efficient variable neighborhood search approach for the facility location problem with the limited choice rule","Garcia-Galan, Enrique; Herran, Alberto; Colmenar, J Manuel","2025-07-14","10.1111/itor.70069","N","Publicaciones","Artículo pendiente de publicación","Administração pública e de empresas, ciências contábeis e turismo; Administração, ciências contábeis e turismo; Business and international management; Ciência da computação; Ciências agrárias i; Ciências ambientais; Ciencias sociales; Computer science applications; Economia; Engenharias i; Engenharias iii; Engenharias iv; Interdisciplinar; Management; Management of technology and innovation; Management science and operations research; Matemática / probabilidade e estatística; Operations research & management science; Planejamento urbano e regional / demografia; Strategy and management","International Transactions In Operational Research","0.993","-","-","-","Q1","Garcia-Galan, Enrique; Herran, Alberto; Colmenar, J Manuel (2025). An efficient variable neighborhood search approach for the facility location problem with the limited choice rule. International Transactions In Operational Research, (), -. DOI: 10.1111/itor.70069","WOS:001527879600001 (WoS)"
"APLICACIÓN WEB PARA VISUALIZACIÓN DE COMUNIDADES EN GRAFOS","Simón de Blas, Clara (Cotutor); Colmenar Verdugo, José Manuel (Tutor)","2025-07-14","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Simón de Blas, Clara (Cotutor); Colmenar Verdugo, José Manuel (Tutor) (2025). APLICACIÓN WEB PARA VISUALIZACIÓN DE COMUNIDADES EN GRAFOS.","-"
"OPTIMIZACIÓN DE RUTAS PARA VEHÍCULOS ELÉCTRICOS","Colmenar Verdugo, José Manuel (Tutor)","2025-07-11","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Colmenar Verdugo, José Manuel (Tutor) (2025). OPTIMIZACIÓN DE RUTAS PARA VEHÍCULOS ELÉCTRICOS.","-"
"DESARROLLO SEGURO DE UNA APLICACIÓN PARA ENTRENAMIENTO PERSONAL","Colmenar Verdugo, José Manuel (Tutor)","2025-07-10","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Colmenar Verdugo, José Manuel (Tutor) (2025). DESARROLLO SEGURO DE UNA APLICACIÓN PARA ENTRENAMIENTO PERSONAL.","-"
"Tabu search: an application to the minimum dominating set problem","Colmenar, J Manuel; Laguna, Manuel; Martin-Santamaria, Raul","2025-07-01","10.1007/s11750-025-00697-z","N","Publicaciones","Artículo","Ciencias sociales; Discrete mathematics and combinatorics; Engenharias iii; Information systems and management; Interdisciplinar; Management science and operations research; Matemática / probabilidade e estatística; Modeling and simulation; Operations research & management science; Statistics and probability","Top","0.657","-","-","-","Q2","Colmenar, J Manuel; Laguna, Manuel; Martin-Santamaria, Raul (2025). Tabu search: an application to the minimum dominating set problem. Top, 33(2), 304-326. DOI: 10.1007/s11750-025-00697-z","WOS:001532072400003 (WoS)"
"Tabu search: an application to the minimum dominating set problem","Colmenar, J Manuel; Laguna, Manuel; Martin-Santamaria, Raul","2025-06-16","10.1007/s11750-025-00697-z","N","Publicaciones","Artículo","Ciencias sociales; Discrete mathematics and combinatorics; Engenharias iii; Information systems and management; Interdisciplinar; Management science and operations research; Matemática / probabilidade e estatística; Modeling and simulation; Operations research & management science; Statistics and probability","Top","0.657","-","-","-","Q2","Colmenar, J Manuel; Laguna, Manuel; Martin-Santamaria, Raul (2025). Tabu search: an application to the minimum dominating set problem. Top, 33(2), 304-326","WOS:001509419800001 (WoS)"
