"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"COMPUTACION DE ALTAS PRESTACIONES","Concha Gómez, David","2025-09-01","2113033-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Concha Gómez, David (2025). COMPUTACION DE ALTAS PRESTACIONES. Universdiad Rey Juan Carlos","2025-26_2113_2113033_david.concha (Universidad Rey Juan Carlos)"
"VISIÓN DINÁMICA","Concha Gómez, David","2025-09-01","623007-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Concha Gómez, David (2025). VISIÓN DINÁMICA. Universdiad Rey Juan Carlos","2025-26_6230_623007_david.concha (Universidad Rey Juan Carlos)"
"COMPUTACION DE ALTAS PRESTACIONES","Concha Gómez, David","2025-09-01","2032028-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Concha Gómez, David (2025). COMPUTACION DE ALTAS PRESTACIONES. Universdiad Rey Juan Carlos","2025-26_2032_2032028_david.concha (Universidad Rey Juan Carlos)"
"COMPUTACION DE ALTAS PRESTACIONES","Concha Gómez, David","2025-09-01","2321043-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Concha Gómez, David (2025). COMPUTACION DE ALTAS PRESTACIONES. Universdiad Rey Juan Carlos","2025-26_2321_2321043_david.concha (Universidad Rey Juan Carlos)"
"HERRAMIENTAS SOFTWARE PARA TRATAMIENTO DE IMÁGENES","Concha Gómez, David","2025-09-01","623002-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Concha Gómez, David (2025). HERRAMIENTAS SOFTWARE PARA TRATAMIENTO DE IMÁGENES. Universdiad Rey Juan Carlos","2025-26_6230_623002_david.concha (Universidad Rey Juan Carlos)"
"PROCESADORES GRAFICOS AVANZADOS","Concha Gómez, David","2025-09-01","2265033-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Concha Gómez, David (2025). PROCESADORES GRAFICOS AVANZADOS. Universdiad Rey Juan Carlos","2025-26_2265_2265033_david.concha (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS II","Concha Gómez, David","2025-09-01","2361018-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Concha Gómez, David (2025). ESTRUCTURAS DE DATOS II. Universdiad Rey Juan Carlos","2025-26_2361_2361018_david.concha (Universidad Rey Juan Carlos)"
"ARQUITECTURAS GRAFICAS","Concha Gómez, David","2025-09-01","2175018-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Concha Gómez, David (2025). ARQUITECTURAS GRAFICAS. Universdiad Rey Juan Carlos","2025-26_2175_2175018_david.concha (Universidad Rey Juan Carlos)"
"GENERACIÓN PROCEDURAL DE MUNDOS VIRTUALES","Concha Gómez, David (Tutor); García Espinosa, Francisco José (Cotutor)","2025-07-18","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Concha Gómez, David (Tutor); García Espinosa, Francisco José (Cotutor) (2025). GENERACIÓN PROCEDURAL DE MUNDOS VIRTUALES.","-"
"EVALUACIÓN DE HERRAMIENTAS DE SEGURIDAD PARA EL ANÁLISIS ESTÁTICO DE CÓDIGO FUENTE","Concha Gómez, David (Tutor)","2025-07-17","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Concha Gómez, David (Tutor) (2025). EVALUACIÓN DE HERRAMIENTAS DE SEGURIDAD PARA EL ANÁLISIS ESTÁTICO DE CÓDIGO FUENTE.","-"
"CIBERSEGURIDAD EN REDES INDUSTRIALES: ANÁLISIS PRÁCTICO DE VULNERABILIDADES Y MEDIDAS DE DEFENSA MEDIANTE LABORATORIOS VIRTUALES","Concha Gómez, David (Tutor)","2025-07-17","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Concha Gómez, David (Tutor) (2025). CIBERSEGURIDAD EN REDES INDUSTRIALES: ANÁLISIS PRÁCTICO DE VULNERABILIDADES Y MEDIDAS DE DEFENSA MEDIANTE LABORATORIOS VIRTUALES.","-"
"GENERACIÓN PROCEDURAL DE MAPAS TRIDIMENSIONALES Y VISUALIZACIÓN EN TIEMPO REAL CON UNITY","Concha Gómez, David (Tutor); García Espinosa, Francisco José (Cotutor)","2025-07-17","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Concha Gómez, David (Tutor); García Espinosa, Francisco José (Cotutor) (2025). GENERACIÓN PROCEDURAL DE MAPAS TRIDIMENSIONALES Y VISUALIZACIÓN EN TIEMPO REAL CON UNITY.","-"
"IMPLEMENTACIÓN DE UN SISTEMA DISTRIBUIDO PARA VISUALIZACIÓN Y VALORACIÓN DE MAPAS PROCEDURALES","Concha Gómez, David (Tutor); García Espinosa, Francisco José (Cotutor)","2025-07-17","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Concha Gómez, David (Tutor); García Espinosa, Francisco José (Cotutor) (2025). IMPLEMENTACIÓN DE UN SISTEMA DISTRIBUIDO PARA VISUALIZACIÓN Y VALORACIÓN DE MAPAS PROCEDURALES.","-"
"BLUETOOTH: ANÁLISIS DE SEGURIDAD Y AMENAZAS","Concha Gómez, David (Tutor); García Espinosa, Francisco José (Cotutor)","2025-07-16","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Concha Gómez, David (Tutor); García Espinosa, Francisco José (Cotutor) (2025). BLUETOOTH: ANÁLISIS DE SEGURIDAD Y AMENAZAS.","-"
"DESARROLLO DE ALGORITMOS DE GENERACIÓN PROCEDURAL PARA INTERIORES VIRTUALES EN UNITY","Concha Gómez, David (Tutor); García Espinosa, Francisco José (Cotutor)","2025-07-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Concha Gómez, David (Tutor); García Espinosa, Francisco José (Cotutor) (2025). DESARROLLO DE ALGORITMOS DE GENERACIÓN PROCEDURAL PARA INTERIORES VIRTUALES EN UNITY.","-"
"ESTUDIO DE LAS TÉCNICAS DE PROTECCIÓN DE SOFTWARE Y EL TAMPERING","Concha Gómez, David (Tutor); García Espinosa, Francisco José (Cotutor)","2025-07-14","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Concha Gómez, David (Tutor); García Espinosa, Francisco José (Cotutor) (2025). ESTUDIO DE LAS TÉCNICAS DE PROTECCIÓN DE SOFTWARE Y EL TAMPERING.","-"
"TÉCNICAS DE HOOKING EN ANDROID: MÉTODOS, USOS Y CONTRAMEDIDAS PARA UN ECOSISTEMA MÁS SEGURO","Concha Gómez, David (Tutor)","2025-07-14","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Concha Gómez, David (Tutor) (2025). TÉCNICAS DE HOOKING EN ANDROID: MÉTODOS, USOS Y CONTRAMEDIDAS PARA UN ECOSISTEMA MÁS SEGURO.","-"
"ESTUDIO DE ALGORITMOS DE GENERACIÓN PROCEDURAL ORIENTADOS A MAPAS TOPOGRÁFICOS","Concha Gómez, David (Tutor)","2025-07-14","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Concha Gómez, David (Tutor) (2025). ESTUDIO DE ALGORITMOS DE GENERACIÓN PROCEDURAL ORIENTADOS A MAPAS TOPOGRÁFICOS.","-"
