"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"BASE DE DATOS","Contreras Herrera, Carlos","2025-09-01","2175012-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Contreras Herrera, Carlos (2025). BASE DE DATOS. Universdiad Rey Juan Carlos","2025-26_2175_2175012_carlos.contreras (Universidad Rey Juan Carlos)"
"SISTEMAS DE INFORMACION","Contreras Herrera, Carlos","2025-09-01","2285030-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Contreras Herrera, Carlos (2025). SISTEMAS DE INFORMACION. Universdiad Rey Juan Carlos","2025-26_2285_2285030_carlos.contreras (Universidad Rey Juan Carlos)"
"INTELIGENCIA DE LA SEGURIDAD","Contreras Herrera, Carlos","2025-09-01","2285033-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Contreras Herrera, Carlos (2025). INTELIGENCIA DE LA SEGURIDAD. Universdiad Rey Juan Carlos","2025-26_2285_2285033_carlos.contreras (Universidad Rey Juan Carlos)"
"BASE DE DATOS","Contreras Herrera, Carlos","2025-09-01","2321025-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Contreras Herrera, Carlos (2025). BASE DE DATOS. Universdiad Rey Juan Carlos","2025-26_2321_2321025_carlos.contreras (Universidad Rey Juan Carlos)"
"REDES AVANZADAS Y COMPUTACION EN LA NUBE","Contreras Herrera, Carlos","2025-09-01","2285029-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Contreras Herrera, Carlos (2025). REDES AVANZADAS Y COMPUTACION EN LA NUBE. Universdiad Rey Juan Carlos","2025-26_2285_2285029_carlos.contreras (Universidad Rey Juan Carlos)"
"INTELIGENCIA DE LA SEGURIDAD","Contreras Herrera, Carlos","2024-09-01","2285033-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Contreras Herrera, Carlos (2024). INTELIGENCIA DE LA SEGURIDAD. Universdiad Rey Juan Carlos","2024-25_2285_2285033_carlos.contreras (Universidad Rey Juan Carlos)"
"BASE DE DATOS","Contreras Herrera, Carlos","2024-09-01","2321025-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Contreras Herrera, Carlos (2024). BASE DE DATOS. Universdiad Rey Juan Carlos","2024-25_2321_2321025_carlos.contreras (Universidad Rey Juan Carlos)"
"REDES AVANZADAS Y COMPUTACION EN LA NUBE","Contreras Herrera, Carlos","2024-09-01","2285029-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Contreras Herrera, Carlos (2024). REDES AVANZADAS Y COMPUTACION EN LA NUBE. Universdiad Rey Juan Carlos","2024-25_2285_2285029_carlos.contreras (Universidad Rey Juan Carlos)"
"SISTEMAS DE INFORMACION","Contreras Herrera, Carlos","2024-09-01","2285030-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Contreras Herrera, Carlos (2024). SISTEMAS DE INFORMACION. Universdiad Rey Juan Carlos","2024-25_2285_2285030_carlos.contreras (Universidad Rey Juan Carlos)"
"BASE DE DATOS","Contreras Herrera, Carlos","2024-09-01","2175012-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Contreras Herrera, Carlos (2024). BASE DE DATOS. Universdiad Rey Juan Carlos","2024-25_2175_2175012_carlos.contreras (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Contreras Herrera, Carlos","2023-09-01","2113018-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Contreras Herrera, Carlos (2023). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2023-24_2113_2113018_carlos.contreras (Universidad Rey Juan Carlos)"
"BASE DE DATOS","Contreras Herrera, Carlos","2023-09-01","2175012-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Contreras Herrera, Carlos (2023). BASE DE DATOS. Universdiad Rey Juan Carlos","2023-24_2175_2175012_carlos.contreras (Universidad Rey Juan Carlos)"
