"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Crespo Herrero, Jonathan","2025-09-01","2117021-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2117_2117021_jonathan.crespo (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Crespo Herrero, Jonathan","2025-09-01","2032012-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2032_2032012_jonathan.crespo (Universidad Rey Juan Carlos)"
"PROGRAMACION AVANZADA","Crespo Herrero, Jonathan","2025-09-01","2265017-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). PROGRAMACION AVANZADA. Universdiad Rey Juan Carlos","2025-26_2265_2265017_jonathan.crespo (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Crespo Herrero, Jonathan","2025-09-01","2243020-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2243_2243020_jonathan.crespo (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Crespo Herrero, Jonathan","2025-09-01","2269026-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2269_2269026_jonathan.crespo (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Crespo Herrero, Jonathan","2025-09-01","2033016-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2033_2033016_jonathan.crespo (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Crespo Herrero, Jonathan","2025-09-01","2114022-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2114_2114022_jonathan.crespo (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Crespo Herrero, Jonathan","2025-09-01","2315018-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2315_2315018_jonathan.crespo (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Crespo Herrero, Jonathan","2025-09-01","2097026-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2097_2097026_jonathan.crespo (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Crespo Herrero, Jonathan","2025-09-01","2059016-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2059_2059016_jonathan.crespo (Universidad Rey Juan Carlos)"
"ORGANIZACION DE COMPUTADORES","Crespo Herrero, Jonathan","2025-09-01","2113016-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). ORGANIZACION DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2113_2113016_jonathan.crespo (Universidad Rey Juan Carlos)"
"ORGANIZACION DE COMPUTADORES","Crespo Herrero, Jonathan","2025-09-01","2321020-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). ORGANIZACION DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2321_2321020_jonathan.crespo (Universidad Rey Juan Carlos)"
"ORGANIZACION DE COMPUTADORES","Crespo Herrero, Jonathan","2025-09-01","2032013-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). ORGANIZACION DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2032_2032013_jonathan.crespo (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Crespo Herrero, Jonathan","2025-09-01","2113012-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2113_2113012_jonathan.crespo (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Crespo Herrero, Jonathan","2025-09-01","2073026-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2073_2073026_jonathan.crespo (Universidad Rey Juan Carlos)"
"ROBOTICA Y DOMOTICA","Crespo Herrero, Jonathan","2025-09-01","2032039-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Crespo Herrero, Jonathan (2025). ROBOTICA Y DOMOTICA. Universdiad Rey Juan Carlos","2025-26_2032_2032039_jonathan.crespo (Universidad Rey Juan Carlos)"
"HERRAMIENTA PARA LA OBSERVACIÓN Y EVALUACIÓN DE COMPORTAMIENTOS EMERGENTES - JUEGO 4X BASADO EN AGENTES","Recio Isasi, Gustavo (Tutor); Crespo Herrero, Jonathan (Cotutor)","2025-02-27","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Recio Isasi, Gustavo (Tutor); Crespo Herrero, Jonathan (Cotutor) (2025). HERRAMIENTA PARA LA OBSERVACIÓN Y EVALUACIÓN DE COMPORTAMIENTOS EMERGENTES - JUEGO 4X BASADO EN AGENTES.","-"
"Reconocimiento, Acreditacion Docente o Referencias","Crespo Herrero, Jonathan","2024-12-22","-","-","Reconocimientos","Reconocimiento, Acreditacion Docente o Referencias","-","-","-","-","-","-","-","Reconocimiento, Acreditacion Docente o Referencias (2024)","jonathan.crespo-quinquenios (Universidad Rey Juan Carlos)"
