"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"EMPRESA Y VIDEOJUEGOS","Criado García, Juan Manuel","2025-09-01","2265019-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Criado García, Juan Manuel (2025). EMPRESA Y VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2265_2265019_juan.criado (Universidad Rey Juan Carlos)"
"PROCESO DE DESARROLLO DE VIDEOJUEGOS","Criado García, Juan Manuel","2025-09-01","2321021-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Criado García, Juan Manuel (2025). PROCESO DE DESARROLLO DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2321_2321021_juan.criado (Universidad Rey Juan Carlos)"
"PROCESO DE DESARROLLO DE VIDEOJUEGOS","Criado García, Juan Manuel","2025-09-01","2175021-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Criado García, Juan Manuel (2025). PROCESO DE DESARROLLO DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2175_2175021_juan.criado (Universidad Rey Juan Carlos)"
"MODELADO DEL SOFTWARE","Criado García, Juan Manuel","2025-09-01","2299055-2299","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Criado García, Juan Manuel (2025). MODELADO DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2299_2299055_juan.criado (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LOS COMPUTADORES","Criado García, Juan Manuel","2025-09-01","2360005-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Criado García, Juan Manuel (2025). FUNDAMENTOS FISICOS DE LOS COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2360_2360005_juan.criado (Universidad Rey Juan Carlos)"
"MODELADO DEL SOFTWARE","Criado García, Juan Manuel","2025-09-01","2347028-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Criado García, Juan Manuel (2025). MODELADO DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2347_2347028_juan.criado (Universidad Rey Juan Carlos)"
"MODELADO DEL SOFTWARE","Criado García, Juan Manuel","2025-09-01","2178035-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Criado García, Juan Manuel (2025). MODELADO DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2178_2178035_juan.criado (Universidad Rey Juan Carlos)"
"FISICA PARA VIDEOJUEGOS","Criado García, Juan Manuel","2025-09-01","2265002-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Criado García, Juan Manuel (2025). FISICA PARA VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2265_2265002_juan.criado (Universidad Rey Juan Carlos)"
"MODELADO DEL SOFTWARE","Criado García, Juan Manuel","2025-09-01","2348035-2348","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Criado García, Juan Manuel (2025). MODELADO DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2348_2348035_juan.criado (Universidad Rey Juan Carlos)"
"MODELADO DEL SOFTWARE","Criado García, Juan Manuel","2025-09-01","2028028-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Criado García, Juan Manuel (2025). MODELADO DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2028_2028028_juan.criado (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Criado García, Juan Manuel","2024-09-01","2113017-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Criado García, Juan Manuel (2024). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2024-25_2113_2113017_juan.criado (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Criado García, Juan Manuel","2024-09-01","2321015-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Criado García, Juan Manuel (2024). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2024-25_2321_2321015_juan.criado (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Criado García, Juan Manuel","2024-09-01","2243019-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Criado García, Juan Manuel (2024). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2024-25_2243_2243019_juan.criado (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Criado García, Juan Manuel","2024-09-01","2059017-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Criado García, Juan Manuel (2024). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2024-25_2059_2059017_juan.criado (Universidad Rey Juan Carlos)"
