"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"BASES DE DATOS","Cuadra Fernández, Mª Dolores","2025-09-01","2113013-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuadra Fernández, Mª Dolores (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2113_2113013_dolores.cuadra (Universidad Rey Juan Carlos)"
"BASE DE DATOS","Cuadra Fernández, Mª Dolores","2025-09-01","2361017-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuadra Fernández, Mª Dolores (2025). BASE DE DATOS. Universdiad Rey Juan Carlos","2025-26_2361_2361017_dolores.cuadra (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Cuadra Fernández, Mª Dolores","2025-09-01","2117016-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuadra Fernández, Mª Dolores (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2117_2117016_dolores.cuadra (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Cuadra Fernández, Mª Dolores","2025-09-01","2285016-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuadra Fernández, Mª Dolores (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2285_2285016_dolores.cuadra (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Cuadra Fernández, Mª Dolores","2025-09-01","2315012-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuadra Fernández, Mª Dolores (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2315_2315012_dolores.cuadra (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Cuadra Fernández, Mª Dolores","2025-09-01","2097033-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuadra Fernández, Mª Dolores (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2097_2097033_dolores.cuadra (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Cuadra Fernández, Mª Dolores","2025-09-01","2032015-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuadra Fernández, Mª Dolores (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2032_2032015_dolores.cuadra (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Cuadra Fernández, Mª Dolores","2025-09-01","2033014-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuadra Fernández, Mª Dolores (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2033_2033014_dolores.cuadra (Universidad Rey Juan Carlos)"
"CATEGORAIZE: USA LA INTELIGENCIA ARTIFICIAL PARA CLASIFICAR Y CONTROLAR TUS GASTOS","Cuadra Fernández, Mª Dolores (Tutor); Cáceres García de Marina, María de la Paloma (Cotutor)","2025-07-19","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cuadra Fernández, Mª Dolores (Tutor); Cáceres García de Marina, María de la Paloma (Cotutor) (2025). CATEGORAIZE: USA LA INTELIGENCIA ARTIFICIAL PARA CLASIFICAR Y CONTROLAR TUS GASTOS.","-"
"NABIA: IMPLEMENTACIÓN DE UNA BASE DE DATOS CLAVE-VALOR EN MEMORIA.","Cuadra Fernández, Mª Dolores (Tutor)","2025-06-27","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cuadra Fernández, Mª Dolores (Tutor) (2025). NABIA: IMPLEMENTACIÓN DE UNA BASE DE DATOS CLAVE-VALOR EN MEMORIA..","-"
