"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"SEMINARIOS DE VISIÓN ARTIFICIAL","Cuesta Infante, Alfredo","2025-09-01","623012-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Infante, Alfredo (2025). SEMINARIOS DE VISIÓN ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_6230_623012_alfredo.cuesta (Universidad Rey Juan Carlos)"
"DESARROLLO DE JUEGOS CON INTELIGENCIA ARTIFICIAL","Cuesta Infante, Alfredo","2025-09-01","2265024-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Infante, Alfredo (2025). DESARROLLO DE JUEGOS CON INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2265_2265024_alfredo.cuesta (Universidad Rey Juan Carlos)"
"APLICACIONES DE LA INTELIGENCIA ARTIFICIAL","Cuesta Infante, Alfredo","2025-09-01","2361037-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Infante, Alfredo (2025). APLICACIONES DE LA INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2361_2361037_alfredo.cuesta (Universidad Rey Juan Carlos)"
"INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL","Cuesta Infante, Alfredo","2025-09-01","623017-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Infante, Alfredo (2025). INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_6230_623017_alfredo.cuesta (Universidad Rey Juan Carlos)"
"APRENDIZAJE AUTOMATICO I","Cuesta Infante, Alfredo","2025-09-01","2361016-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Infante, Alfredo (2025). APRENDIZAJE AUTOMATICO I. Universdiad Rey Juan Carlos","2025-26_2361_2361016_alfredo.cuesta (Universidad Rey Juan Carlos)"
"TRABAJO FIN DE MÁSTER","Cuesta Infante, Alfredo","2025-09-01","623014-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Infante, Alfredo (2025). TRABAJO FIN DE MÁSTER. Universdiad Rey Juan Carlos","2025-26_6230_623014_alfredo.cuesta (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL EN CIBERSEGURIDAD","Cuesta Infante, Alfredo","2025-09-01","2361038-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Infante, Alfredo (2025). INTELIGENCIA ARTIFICIAL EN CIBERSEGURIDAD. Universdiad Rey Juan Carlos","2025-26_2361_2361038_alfredo.cuesta (Universidad Rey Juan Carlos)"
"APRENDIZAJE AUTOMÁTICO III","Cuesta Infante, Alfredo","2025-09-01","2361031-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Infante, Alfredo (2025). APRENDIZAJE AUTOMÁTICO III. Universdiad Rey Juan Carlos","2025-26_2361_2361031_alfredo.cuesta (Universidad Rey Juan Carlos)"
"RECONOCIMIENTO DE PATRONES","Cuesta Infante, Alfredo","2025-09-01","623016-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Infante, Alfredo (2025). RECONOCIMIENTO DE PATRONES. Universdiad Rey Juan Carlos","2025-26_6230_623016_alfredo.cuesta (Universidad Rey Juan Carlos)"
"Single Word Change Is All You Need: Using LLMs to Create Synthetic Training Examples for Text Classifiers","Xu, Lei; Alnegheimish, Sarah; Berti-Equille, Laure; Cuesta-Infante, Alfredo; Veeramachaneni, Kalyan","2025-08-01","10.1111/exsy.70079","N","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Artificial intelligence; Ciência da computação; Computational theory and mathematics; Computer science, artificial intelligence; Computer science, theory & methods; Control and systems engineering; Engenharias iii; Theoretical computer science","Expert Systems","0.742","-","-","-","Q2","Xu, Lei; Alnegheimish, Sarah; Berti-Equille, Laure; Cuesta-Infante, Alfredo; Veeramachaneni, Kalyan (2025). Single Word Change Is All You Need: Using LLMs to Create Synthetic Training Examples for Text Classifiers. Expert Systems, 42(8), e70079-. DOI: 10.1111/exsy.70079","WOS:001529610500016 (WoS)"
"Real-like synthetic sperm video generation from learned behaviors","Hernandez-Garcia, Sergio; Cuesta-Infante, Alfredo; Makris, Dimitrios; Montemayor, Antonio S","2025-04-01","10.1007/s10489-025-06407-3","N","Publicaciones","Artículo","Administração, ciências contábeis e turismo; Artificial intelligence; Biotecnología; Ciência da computação; Ciências agrárias i; Ciências ambientais; Computer science, artificial intelligence; Engenharias iii; Engenharias iv; Interdisciplinar; Matemática / probabilidade e estatística","Applied Intelligence","0.932","-","-","-","Q2","Hernandez-Garcia, Sergio; Cuesta-Infante, Alfredo; Makris, Dimitrios; Montemayor, Antonio S (2025). Real-like synthetic sperm video generation from learned behaviors. Applied Intelligence, 55(6), 518-. DOI: 10.1007/s10489-025-06407-3","10.1007/s10489-025-06407-3 (Crossref);10303063 (iMarina);2-s2.0-86000790760 (Scopus);WOS:001481406100001 (WoS)"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Cuesta Infante, Alfredo","2025-01-01","1813494-4210","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Diseño, implementación y evaluación de redes neuronales tolerantes a fallos en hardware de alto rendimiento, destinadas a aplicaciones de conducción y control autónomo de vehículos espaciales.","Hortelano Haro, Diego (Investigador/a); Schiavi, Emanuele (Investigador/a); Aranda Barjola, Luis Alberto (Investigador principal (IP)); Ramírez Díaz, Iván (Investigador principal (IP)); Cuesta Infante, Alfredo (Investigador/a)","2025-01-01","2024/SOLCON-135334","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-135334. Diseño, implementación y evaluación de redes neuronales tolerantes a fallos en hardware de alto rendimiento, destinadas a aplicaciones de conducción y control autónomo de vehículos espaciales.. Hortelano Haro, Diego (Investigador/a); Schiavi, Emanuele (Investigador/a); Aranda Barjola, Luis Alberto (Investigador principal (IP)); Ramírez Díaz, Iván (Investigador principal (IP)); Cuesta Infante, Alfredo (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3710 (Universidad Rey Juan Carlos)"
"PACIENTE SINTETICO: DESARROLLO Y VALIDACION DE ALGORITMOS PARA LA GENERACION DE DATOS SINTETICOS EN ENSAYOS CLINICOS","Cuesta Infante, Alfredo (Investigador principal (IP))","2024-12-01","CPP2023-010929","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:CPP2023-010929. PACIENTE SINTETICO: DESARROLLO Y VALIDACION DE ALGORITMOS PARA LA GENERACION DE DATOS SINTETICOS EN ENSAYOS CLINICOS. Cuesta Infante, Alfredo (Investigador principal (IP)).  Financiadora: Ministerio de Ciencia e Innovación  (2024-12-01 / 2027-11-30)","M3616 (Universidad Rey Juan Carlos)"
"Modelling water disinfection process and sperm motility with deep reinforcement and imitation learning","Sanz Montemayor, Antonio (Tutor) ; Cuesta Infante, Alfredo (Director) Doctorando: SERGIO HERNANDEZ GARCIA","2024-09-27","-","-","Dirección de Tesis, TFG, TFM, etc.","Tesis Doctoral","-","-","-","-","-","-","-","Sanz Montemayor, Antonio (Tutor) ; Cuesta Infante, Alfredo (Director) Doctorando: SERGIO HERNANDEZ GARCIA (2024). Modelling water disinfection process and sperm motility with deep reinforcement and imitation learning. Universidad Rey Juan Carlos","-"
"Estrategias de Aprendizaje Incremental en Redes Convolucionales para el Reconocimiento de Imágenes","Beltrán Royo, César (Tutor) ; Cuesta Infante, Alfredo (Director) Doctorando: LAURA LLOPIS IBOR","2024-09-12","-","-","Dirección de Tesis, TFG, TFM, etc.","Tesis Doctoral","-","-","-","-","-","-","-","Beltrán Royo, César (Tutor) ; Cuesta Infante, Alfredo (Director) Doctorando: LAURA LLOPIS IBOR (2024). Estrategias de Aprendizaje Incremental en Redes Convolucionales para el Reconocimiento de Imágenes.","-"
"SEMINARIOS DE VISIÓN ARTIFICIAL","Cuesta Infante, Alfredo","2024-09-01","623012-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Infante, Alfredo (2024). SEMINARIOS DE VISIÓN ARTIFICIAL. Universdiad Rey Juan Carlos","2024-25_6230_623012_alfredo.cuesta (Universidad Rey Juan Carlos)"
