"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Arquitectura Phi: Una arquitectura modular para el procesamiento híbrido de datos","Vela Sánchez, Belén (Tutor) ; Cuesta Quintero, Carlos Enrique (Codirector) Doctorando: JUAN FELIPE CEREZO PEREZ","2025-09-05","-","-","Dirección de Tesis, TFG, TFM, etc.","Tesis Doctoral","-","-","-","-","-","-","-","Vela Sánchez, Belén (Tutor) ; Cuesta Quintero, Carlos Enrique (Codirector) Doctorando: JUAN FELIPE CEREZO PEREZ (2025). Arquitectura Phi: Una arquitectura modular para el procesamiento híbrido de datos. Universdiad Rey Juan Carlos","-"
"SISTEMAS DISTRIBUIDOS","Cuesta Quintero, Carlos Enrique","2025-09-01","2117033-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Quintero, Carlos Enrique (2025). SISTEMAS DISTRIBUIDOS. Universdiad Rey Juan Carlos","2025-26_2117_2117033_carlos.cuesta (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS","Cuesta Quintero, Carlos Enrique","2025-09-01","2114033-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Quintero, Carlos Enrique (2025). SISTEMAS DISTRIBUIDOS. Universdiad Rey Juan Carlos","2025-26_2114_2114033_carlos.cuesta (Universidad Rey Juan Carlos)"
"EVOLUCION Y ADAPTACION DEL SOFTWARE","Cuesta Quintero, Carlos Enrique","2025-09-01","2114031-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Quintero, Carlos Enrique (2025). EVOLUCION Y ADAPTACION DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2114_2114031_carlos.cuesta (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS DE PROCESAMIENTO DE DATOS I","Cuesta Quintero, Carlos Enrique","2025-09-01","2360027-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Quintero, Carlos Enrique (2025). SISTEMAS DISTRIBUIDOS DE PROCESAMIENTO DE DATOS I. Universdiad Rey Juan Carlos","2025-26_2360_2360027_carlos.cuesta (Universidad Rey Juan Carlos)"
"EVOLUCION Y ADAPTACION DEL SOFTWARE","Cuesta Quintero, Carlos Enrique","2025-09-01","2034026-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Quintero, Carlos Enrique (2025). EVOLUCION Y ADAPTACION DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2034_2034026_carlos.cuesta (Universidad Rey Juan Carlos)"
"EVOLUCION Y ADAPTACION DEL SOFTWARE","Cuesta Quintero, Carlos Enrique","2025-09-01","2316032-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Quintero, Carlos Enrique (2025). EVOLUCION Y ADAPTACION DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2316_2316032_carlos.cuesta (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS","Cuesta Quintero, Carlos Enrique","2025-09-01","2315033-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Quintero, Carlos Enrique (2025). SISTEMAS DISTRIBUIDOS. Universdiad Rey Juan Carlos","2025-26_2315_2315033_carlos.cuesta (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS","Cuesta Quintero, Carlos Enrique","2025-09-01","2097050-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Quintero, Carlos Enrique (2025). SISTEMAS DISTRIBUIDOS. Universdiad Rey Juan Carlos","2025-26_2097_2097050_carlos.cuesta (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS","Cuesta Quintero, Carlos Enrique","2025-09-01","2113031-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cuesta Quintero, Carlos Enrique (2025). SISTEMAS DISTRIBUIDOS. Universdiad Rey Juan Carlos","2025-26_2113_2113031_carlos.cuesta (Universidad Rey Juan Carlos)"
