"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INGENIERIA DEL SOFTWARE","Cáceres García de Marina, María de la Paloma","2025-09-01","2059020-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cáceres García de Marina, María de la Paloma (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2059_2059020_paloma.caceres (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Cáceres García de Marina, María de la Paloma","2025-09-01","2073059-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cáceres García de Marina, María de la Paloma (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2073_2073059_paloma.caceres (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Cáceres García de Marina, María de la Paloma","2025-09-01","2059004-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cáceres García de Marina, María de la Paloma (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2059_2059004_paloma.caceres (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Cáceres García de Marina, María de la Paloma","2025-09-01","2073006-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cáceres García de Marina, María de la Paloma (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2073_2073006_paloma.caceres (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Cáceres García de Marina, María de la Paloma","2025-09-01","2269059-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cáceres García de Marina, María de la Paloma (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2269_2269059_paloma.caceres (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Cáceres García de Marina, María de la Paloma","2025-09-01","2243033-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cáceres García de Marina, María de la Paloma (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2243_2243033_paloma.caceres (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Cáceres García de Marina, María de la Paloma","2025-09-01","2243004-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cáceres García de Marina, María de la Paloma (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2243_2243004_paloma.caceres (Universidad Rey Juan Carlos)"
"Obtención y Almacenamiento de Datos Deportivos","Cáceres García de Marina, María de la Paloma","2025-09-01","641205-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cáceres García de Marina, María de la Paloma (2025). Obtención y Almacenamiento de Datos Deportivos. Universdiad Rey Juan Carlos","2025-26_6412_641205_paloma.caceres (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Cáceres García de Marina, María de la Paloma","2025-09-01","2269006-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cáceres García de Marina, María de la Paloma (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2269_2269006_paloma.caceres (Universidad Rey Juan Carlos)"
"CATEGORAIZE: USA LA INTELIGENCIA ARTIFICIAL PARA CLASIFICAR Y CONTROLAR TUS GASTOS","Cuadra Fernández, Mª Dolores (Tutor); Cáceres García de Marina, María de la Paloma (Cotutor)","2025-07-19","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cuadra Fernández, Mª Dolores (Tutor); Cáceres García de Marina, María de la Paloma (Cotutor) (2025). CATEGORAIZE: USA LA INTELIGENCIA ARTIFICIAL PARA CLASIFICAR Y CONTROLAR TUS GASTOS.","-"
"MÉTODO DE GENERACIÓN DE RUTAS URBANAS SEGURAS","Cáceres García de Marina, María de la Paloma (Tutor)","2025-07-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cáceres García de Marina, María de la Paloma (Tutor) (2025). MÉTODO DE GENERACIÓN DE RUTAS URBANAS SEGURAS.","-"
"MODELADO DE INTERFACES DE USUARIO PARA GEMELOS DIGITALES HUMANOS","Cáceres García de Marina, María de la Paloma (Tutor)","2025-07-09","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cáceres García de Marina, María de la Paloma (Tutor) (2025). MODELADO DE INTERFACES DE USUARIO PARA GEMELOS DIGITALES HUMANOS.","-"
"DESARROLLO DE UNA APLICACIÓN DE SEGUIMIENTO INFORMÁTICO FORENSE","Cáceres García de Marina, María de la Paloma (Tutor)","2025-07-03","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cáceres García de Marina, María de la Paloma (Tutor) (2025). DESARROLLO DE UNA APLICACIÓN DE SEGUIMIENTO INFORMÁTICO FORENSE.","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Cáceres García de Marina, María de la Paloma","2025-01-01","1813476-4076","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
