"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"SEGURIDAD EN REDES","Cáceres Taladriz, César","2025-09-01","2285019-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cáceres Taladriz, César (2025). SEGURIDAD EN REDES. Universdiad Rey Juan Carlos","2025-26_2285_2285019_cesar.caceres (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","Cáceres Taladriz, César","2025-09-01","2285014-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cáceres Taladriz, César (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2285_2285014_cesar.caceres (Universidad Rey Juan Carlos)"
"Introduction to Networks","Cáceres Taladriz, César","2025-09-01","474801-4748","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cáceres Taladriz, César (2025). Introduction to Networks. Universdiad Rey Juan Carlos","2025-26_4748_474801_cesar.caceres (Universidad Rey Juan Carlos)"
"LABORATORIO PARA LA APLICACIÓN DE TÉCNICAS DE FUZZING SOBRE EL PROTOCOLO IKEV2","Cáceres Taladriz, César (Tutor)","2025-07-22","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cáceres Taladriz, César (Tutor) (2025). LABORATORIO PARA LA APLICACIÓN DE TÉCNICAS DE FUZZING SOBRE EL PROTOCOLO IKEV2.","-"
"DESARROLLO Y EVALUACIÓN DE UN SISTEMA DE DETECCIÓN DE INTRUSIONES (IDS) BASADO EN TÉCNICAS DE APRENDIZAJE AUTOMÁTICO","Cáceres Taladriz, César (Tutor)","2025-07-14","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cáceres Taladriz, César (Tutor) (2025). DESARROLLO Y EVALUACIÓN DE UN SISTEMA DE DETECCIÓN DE INTRUSIONES (IDS) BASADO EN TÉCNICAS DE APRENDIZAJE AUTOMÁTICO.","-"
"DISEÑO E IMPLEMENTACIÓN DE PRÁCTICAS DOCENTES PARA EL APRENDIZAJE DE VPN","Cáceres Taladriz, César (Tutor)","2025-05-28","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cáceres Taladriz, César (Tutor) (2025). DISEÑO E IMPLEMENTACIÓN DE PRÁCTICAS DOCENTES PARA EL APRENDIZAJE DE VPN.","-"
"DESPLIEGUE DE HONEYPOTS EN EL ENTORNO CLOUD DE AWS","Cáceres Taladriz, César (Tutor)","2025-02-13","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Cáceres Taladriz, César (Tutor) (2025). DESPLIEGUE DE HONEYPOTS EN EL ENTORNO CLOUD DE AWS.","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Cáceres Taladriz, César","2025-01-01","1813477-5096","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"REDES DE COMPUTADORES","Cáceres Taladriz, César","2024-09-01","2285014-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cáceres Taladriz, César (2024). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2285_2285014_cesar.caceres (Universidad Rey Juan Carlos)"
"SEGURIDAD EN REDES","Cáceres Taladriz, César","2024-09-01","2285019-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Cáceres Taladriz, César (2024). SEGURIDAD EN REDES. Universdiad Rey Juan Carlos","2024-25_2285_2285019_cesar.caceres (Universidad Rey Juan Carlos)"
