"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INTELIGENCIA ARTIFICIAL","Domínguez Mateos, Francisco","2025-09-01","2285026-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Domínguez Mateos, Francisco (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2285_2285026_francisco.dominguez (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Domínguez Mateos, Francisco","2025-09-01","2361014-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Domínguez Mateos, Francisco (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2361_2361014_francisco.dominguez (Universidad Rey Juan Carlos)"
"FISICA PARA VIDEOJUEGOS","Domínguez Mateos, Francisco","2025-09-01","2265002-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Domínguez Mateos, Francisco (2025). FISICA PARA VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2265_2265002_francisco.dominguez (Universidad Rey Juan Carlos)"
"PROGRAMACION AVANZADA","Domínguez Mateos, Francisco","2025-09-01","2175017-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Domínguez Mateos, Francisco (2025). PROGRAMACION AVANZADA. Universdiad Rey Juan Carlos","2025-26_2175_2175017_francisco.dominguez (Universidad Rey Juan Carlos)"
"PROGRAMACION AVANZADA","Domínguez Mateos, Francisco","2025-09-01","2321022-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Domínguez Mateos, Francisco (2025). PROGRAMACION AVANZADA. Universdiad Rey Juan Carlos","2025-26_2321_2321022_francisco.dominguez (Universidad Rey Juan Carlos)"
"DETECCIÓN DE OBJETOS DE INTERIOR","Domínguez Mateos, Francisco (Tutor)","2025-07-10","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Domínguez Mateos, Francisco (Tutor) (2025). DETECCIÓN DE OBJETOS DE INTERIOR.","-"
"Partially homomorphic framework for secure privacy-preserving ID creation","Hristov-Kalamov, Nikola; Fernandez-Ruiz, Raul; Conde, Cristina; alvarez-Marquina, Agustin; Dominguez-Mateos, Francisco; Gomez-Vilda, Pedro; Palacios-Alonso, Daniel","2025-05-21","10.1177/10692509251342680","N","Publicaciones","Artículo pendiente de publicación","Artificial intelligence; Biotecnología; Ciência da computação; Ciências biológicas ii; Computational theory and mathematics; Computer science applications; Computer science, artificial intelligence; Computer science, interdisciplinary applications; Economia; Engenharias ii; Engenharias iii; Engenharias iv; Engineering; Engineering, multidisciplinary; Interdisciplinar; Software; Theoretical computer science","Integrated Computer-Aided Engineering","0.887","-","-","-","Q1","Hristov-Kalamov, Nikola; Fernandez-Ruiz, Raul; Conde, Cristina; alvarez-Marquina, Agustin; Dominguez-Mateos, Francisco; Gomez-Vilda, Pedro; Palacios-A (2025). Partially homomorphic framework for secure privacy-preserving ID creation. Integrated Computer-Aided Engineering, (), -. DOI: 10.1177/10692509251342680","WOS:001492568700001 (WoS)"
"Zero-shot Learning for Subdiscrimination in Pre-trained Models","Dominguez-Mateos, Francisco; O'Brien, Vincent; Garland, James; Furlong, Ryan; Palacios-Alonso, Daniel","2025-01-01","10.3897/jucs.120860","Y","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Biotecnología; Ciência da computação; Ciências biológicas i; Computer science (all); Computer science (miscellaneous); Computer science, software engineering; Computer science, theory & methods; Direito; Educação; Engenharias iii; Engenharias iv; General computer science; Interdisciplinar; Linguística e literatura; Matemática / probabilidade e estatística; Medicina iii; Odontología; Saúde coletiva; Theoretical computer science","Journal Of Universal Computer Science","0.284","-","-","-","Q3","Dominguez-Mateos, Francisco; O'Brien, Vincent; Garland, James; Furlong, Ryan; Palacios-Alonso, Daniel (2025). Zero-shot Learning for Subdiscrimination in Pre-trained Models. Journal Of Universal Computer Science, 31(1), 93-110. DOI: 10.3897/jucs.120860","10.3897/jucs.120860 (Crossref);10286193 (iMarina);2-s2.0-85218806023 (Scopus);W4406702329 (OpenAlex);WOS:001421313200006 (WoS)"
"Noninvasive Deep Learning Analysis for Smith-Magenis Syndrome Classification","Núñez-Vidal, E; Fernández-Ruiz, R; Alvarez-Marquina, A; Hidalgo-delaGuía, I; Garayzábal-Heinze, E; Hristov-Kalamov, N; Domínguez-Mateos, F; Conde, C; Martínez-Olalla, R","2024-11-01","10.3390/app14219747","Y","Publicaciones","Artículo","Astronomia / física; Biodiversidade; Chemistry, multidisciplinary; Ciência de alimentos; Ciências agrárias i; Ciências biológicas i; Ciências biológicas ii; Ciências biológicas iii; Computer science applications; Engenharias i; Engenharias ii; Engineering (all); Engineering (miscellaneous); Engineering, multidisciplinary; Fluid flow and transfer processes; General engineering; General materials science; Instrumentation; Materiais; Materials science (all); Materials science (miscellaneous); Materials science, multidisciplinary; Physics, applied; Process chemistry and technology; Química","Applied Sciences-Basel","0.521","-","-","-","Q2","Núñez-Vidal, E; Fernández-Ruiz, R; Alvarez-Marquina, A; Hidalgo-delaGuía, I; Garayzábal-Heinze, E; Hristov-Kalamov, N; Domínguez-Mateos, F; Conde, C;  (2024). Noninvasive Deep Learning Analysis for Smith-Magenis Syndrome Classification. Applied Sciences-Basel, 14(21), 9747-. DOI: 10.3390/app14219747","10.3390/app14219747 (Crossref);2-s2.0-85208460533 (Scopus);WOS:001350992700001 (WoS)"
"Reconocimiento, Acreditacion Docente o Referencias","Domínguez Mateos, Francisco","2024-09-30","-","-","Reconocimientos","Reconocimiento, Acreditacion Docente o Referencias","-","-","-","-","-","-","-","Reconocimiento, Acreditacion Docente o Referencias (2024)","francisco.dominguez-quinquenios (Universidad Rey Juan Carlos)"
