"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Módulo 2.INVESTIGACIÓN POTENCIADA MENDIANTE INTELIGENCIA ARTIFICIAL","Duarte Muñoz, Abraham","2025-09-01","477402-4774","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Duarte Muñoz, Abraham (2025). Módulo 2.INVESTIGACIÓN POTENCIADA MENDIANTE INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_4774_477402_abraham.duarte (Universidad Rey Juan Carlos)"
"A novel parallel framework for scatter search","Casado, A; Perez-Pelo, S; Sanchez-Oro, J; Duarte, A; Laguna, M","2025-04-08","10.1016/j.knosys.2025.113248","N","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Artificial intelligence; Astronomia / física; Ciência da computação; Ciências biológicas i; Ciencias sociales; Computer science, artificial intelligence; Comunicación e información; Economia; Engenharias iii; Engenharias iv; Información y documentación; Information systems and management; Interdisciplinar; Management information systems; Matemática / probabilidade e estatística; Software","Knowledge-Based Systems","1.934","-","-","-","Q1","Casado, A; Perez-Pelo, S; Sanchez-Oro, J; Duarte, A; Laguna, M (2025). A novel parallel framework for scatter search. Knowledge-Based Systems, 314(), 113248-. DOI: 10.1016/j.knosys.2025.113248","10.1016/j.knosys.2025.113248 (Crossref);10295105 (iMarina);2-s2.0-85219570767 (Scopus);WOS:001440604300001 (WoS)"
"Home Advantage in Football: Exploring Its Effect on Individual Performance","Chacon-Fernandez, Eduardo; Brunso-Costal, Gerard; Duarte, Abraham; Sanchez-Oro, Jesus; Alonso-Perez-Chao, Enrique","2025-02-01","10.3390/app15042242","Y","Publicaciones","Artículo","Astronomia / física; Biodiversidade; Chemistry, multidisciplinary; Ciência de alimentos; Ciências agrárias i; Ciências biológicas i; Ciências biológicas ii; Ciências biológicas iii; Computer science applications; Engenharias i; Engenharias ii; Engineering (all); Engineering (miscellaneous); Engineering, multidisciplinary; Fluid flow and transfer processes; General engineering; General materials science; Instrumentation; Materiais; Materials science (all); Materials science (miscellaneous); Materials science, multidisciplinary; Physics, applied; Process chemistry and technology; Química","Applied Sciences-Basel","0.521","-","-","-","Q2","Chacon-Fernandez, Eduardo; Brunso-Costal, Gerard; Duarte, Abraham; Sanchez-Oro, Jesus; Alonso-Perez-Chao, Enrique (2025). Home Advantage in Football: Exploring Its Effect on Individual Performance. Applied Sciences-Basel, 15(4), 2242-. DOI: 10.3390/app15042242","10.3390/app15042242 (Crossref);2-s2.0-85218634977 (Scopus);WOS:001430611200001 (WoS)"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Duarte Muñoz, Abraham","2025-01-01","1813498-4652","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Ciberseguridad e inteligencia artificial resiliente para la Comunidad de Madrid. (GRAFO)","Serrano Luján, Lucía (Investigador/a); Penedo Ventosa, Iván (Investigador/a); Pérez Peló, Sergio (Investigador/a); Martín García, Lucas (Investigador/a); Cavero Díaz, Sergio (Investigador/a); Colmenar Verdugo, José Manuel (Investigador/a); Salazar Cárdenas, Sergio (Investigador/a); Martín Santamaría, Raúl (Investigador/a); Ventura Cabrejas, Silvia (Investigador/a); Lozano Osorio, Isaac (Investigador/a); García Pardo, Eduardo (Investigador/a); Herrán González, Alberto (Investigador/a); Casado Ceballos, Alejandra (Investigador/a); Diaconescu, Teodor Andrei (Investigador/a); Duarte Muñoz, Abraham (Investigador/a); Sánchez-Oro Calvo, Jesús (Investigador principal (IP)); Yuste Moure, Javier (Investigador/a); Fernández Timón, Alfonso (Investigador/a); González Pardo, Antonio (Investigador/a); Robles Rodríguez, Marcos (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Viejo Fernández, Manuel (Investigador/a)","2025-01-01","TEC-2024/COM-404","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:TEC-2024/COM-404. Ciberseguridad e inteligencia artificial resiliente para la Comunidad de Madrid. (GRAFO). Serrano Luján, Lucía (Investigador/a); Penedo Ventosa, Iván (Investigador/a); Pérez Peló, Sergio (Investigador/a); Martín García, Lucas (Investigador/a); Cavero Díaz, Sergio (Investigador/a); Colmenar Verdugo, José Manuel (Investigador/a); Salazar Cárdenas, Sergio (Investigador/a); Martín Santamaría, Raúl (Investigador/a); Ventura Cabrejas, Silvia (Investigador/a); Lozano Osorio, Isaac (Investigador/a); García Pardo, Eduardo (Investigador/a); Herrán González, Alberto (Investigador/a); Casado Ceballos, Alejandra (Investigador/a); Diaconescu, Teodor Andrei (Investigador/a); Duarte Muñoz, Abraham (Investigador/a); Sánchez-Oro Calvo, Jesús (Investigador principal (IP)); Yuste Moure, Javier (Investigador/a); Fernández Timón, Alfonso (Investigador/a); González Pardo, Antonio (Investigador/a); Robles Rodríguez, Marcos (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Viejo Fernández, Manuel (Investigador/a).  Financiadora: Comunidad de Madrid  (2025-01-01 / 2028-12-31)","M3832 (Universidad Rey Juan Carlos)"
"GRASP with Evolutionary Path Relinking for the conditional p-Dispersion problem","Sánchez-Oro, J; Martínez-Gavara, A; López-Sánchez, AD; Martí, R; Duarte, A","2025-01-01","10.1016/j.asoc.2024.112494","Y","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Biotecnología; Ciência da computação; Ciência de alimentos; Computer science, artificial intelligence; Computer science, interdisciplinary applications; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Interdisciplinar; Matemática / probabilidade e estatística; Software","Applied Soft Computing","1.511","-","-","-","Q1","Sánchez-Oro, J; Martínez-Gavara, A; López-Sánchez, AD; Martí, R; Duarte, A (2025). GRASP with Evolutionary Path Relinking for the conditional p-Dispersion problem. Applied Soft Computing, 168(), 112494-. DOI: 10.1016/j.asoc.2024.112494","10.1016/j.asoc.2024.112494 (Crossref);10214636 (iMarina);2-s2.0-85210134226 (Scopus);WOS:001372358600001 (WoS)"
"A variable neighborhood search for the median location problem with interconnected facilities","Lozano-Osorio, I; Sánchez-Oro, J; López-Sánchez, AD; Duarte, A","2025-01-01","10.1111/itor.13468","Y","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Administração, ciências contábeis e turismo; Business and international management; Ciência da computação; Ciências agrárias i; Ciências ambientais; Ciencias sociales; Computer science applications; Economia; Engenharias i; Engenharias iii; Engenharias iv; Interdisciplinar; Management; Management of technology and innovation; Management science and operations research; Matemática / probabilidade e estatística; Operations research & management science; Planejamento urbano e regional / demografia; Strategy and management","International Transactions In Operational Research","0.993","-","-","-","Q1","Lozano-Osorio, I; Sánchez-Oro, J; López-Sánchez, AD; Duarte, A (2025). A variable neighborhood search for the median location problem with interconnected facilities. International Transactions In Operational Research, 32(1), 69-89. DOI: 10.1111/itor.13468","2-s2.0-85191072887 (Scopus);WOS:001207543900001 (WoS)"
"INTRODUCCIÓN Y FUNDAMENTOS DE LA INTELIGENCIA ARTIFICIAL","Duarte Muñoz, Abraham","2024-09-01","472501-4725","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Duarte Muñoz, Abraham (2024). INTRODUCCIÓN Y FUNDAMENTOS DE LA INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2024-25_4725_472501_abraham.duarte (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Duarte Muñoz, Abraham","2024-09-01","2034019-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Duarte Muñoz, Abraham (2024). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2024-25_2034_2034019_abraham.duarte (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Duarte Muñoz, Abraham","2024-09-01","2114019-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Duarte Muñoz, Abraham (2024). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2024-25_2114_2114019_abraham.duarte (Universidad Rey Juan Carlos)"
