"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Díaz Bermúdez, Francisco Javier","2025-09-01","2071022-2071","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2025). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2071_2071022_francisco.diaz (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Díaz Bermúdez, Francisco Javier","2025-09-01","2243042-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2243_2243042_francisco.diaz (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Díaz Bermúdez, Francisco Javier","2025-09-01","2059023-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2059_2059023_francisco.diaz (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Díaz Bermúdez, Francisco Javier","2025-09-01","2269044-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2269_2269044_francisco.diaz (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Díaz Bermúdez, Francisco Javier","2025-09-01","2083010-2083","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2025). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2083_2083010_francisco.diaz (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Díaz Bermúdez, Francisco Javier","2025-09-01","2059030-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2059_2059030_francisco.diaz (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Díaz Bermúdez, Francisco Javier","2025-09-01","2243049-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2243_2243049_francisco.diaz (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Díaz Bermúdez, Francisco Javier","2025-09-01","2073051-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2073_2073051_francisco.diaz (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Díaz Bermúdez, Francisco Javier","2025-09-01","2081009-2081","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2025). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2081_2081009_francisco.diaz (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Díaz Bermúdez, Francisco Javier","2025-09-01","2135019-2135","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2025). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2135_2135019_francisco.diaz (Universidad Rey Juan Carlos)"
"Factoría del Futuro","Díaz Bermúdez, Francisco Javier","2025-09-01","409308-4093","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2025). Factoría del Futuro. Universdiad Rey Juan Carlos","2025-26_4093_409308_francisco.diaz (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Díaz Bermúdez, Francisco Javier","2025-09-01","2073044-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2073_2073044_francisco.diaz (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Díaz Bermúdez, Francisco Javier","2025-09-01","2269051-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2269_2269051_francisco.diaz (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Díaz Bermúdez, Francisco Javier","2024-09-01","2059023-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2024). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2024-25_2059_2059023_francisco.diaz (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Díaz Bermúdez, Francisco Javier","2024-09-01","2073044-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2024). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2024-25_2073_2073044_francisco.diaz (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Díaz Bermúdez, Francisco Javier","2024-09-01","2269044-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2024). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2024-25_2269_2269044_francisco.diaz (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Díaz Bermúdez, Francisco Javier","2024-09-01","2073051-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2024). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2024-25_2073_2073051_francisco.diaz (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Díaz Bermúdez, Francisco Javier","2024-09-01","2269051-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2024). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2024-25_2269_2269051_francisco.diaz (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Díaz Bermúdez, Francisco Javier","2024-09-01","2059030-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2024). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2024-25_2059_2059030_francisco.diaz (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Díaz Bermúdez, Francisco Javier","2024-09-01","2243042-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2024). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2024-25_2243_2243042_francisco.diaz (Universidad Rey Juan Carlos)"
"Factoría del Futuro","Díaz Bermúdez, Francisco Javier","2024-09-01","409308-4093","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Díaz Bermúdez, Francisco Javier (2024). Factoría del Futuro. Universdiad Rey Juan Carlos","2024-25_4093_409308_francisco.diaz (Universidad Rey Juan Carlos)"
