"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"MATEMATICA DISCRETA","Efremov Postnikov, Román","2025-09-01","2175003-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2025). MATEMATICA DISCRETA. Universdiad Rey Juan Carlos","2025-26_2175_2175003_roman.efremov (Universidad Rey Juan Carlos)"
"PROBABILIDAD Y ESTADISTICA","Efremov Postnikov, Román","2025-09-01","2361008-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2025). PROBABILIDAD Y ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2361_2361008_roman.efremov (Universidad Rey Juan Carlos)"
"ESTADISTICA","Efremov Postnikov, Román","2025-09-01","2117001-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2117_2117001_roman.efremov (Universidad Rey Juan Carlos)"
"ESTADISTICA","Efremov Postnikov, Román","2025-09-01","2032011-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2032_2032011_roman.efremov (Universidad Rey Juan Carlos)"
"Ingeniería de la Decisión","Efremov Postnikov, Román","2025-09-01","639901-6399","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2025). Ingeniería de la Decisión. Universdiad Rey Juan Carlos","2025-26_6399_639901_roman.efremov (Universidad Rey Juan Carlos)"
"ESTADISTICA","Efremov Postnikov, Román","2025-09-01","2175014-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2175_2175014_roman.efremov (Universidad Rey Juan Carlos)"
"ESTADISTICA","Efremov Postnikov, Román","2025-09-01","2113011-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2113_2113011_roman.efremov (Universidad Rey Juan Carlos)"
"ESTADISTICA","Efremov Postnikov, Román","2025-09-01","2033011-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2033_2033011_roman.efremov (Universidad Rey Juan Carlos)"
"ESTADISTICA","Efremov Postnikov, Román","2025-09-01","2285009-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2285_2285009_roman.efremov (Universidad Rey Juan Carlos)"
"ESTADISTICA","Efremov Postnikov, Román","2025-09-01","2321012-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2321_2321012_roman.efremov (Universidad Rey Juan Carlos)"
"Estadística","Efremov Postnikov, Román","2025-09-01","2394007-2394","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2025). Estadística. Universdiad Rey Juan Carlos","2025-26_2394_2394007_roman.efremov (Universidad Rey Juan Carlos)"
"ESTADISTICA","Efremov Postnikov, Román","2025-09-01","2343006-2343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2343_2343006_roman.efremov (Universidad Rey Juan Carlos)"
"ESTADISTICA","Efremov Postnikov, Román","2024-09-01","2163020-2163","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2024). ESTADISTICA. Universdiad Rey Juan Carlos","2024-25_2163_2163020_roman.efremov (Universidad Rey Juan Carlos)"
"ESTADISTICA","Efremov Postnikov, Román","2024-09-01","2122008-2122","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2024). ESTADISTICA. Universdiad Rey Juan Carlos","2024-25_2122_2122008_roman.efremov (Universidad Rey Juan Carlos)"
"ESTADISTICA","Efremov Postnikov, Román","2024-09-01","2030008-2030","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2024). ESTADISTICA. Universdiad Rey Juan Carlos","2024-25_2030_2030008_roman.efremov (Universidad Rey Juan Carlos)"
"ESTADISTICA","Efremov Postnikov, Román","2024-09-01","2285009-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2024). ESTADISTICA. Universdiad Rey Juan Carlos","2024-25_2285_2285009_roman.efremov (Universidad Rey Juan Carlos)"
"Reconocimiento, Acreditacion Docente o Referencias","Efremov Postnikov, Román","2023-10-15","-","-","Reconocimientos","Reconocimiento, Acreditacion Docente o Referencias","-","-","-","-","-","-","-","Reconocimiento, Acreditacion Docente o Referencias (2023)","roman.efremov-quinquenios (Universidad Rey Juan Carlos)"
"ESTADISTICA","Efremov Postnikov, Román","2023-09-01","2163020-2163","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2023). ESTADISTICA. Universdiad Rey Juan Carlos","2023-24_2163_2163020_roman.efremov (Universidad Rey Juan Carlos)"
"MATEMATICA DISCRETA","Efremov Postnikov, Román","2023-09-01","2175003-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Efremov Postnikov, Román (2023). MATEMATICA DISCRETA. Universdiad Rey Juan Carlos","2023-24_2175_2175003_roman.efremov (Universidad Rey Juan Carlos)"
