"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"BASE DE DATOS","Erausquin Granados, José Luis","2025-09-01","2265012-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Erausquin Granados, José Luis (2025). BASE DE DATOS. Universdiad Rey Juan Carlos","2025-26_2265_2265012_joseluis.erausquin (Universidad Rey Juan Carlos)"
"PROCESO DE DESARROLLO DE VIDEOJUEGOS","Erausquin Granados, José Luis","2025-09-01","2265021-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Erausquin Granados, José Luis (2025). PROCESO DE DESARROLLO DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2265_2265021_joseluis.erausquin (Universidad Rey Juan Carlos)"
"BASE DE DATOS","Erausquin Granados, José Luis","2024-09-01","2265012-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Erausquin Granados, José Luis (2024). BASE DE DATOS. Universdiad Rey Juan Carlos","2024-25_2265_2265012_joseluis.erausquin (Universidad Rey Juan Carlos)"
"PROCESO DE DESARROLLO DE VIDEOJUEGOS","Erausquin Granados, José Luis","2024-09-01","2265021-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Erausquin Granados, José Luis (2024). PROCESO DE DESARROLLO DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2024-25_2265_2265021_joseluis.erausquin (Universidad Rey Juan Carlos)"
"BASE DE DATOS","Erausquin Granados, José Luis","2023-09-01","2265012-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Erausquin Granados, José Luis (2023). BASE DE DATOS. Universdiad Rey Juan Carlos","2023-24_2265_2265012_joseluis.erausquin (Universidad Rey Juan Carlos)"
"PROCESO DE DESARROLLO DE VIDEOJUEGOS","Erausquin Granados, José Luis","2023-09-01","2265021-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Erausquin Granados, José Luis (2023). PROCESO DE DESARROLLO DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2023-24_2265_2265021_joseluis.erausquin (Universidad Rey Juan Carlos)"
"PROCESO DE DESARROLLO DE VIDEOJUEGOS","Erausquin Granados, José Luis","2022-09-01","2265021-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Erausquin Granados, José Luis (2022). PROCESO DE DESARROLLO DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2022-23_2265_2265021_joseluis.erausquin (Universidad Rey Juan Carlos)"
"BASE DE DATOS","Erausquin Granados, José Luis","2022-09-01","2265012-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Erausquin Granados, José Luis (2022). BASE DE DATOS. Universdiad Rey Juan Carlos","2022-23_2265_2265012_joseluis.erausquin (Universidad Rey Juan Carlos)"
"BASE DE DATOS","Erausquin Granados, José Luis","2021-09-01","2265012-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Erausquin Granados, José Luis (2021). BASE DE DATOS. Universdiad Rey Juan Carlos","2021-22_2265_2265012_joseluis.erausquin (Universidad Rey Juan Carlos)"
"PROCESO DE DESARROLLO DE VIDEOJUEGOS","Erausquin Granados, José Luis","2021-09-01","2265021-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Erausquin Granados, José Luis (2021). PROCESO DE DESARROLLO DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2021-22_2265_2265021_joseluis.erausquin (Universidad Rey Juan Carlos)"
