"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"IMPLEMENTACIÓN DE SENSORES CON MODELOS DIGITAL TWIN EN UNA PLATAFORMA DE AUTOMATIZACIÓN HOME ASSISTANT","Fernández Gil, Alberto (Cotutor); Bernabé Sánchez, Iván (Tutor)","2025-09-27","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Fernández Gil, Alberto (Cotutor); Bernabé Sánchez, Iván (Tutor) (2025). IMPLEMENTACIÓN DE SENSORES CON MODELOS DIGITAL TWIN EN UNA PLATAFORMA DE AUTOMATIZACIÓN HOME ASSISTANT.","-"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2025-09-01","2315032-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2315_2315032_alberto.fernandez (Universidad Rey Juan Carlos)"
"INGENIERIA DEL CONOCIMIENTO","Fernández Gil, Alberto","2025-09-01","2034022-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). INGENIERIA DEL CONOCIMIENTO. Universdiad Rey Juan Carlos","2025-26_2034_2034022_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2025-09-01","2243055-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2243_2243055_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2025-09-01","2059028-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2059_2059028_alberto.fernandez (Universidad Rey Juan Carlos)"
"REPRESENTACION DE CONOCIMIENTO Y RAZONAMIENTO I","Fernández Gil, Alberto","2025-09-01","2361025-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). REPRESENTACION DE CONOCIMIENTO Y RAZONAMIENTO I. Universdiad Rey Juan Carlos","2025-26_2361_2361025_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2025-09-01","2269049-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2269_2269049_alberto.fernandez (Universidad Rey Juan Carlos)"
"SISTEMAS INTELIGENTES","Fernández Gil, Alberto","2025-09-01","2321046-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). SISTEMAS INTELIGENTES. Universdiad Rey Juan Carlos","2025-26_2321_2321046_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2025-09-01","2033028-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2033_2033028_alberto.fernandez (Universidad Rey Juan Carlos)"
"SISTEMAS AUTÓNOMOS Y MULTIAGENTE","Fernández Gil, Alberto","2025-09-01","635505-6355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). SISTEMAS AUTÓNOMOS Y MULTIAGENTE. Universdiad Rey Juan Carlos","2025-26_6355_635505_alberto.fernandez (Universidad Rey Juan Carlos)"
"INGENIERIA DEL CONOCIMIENTO","Fernández Gil, Alberto","2025-09-01","2118039-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). INGENIERIA DEL CONOCIMIENTO. Universdiad Rey Juan Carlos","2025-26_2118_2118039_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2025-09-01","2097049-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2097_2097049_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2025-09-01","2114032-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2114_2114032_alberto.fernandez (Universidad Rey Juan Carlos)"
"SISTEMAS INTELIGENTES","Fernández Gil, Alberto","2025-09-01","2032030-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). SISTEMAS INTELIGENTES. Universdiad Rey Juan Carlos","2025-26_2032_2032030_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2025-09-01","2117036-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2117_2117036_alberto.fernandez (Universidad Rey Juan Carlos)"
"INGENIERIA DEL CONOCIMIENTO","Fernández Gil, Alberto","2025-09-01","2316037-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). INGENIERIA DEL CONOCIMIENTO. Universdiad Rey Juan Carlos","2025-26_2316_2316037_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2025-09-01","2073049-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2073_2073049_alberto.fernandez (Universidad Rey Juan Carlos)"
"SISTEMAS INTELIGENTES","Fernández Gil, Alberto","2025-09-01","2113039-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). SISTEMAS INTELIGENTES. Universdiad Rey Juan Carlos","2025-26_2113_2113039_alberto.fernandez (Universidad Rey Juan Carlos)"
"REPRESENTACION DE CONOCIMIENTO Y RAZONAMIENTO II","Fernández Gil, Alberto","2025-09-01","2361027-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2025). REPRESENTACION DE CONOCIMIENTO Y RAZONAMIENTO II. Universdiad Rey Juan Carlos","2025-26_2361_2361027_alberto.fernandez (Universidad Rey Juan Carlos)"
"SIMULACIÓN Y VISUALIZACIÓN DE RUTAS DE CAMIONES DE RECOGIDA DE RESIDUOS","Fernández Gil, Alberto (Tutor); Lujak, Marin (Cotutor)","2025-07-02","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Fernández Gil, Alberto (Tutor); Lujak, Marin (Cotutor) (2025). SIMULACIÓN Y VISUALIZACIÓN DE RUTAS DE CAMIONES DE RECOGIDA DE RESIDUOS.","-"
"LINKMYCITY: UNA APLICACIÓN DE VISUALIZACIÓN DE DATOS PARA LA GESTIÓN DE SISTEMAS DE TRANSPORTE COMPARTIDO","Fernández Gil, Alberto (Tutor); Karanik, Marcelo Javier (Cotutor)","2025-06-25","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Fernández Gil, Alberto (Tutor); Karanik, Marcelo Javier (Cotutor) (2025). LINKMYCITY: UNA APLICACIÓN DE VISUALIZACIÓN DE DATOS PARA LA GESTIÓN DE SISTEMAS DE TRANSPORTE COMPARTIDO.","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Fernández Gil, Alberto","2025-01-01","1813500-4068","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Tramo de Investigación (Sexenio)","Fernández Gil, Alberto","2024-12-31","-","-","Reconocimientos","Tramo de Investigación (Sexenio)","-","-","-","-","-","-","-","Tramo de Investigación (Sexenio) (2024)","alberto.fernandez-sexenios (Universidad Rey Juan Carlos)"
"SISTEMAS AUTÓNOMOS Y MULTIAGENTE","Fernández Gil, Alberto","2024-09-01","635505-6355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). SISTEMAS AUTÓNOMOS Y MULTIAGENTE. Universdiad Rey Juan Carlos","2024-25_6355_635505_alberto.fernandez (Universidad Rey Juan Carlos)"
"REPRESENTACION DE CONOCIMIENTO Y RAZONAMIENTO II","Fernández Gil, Alberto","2024-09-01","2361027-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). REPRESENTACION DE CONOCIMIENTO Y RAZONAMIENTO II. Universdiad Rey Juan Carlos","2024-25_2361_2361027_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2024-09-01","2073049-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2024-25_2073_2073049_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2024-09-01","2243055-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2024-25_2243_2243055_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2024-09-01","2097049-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2024-25_2097_2097049_alberto.fernandez (Universidad Rey Juan Carlos)"
"SISTEMAS INTELIGENTES","Fernández Gil, Alberto","2024-09-01","2032030-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). SISTEMAS INTELIGENTES. Universdiad Rey Juan Carlos","2024-25_2032_2032030_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2024-09-01","2114032-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2024-25_2114_2114032_alberto.fernandez (Universidad Rey Juan Carlos)"
"INGENIERIA DEL CONOCIMIENTO","Fernández Gil, Alberto","2024-09-01","2118039-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). INGENIERIA DEL CONOCIMIENTO. Universdiad Rey Juan Carlos","2024-25_2118_2118039_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2024-09-01","2117036-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2024-25_2117_2117036_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2024-09-01","2061028-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2024-25_2061_2061028_alberto.fernandez (Universidad Rey Juan Carlos)"
"INGENIERIA DEL CONOCIMIENTO","Fernández Gil, Alberto","2024-09-01","2034022-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). INGENIERIA DEL CONOCIMIENTO. Universdiad Rey Juan Carlos","2024-25_2034_2034022_alberto.fernandez (Universidad Rey Juan Carlos)"
"REPRESENTACION DE CONOCIMIENTO Y RAZONAMIENTO I","Fernández Gil, Alberto","2024-09-01","2361025-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). REPRESENTACION DE CONOCIMIENTO Y RAZONAMIENTO I. Universdiad Rey Juan Carlos","2024-25_2361_2361025_alberto.fernandez (Universidad Rey Juan Carlos)"
"SISTEMAS INTELIGENTES","Fernández Gil, Alberto","2024-09-01","2113039-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). SISTEMAS INTELIGENTES. Universdiad Rey Juan Carlos","2024-25_2113_2113039_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2024-09-01","2269049-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2024-25_2269_2269049_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2024-09-01","2033028-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2024-25_2033_2033028_alberto.fernandez (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Gil, Alberto","2024-09-01","2059028-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Gil, Alberto (2024). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2024-25_2059_2059028_alberto.fernandez (Universidad Rey Juan Carlos)"
