"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Big Data Processing II","Fernández Isabel, Alberto","2025-09-01","641211-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Isabel, Alberto (2025). Big Data Processing II. Universdiad Rey Juan Carlos","2025-26_6412_641211_alberto.fernandez.isabel (Universidad Rey Juan Carlos)"
"Análisis de Big Data","Fernández Isabel, Alberto","2025-09-01","639909-6399","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Isabel, Alberto (2025). Análisis de Big Data. Universdiad Rey Juan Carlos","2025-26_6399_639909_alberto.fernandez.isabel (Universidad Rey Juan Carlos)"
"PROCESAMIENTO DE LENGUAJE NATURAL Y MINERIA DE TEXTO","Fernández Isabel, Alberto","2025-09-01","2360040-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Isabel, Alberto (2025). PROCESAMIENTO DE LENGUAJE NATURAL Y MINERIA DE TEXTO. Universdiad Rey Juan Carlos","2025-26_2360_2360040_alberto.fernandez.isabel (Universidad Rey Juan Carlos)"
"APLICACIONES DE LA INTELIGENCIA ARTIFICIAL","Fernández Isabel, Alberto","2025-09-01","2361037-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Isabel, Alberto (2025). APLICACIONES DE LA INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2361_2361037_alberto.fernandez.isabel (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Fernández Isabel, Alberto","2025-09-01","2285026-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Isabel, Alberto (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2285_2285026_alberto.fernandez.isabel (Universidad Rey Juan Carlos)"
"DESARROLLO DE UNA APLICACIÓN DE CHAT CON FUNCIONALIDADES DE DETECCIÓN DE CONTENIDO GENERADO POR IA EN IMÁGENES, AUDIO Y TEXTO","Fernández Isabel, Alberto (Tutor)","2025-07-16","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Fernández Isabel, Alberto (Tutor) (2025). DESARROLLO DE UNA APLICACIÓN DE CHAT CON FUNCIONALIDADES DE DETECCIÓN DE CONTENIDO GENERADO POR IA EN IMÁGENES, AUDIO Y TEXTO.","-"
"ANÁLISIS Y DESARROLLO DE UN CUADRO DE MANDO INTEGRAL EN QLIKSENSE","Fernández Isabel, Alberto (Cotutor); Lancho Martín, María del Carmen (Tutor)","2025-07-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Fernández Isabel, Alberto (Cotutor); Lancho Martín, María del Carmen (Tutor) (2025). ANÁLISIS Y DESARROLLO DE UN CUADRO DE MANDO INTEGRAL EN QLIKSENSE.","-"
"DESARROLLO DE UN PAQUETE EN R Y APLICACIÓN SHINY PARA ANÁLISIS DE DATOS","Fernández Isabel, Alberto (Tutor); López Cano, Emilio (Cotutor)","2025-06-24","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Fernández Isabel, Alberto (Tutor); López Cano, Emilio (Cotutor) (2025). DESARROLLO DE UN PAQUETE EN R Y APLICACIÓN SHINY PARA ANÁLISIS DE DATOS.","-"
"SISTEMA DE IA GENERATIVA PARA EL RESUMEN DE CARRERAS DE ATLETISMO","Fernández Isabel, Alberto (Tutor)","2025-06-16","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Fernández Isabel, Alberto (Tutor) (2025). SISTEMA DE IA GENERATIVA PARA EL RESUMEN DE CARRERAS DE ATLETISMO.","-"
"Ciencia de datos para la gestión sostenible del medio ambiente.","Martín de Diego, Isaac (Investigador/a); Arrogante Funes, Patricia (Investigador principal (IP)); Aceña Gil, Víctor (Investigador/a); García Bruzón, Adrián (Investigador/a); López Cano, Emilio (Investigador/a); Romero Calcerrada, Raúl (Investigador/a); Fernández Isabel, Alberto (Investigador/a); Novillo Camacho, Carlos José (Investigador/a)","2025-01-01","2024/SOLCON-137126","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-137126. Ciencia de datos para la gestión sostenible del medio ambiente.. Martín de Diego, Isaac (Investigador/a); Arrogante Funes, Patricia (Investigador principal (IP)); Aceña Gil, Víctor (Investigador/a); García Bruzón, Adrián (Investigador/a); López Cano, Emilio (Investigador/a); Romero Calcerrada, Raúl (Investigador/a); Fernández Isabel, Alberto (Investigador/a); Novillo Camacho, Carlos José (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3702 (Universidad Rey Juan Carlos)"
