"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"JUEGOS PARA WEB Y REDES SOCIALES","Fernández Ruiz, Raúl","2025-09-01","2265038-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2025). JUEGOS PARA WEB Y REDES SOCIALES. Universdiad Rey Juan Carlos","2025-26_2265_2265038_raul.fruiz (Universidad Rey Juan Carlos)"
"EGG QUEST, DISEÑO DE UN PLATAFORMAS INSPIRADO EN LA GAME BOY","Fernández Ruiz, Raúl (Tutor)","2025-07-19","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (Tutor) (2025). EGG QUEST, DISEÑO DE UN PLATAFORMAS INSPIRADO EN LA GAME BOY.","-"
"Noninvasive Deep Learning Analysis for Smith-Magenis Syndrome Classification","Núñez-Vidal, E; Fernández-Ruiz, R; Alvarez-Marquina, A; Hidalgo-delaGuía, I; Garayzábal-Heinze, E; Hristov-Kalamov, N; Domínguez-Mateos, F; Conde, C; Martínez-Olalla, R","2024-11-01","10.3390/app14219747","Y","Publicaciones","Artículo","Astronomia / física; Biodiversidade; Chemistry, multidisciplinary; Ciência de alimentos; Ciências agrárias i; Ciências biológicas i; Ciências biológicas ii; Ciências biológicas iii; Computer science applications; Engenharias i; Engenharias ii; Engineering (all); Engineering (miscellaneous); Engineering, multidisciplinary; Fluid flow and transfer processes; General engineering; General materials science; Instrumentation; Materiais; Materials science (all); Materials science (miscellaneous); Materials science, multidisciplinary; Physics, applied; Process chemistry and technology; Química","Applied Sciences-Basel","0.521","-","-","-","Q2","Núñez-Vidal, E; Fernández-Ruiz, R; Alvarez-Marquina, A; Hidalgo-delaGuía, I; Garayzábal-Heinze, E; Hristov-Kalamov, N; Domínguez-Mateos, F; Conde, C;  (2024). Noninvasive Deep Learning Analysis for Smith-Magenis Syndrome Classification. Applied Sciences-Basel, 14(21), 9747-. DOI: 10.3390/app14219747","10.3390/app14219747 (Crossref);2-s2.0-85208460533 (Scopus);WOS:001350992700001 (WoS)"
"Analysis of Voice Quality in Children With Smith-Magenis Syndrome.","Martínez-Olalla R; Hidalgo-De la Guía I; Gayarzábal-Heinze E; Fernández-Ruiz R; Núñez-Vidal E; Álvarez-Marquina A; Palacios-Alonso D","2024-10-01","10.1016/j.jvoice.2024.09.026","H","Publicaciones","Artículo pendiente de publicación","Artes; Artes / música; Audiology & speech-language pathology; Biotecnología; Ciência da computação; Ciências agrárias i; Ciências ambientais; Ciências biológicas i; Ciências biológicas ii; Ciências biológicas iii; Educação física; Enfermagem; Engenharias iv; Interdisciplinar; Letras / linguística; Linguística e literatura; Lpn and lvn; Matemática / probabilidade e estatística; Medicina i; Medicina ii; Medicina iii; Odontología; Otorhinolaryngology; Psicología; Química; Saúde coletiva; Speech and hearing","Journal Of Voice","0.573","0","-","-","Q2","Martínez-Olalla R; Hidalgo-De la Guía I; Gayarzábal-Heinze E; Fernández-Ruiz R; Núñez-Vidal E; Álvarez-Marquina A; Palacios-Alonso D (2024). Analysis of Voice Quality in Children With Smith-Magenis Syndrome.. Journal Of Voice, (), S0892-9. DOI: 10.1016/j.jvoice.2024.09.026","39438167 (PMID);10.1016/j.jvoice.2024.09.026 (Crossref);2-s2.0-85207109391 (Scopus);39438167 (Europe PMC)"
"Comunicación adaptada a gamers.","Fernández Ruiz, Raúl","2024-09-01","435504-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2024). Comunicación adaptada a gamers.. Universdiad Rey Juan Carlos","2024-25_4355_435504_raul.fruiz (Universidad Rey Juan Carlos)"
"Generación de informes previos a la partida.","Fernández Ruiz, Raúl","2024-09-01","435506-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2024). Generación de informes previos a la partida.. Universdiad Rey Juan Carlos","2024-25_4355_435506_raul.fruiz (Universidad Rey Juan Carlos)"
"Preparación de partidas al juego dedicado","Fernández Ruiz, Raúl","2024-09-01","435508-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2024). Preparación de partidas al juego dedicado. Universdiad Rey Juan Carlos","2024-25_4355_435508_raul.fruiz (Universidad Rey Juan Carlos)"
"JUEGOS PARA WEB Y REDES SOCIALES","Fernández Ruiz, Raúl","2024-09-01","2265038-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2024). JUEGOS PARA WEB Y REDES SOCIALES. Universdiad Rey Juan Carlos","2024-25_2265_2265038_raul.fruiz (Universidad Rey Juan Carlos)"
"Prácticas Externas","Fernández Ruiz, Raúl","2024-09-01","435511-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2024). Prácticas Externas. Universdiad Rey Juan Carlos","2024-25_4355_435511_raul.fruiz (Universidad Rey Juan Carlos)"
"Ecosistema de cada juego.","Fernández Ruiz, Raúl","2024-09-01","435509-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2024). Ecosistema de cada juego.. Universdiad Rey Juan Carlos","2024-25_4355_435509_raul.fruiz (Universidad Rey Juan Carlos)"
"Uso de Discord y otras aplicaciones informáticas necesarias","Fernández Ruiz, Raúl","2024-09-01","435507-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2024). Uso de Discord y otras aplicaciones informáticas necesarias. Universdiad Rey Juan Carlos","2024-25_4355_435507_raul.fruiz (Universidad Rey Juan Carlos)"
"Ecosistema y legislación de los videojuegos electrónicos en España.","Fernández Ruiz, Raúl","2024-09-01","435502-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2024). Ecosistema y legislación de los videojuegos electrónicos en España.. Universdiad Rey Juan Carlos","2024-25_4355_435502_raul.fruiz (Universidad Rey Juan Carlos)"
"Reglas y ""errores"" del juego dedicado.","Fernández Ruiz, Raúl","2024-09-01","435510-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2024). Reglas y ""errores"" del juego dedicado.. Universdiad Rey Juan Carlos","2024-25_4355_435510_raul.fruiz (Universidad Rey Juan Carlos)"
"Gestión de situaciones de conflicto en partidas y torneos","Fernández Ruiz, Raúl","2024-09-01","435505-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2024). Gestión de situaciones de conflicto en partidas y torneos. Universdiad Rey Juan Carlos","2024-25_4355_435505_raul.fruiz (Universidad Rey Juan Carlos)"
"Videojuegos electrónicos, escuela de valores","Fernández Ruiz, Raúl","2024-09-01","435501-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2024). Videojuegos electrónicos, escuela de valores. Universdiad Rey Juan Carlos","2024-25_4355_435501_raul.fruiz (Universidad Rey Juan Carlos)"
"Gestión de situaciones de emergencia","Fernández Ruiz, Raúl","2024-09-01","435503-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2024). Gestión de situaciones de emergencia. Universdiad Rey Juan Carlos","2024-25_4355_435503_raul.fruiz (Universidad Rey Juan Carlos)"
"JUEGOS PARA WEB Y REDES SOCIALES","Fernández Ruiz, Raúl","2024-09-01","2321042-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2024). JUEGOS PARA WEB Y REDES SOCIALES. Universdiad Rey Juan Carlos","2024-25_2321_2321042_raul.fruiz (Universidad Rey Juan Carlos)"
"JUEGOS PARA WEB Y REDES SOCIALES","Fernández Ruiz, Raúl","2024-09-01","2175038-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2024). JUEGOS PARA WEB Y REDES SOCIALES. Universdiad Rey Juan Carlos","2024-25_2175_2175038_raul.fruiz (Universidad Rey Juan Carlos)"
"PROYECTO AFASIA","Fernández Ruiz, Raúl (Cotutor); Palacios Alonso, Daniel (Tutor)","2024-07-18","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (Cotutor); Palacios Alonso, Daniel (Tutor) (2024). PROYECTO AFASIA.","-"
"GAMETAGS: UNA PLATAFORMA PARA CLASIFICACIONES DE VIDEOJUEGOS","Fernández Ruiz, Raúl (Cotutor); Palacios Alonso, Daniel (Tutor)","2024-06-20","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (Cotutor); Palacios Alonso, Daniel (Tutor) (2024). GAMETAGS: UNA PLATAFORMA PARA CLASIFICACIONES DE VIDEOJUEGOS.","TFG_2321050_g.lobo.2018_573aaa63a4f7ecaee037af89929f8394 (Universidad Rey Juan Carlos)"
"Identification of Smith-Magenis syndrome cases through an experimental evaluation of machine learning methods","Fernández-Ruiz, R; Núñez-Vidal, E; Hidalgo-delaguia, I; Garayzábal-Heinze, E; alvarez-Marquina, A; Martínez-Olalla, R; Palacios-Alonso, D","2024-03-22","10.3389/fncom.2024.1357607","Y","Publicaciones","Artículo","Astronomia / física; Cellular and molecular neuroscience; Ciência da computação; Ciências ambientais; Ciências biológicas i; Ciências biológicas ii; Educação física; Engenharias iv; Interdisciplinar; Mathematical & computational biology; Medicina ii; Neuroscience (miscellaneous); Neurosciences; Psicología","Frontiers In Computational Neuroscience","0.622","0","-","-","Q3","Fernández-Ruiz, R; Núñez-Vidal, E; Hidalgo-delaguia, I; Garayzábal-Heinze, E; alvarez-Marquina, A; Martínez-Olalla, R; Palacios-Alonso, D (2024). Identification of Smith-Magenis syndrome cases through an experimental evaluation of machine learning methods. Frontiers In Computational Neuroscience, 18(), 1357607-. DOI: 10.3389/fncom.2024.1357607","38585279 (PMID);2-s2.0-85189929350 (Scopus);38585279 (Europe PMC);WOS:001197154300001 (WoS)"
"DESARROLLO APLICACIÓN PARA UNIBOTICS","Fernández Ruiz, Raúl (Cotutor); Palacios Alonso, Daniel (Tutor)","2024-01-24","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (Cotutor); Palacios Alonso, Daniel (Tutor) (2024). DESARROLLO APLICACIÓN PARA UNIBOTICS. Universdiad Rey Juan Carlos","TFG_2175042_d.rodriguezr.2019_f26c01e1a212aa51489184c76159e60a (Universidad Rey Juan Carlos)"
"Comparison of an Accelerated Garble Embedding Methodology for Privacy Preserving in Biomedical Data Analytics","Hristov-Kalamov, N; Fernández-Ruiz, R; Alvarez-Marquina, A; Núñez-Vidal, E; Dominguez-Mateos, F; Palacios-Alonso, D","2024-01-01","10.1007/978-3-031-61140-7_28","-","Publicaciones","Conferencia Publicada","Administração pública e de empresas, ciências contábeis e turismo; Administração, ciências contábeis e turismo; Arquitetura e urbanismo; Arquitetura, urbanismo e design; Artes; Astronomia / física; Biodiversidade; Biotecnología; Ciência da computação; Ciências agrárias i; Ciências ambientais; Ciências biológicas i; Ciências biológicas ii; Ciências biológicas iii; Ciências sociais aplicadas i; Computer science (all); Computer science (miscellaneous); Computer science, artificial intelligence; Computer science, theory & methods; Comunicação e informação; Comunicació i informació; Direito; Educação; Educação física; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Ensino; Farmacia; General computer science; General o multidisciplinar; Geociências; Geografía; Interdisciplinar; Linguística e literatura; Matemática / probabilidade e estatística; Materiais; Medicina i; Medicina ii; Medicina iii; Medicina veterinaria; Odontología; Planejamento urbano e regional / demografia; Psicología; Química; Saúde coletiva; Theoretical computer science","Lecture Notes In Computer Science","0.352","-","-","-","Q2","Hristov-Kalamov, N; Fernández-Ruiz, R; Alvarez-Marquina, A; Núñez-Vidal, E; Dominguez-Mateos, F; Palacios-Alonso, D (2024). Comparison of an Accelerated Garble Embedding Methodology for Privacy Preserving in Biomedical Data Analytics. : Springer International Publishing AG","10.1007/978-3-031-61140-7_28 (Crossref);2-s2.0-85197104493 (Scopus);WOS:001284730300028 (WoS)"
"ESTRUCTURAS DE DATOS","Fernández Ruiz, Raúl","2023-09-01","2321009-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2023). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2023-24_2321_2321009_raul.fruiz (Universidad Rey Juan Carlos)"
"REALIDAD VIRTUAL","Fernández Ruiz, Raúl","2023-09-01","2265043-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2023). REALIDAD VIRTUAL. Universdiad Rey Juan Carlos","2023-24_2265_2265043_raul.fruiz (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Fernández Ruiz, Raúl","2023-09-01","2175007-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Ruiz, Raúl (2023). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2023-24_2175_2175007_raul.fruiz (Universidad Rey Juan Carlos)"
