"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Fernández Timón, Alfonso","2025-09-01","2061003-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2061_2061003_alfonso.fernandez (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Fernández Timón, Alfonso","2025-09-01","2117002-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2117_2117002_alfonso.fernandez (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Fernández Timón, Alfonso","2025-09-01","2315001-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2315_2315001_alfonso.fernandez (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Fernández Timón, Alfonso","2025-09-01","2097005-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2097_2097005_alfonso.fernandez (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LOS COMPUTADORES","Fernández Timón, Alfonso","2025-09-01","2360005-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2025). FUNDAMENTOS FISICOS DE LOS COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2360_2360005_alfonso.fernandez (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Fernández Timón, Alfonso","2025-09-01","2033003-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2033_2033003_alfonso.fernandez (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Fernández Timón, Alfonso","2025-09-01","2285001-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2285_2285001_alfonso.fernandez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Fernández Timón, Alfonso","2025-09-01","2285010-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2285_2285010_alfonso.fernandez (Universidad Rey Juan Carlos)"
"Influence of the low-energy backscattering spectrum on the calibration of thin alpha-particle sources","Vargas, M Jurado; Timon, A Fernandez","2025-08-01","10.1016/j.radphyschem.2025.112715","N","Publicaciones","Artículo","Antropologia / arqueologia; Astronomia / física; Biodiversidade; Biotecnología; Chemistry, physical; Ciência de alimentos; Ciências agrárias i; Ciências ambientais; Ciências biológicas i; Ciências biológicas ii; Ciências biológicas iii; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Ensino; Farmacia; Geociências; Geografía; Interdisciplinar; Materiais; Medicina i; Medicina ii; Medicina veterinaria; Nuclear science & technology; Nutrição; Odontología; Physics, atomic, molecular & chemical; Química; Radiation; Saúde coletiva; Zootecnia / recursos pesqueiros","Radiation Physics And Chemistry","0.543","-","-","-","Q2","Vargas, M Jurado; Timon, A Fernandez (2025). Influence of the low-energy backscattering spectrum on the calibration of thin alpha-particle sources. Radiation Physics And Chemistry, 233(), 112715-. DOI: 10.1016/j.radphyschem.2025.112715","2-s2.0-105000269342 (Scopus);WOS:001455437400001 (WoS)"
"Miembro. Programa de Doctorado en Ciencias","Fernández Timón, Alfonso","2025-01-01","1813158-4650","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Fernández Timón, Alfonso","2025-01-01","1813501-4650","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Ciberseguridad e inteligencia artificial resiliente para la Comunidad de Madrid. (GRAFO)","Serrano Luján, Lucía (Investigador/a); Penedo Ventosa, Iván (Investigador/a); Pérez Peló, Sergio (Investigador/a); Martín García, Lucas (Investigador/a); Cavero Díaz, Sergio (Investigador/a); Colmenar Verdugo, José Manuel (Investigador/a); Salazar Cárdenas, Sergio (Investigador/a); Martín Santamaría, Raúl (Investigador/a); Ventura Cabrejas, Silvia (Investigador/a); Lozano Osorio, Isaac (Investigador/a); García Pardo, Eduardo (Investigador/a); Herrán González, Alberto (Investigador/a); Casado Ceballos, Alejandra (Investigador/a); Diaconescu, Teodor Andrei (Investigador/a); Duarte Muñoz, Abraham (Investigador/a); Sánchez-Oro Calvo, Jesús (Investigador principal (IP)); Yuste Moure, Javier (Investigador/a); Fernández Timón, Alfonso (Investigador/a); González Pardo, Antonio (Investigador/a); Robles Rodríguez, Marcos (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Viejo Fernández, Manuel (Investigador/a)","2025-01-01","TEC-2024/COM-404","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:TEC-2024/COM-404. Ciberseguridad e inteligencia artificial resiliente para la Comunidad de Madrid. (GRAFO). Serrano Luján, Lucía (Investigador/a); Penedo Ventosa, Iván (Investigador/a); Pérez Peló, Sergio (Investigador/a); Martín García, Lucas (Investigador/a); Cavero Díaz, Sergio (Investigador/a); Colmenar Verdugo, José Manuel (Investigador/a); Salazar Cárdenas, Sergio (Investigador/a); Martín Santamaría, Raúl (Investigador/a); Ventura Cabrejas, Silvia (Investigador/a); Lozano Osorio, Isaac (Investigador/a); García Pardo, Eduardo (Investigador/a); Herrán González, Alberto (Investigador/a); Casado Ceballos, Alejandra (Investigador/a); Diaconescu, Teodor Andrei (Investigador/a); Duarte Muñoz, Abraham (Investigador/a); Sánchez-Oro Calvo, Jesús (Investigador principal (IP)); Yuste Moure, Javier (Investigador/a); Fernández Timón, Alfonso (Investigador/a); González Pardo, Antonio (Investigador/a); Robles Rodríguez, Marcos (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Viejo Fernández, Manuel (Investigador/a).  Financiadora: Comunidad de Madrid  (2025-01-01 / 2028-12-31)","M3832 (Universidad Rey Juan Carlos)"
"Optimización del Transporte e Inventario Marítimo Mediante Técnicas Heurísticas.","Laguna, Manuel (Investigador/a); García Pardo, Eduardo (Investigador/a); Cavero Díaz, Sergio (Investigador principal (IP)); Fernández Timón, Alfonso (Investigador/a); Montes Díez, Raquel (Investigador/a)","2025-01-01","2024/SOLCON-135988","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-135988. Optimización del Transporte e Inventario Marítimo Mediante Técnicas Heurísticas.. Laguna, Manuel (Investigador/a); García Pardo, Eduardo (Investigador/a); Cavero Díaz, Sergio (Investigador principal (IP)); Fernández Timón, Alfonso (Investigador/a); Montes Díez, Raquel (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3714 (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Fernández Timón, Alfonso","2024-09-01","2269012-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2269_2269012_alfonso.fernandez (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Fernández Timón, Alfonso","2024-09-01","2285001-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2024). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2024-25_2285_2285001_alfonso.fernandez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Fernández Timón, Alfonso","2024-09-01","2073012-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2073_2073012_alfonso.fernandez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Fernández Timón, Alfonso","2024-09-01","2059008-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2059_2059008_alfonso.fernandez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Fernández Timón, Alfonso","2024-09-01","2243010-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2243_2243010_alfonso.fernandez (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LOS COMPUTADORES","Fernández Timón, Alfonso","2024-09-01","2360005-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2024). FUNDAMENTOS FISICOS DE LOS COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2360_2360005_alfonso.fernandez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Fernández Timón, Alfonso","2024-09-01","2285010-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2285_2285010_alfonso.fernandez (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Fernández Timón, Alfonso","2024-09-01","2114005-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2024). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2114_2114005_alfonso.fernandez (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Fernández Timón, Alfonso","2024-09-01","2118004-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2024). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2118_2118004_alfonso.fernandez (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Fernández Timón, Alfonso","2024-09-01","2034004-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2024). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2034_2034004_alfonso.fernandez (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Fernández Timón, Alfonso","2024-09-01","2316002-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Fernández Timón, Alfonso (2024). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2316_2316002_alfonso.fernandez (Universidad Rey Juan Carlos)"
