"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"BOE-XSUM: Extreme Summarization in Clear Language of Spanish Legal Decrees and Notifications","Andrés Fernández García; Javier de la Rosa; Julio Gonzalo Arroyo; Roser Morante; Enrique Amigó; Alejandro Benito Santos; Jorge Carrillo de Albornoz; Víctor Fresno Fernández; Adrián Ghajari Espinosa; Guillermo Marco Remón; Laura Plaza Morales; Eva Sánchez Salido","2025-01-01","-","-","Publicaciones","Artículo","Biotecnología; Ciência da computação; Ciencias humanas; Ciencias sociales; Computer science applications; Computer science, artificial intelligence; Engenharias iv; Filología lingüística y sociolingüística; Filologia, lingüística i sociolingüística; Filologías; Language and linguistics; Lingüística; Linguística e literatura; Lingüística general y aplicada; Linguistics; Linguistics and language; Revistas de ciencias; Revistas de ciencias sociales; Revistas de filología y linüística","Procesamiento De Lenguaje Natural","0.570","-","-","-","Q1","Andrés Fernández García; Javier de la Rosa; Julio Gonzalo Arroyo; Roser Morante; Enrique Amigó; Alejandro Benito Santos; Jorge Carrillo de Albornoz; V (2025). BOE-XSUM: Extreme Summarization in Clear Language of Spanish Legal Decrees and Notifications. Procesamiento De Lenguaje Natural, (75), 263-282","10413929ARTREV (Dialnet)"
"LyricSIM: A novel dataset and benchmark for similarity detection in Spanish song lyrics","Benito-Santos A; Ghajari A; Hernández P; Fresno V; Ros S; González-Blanco E","2023-09-01","10.26342/2023-71-12","-","Publicaciones","Otro tipo de publicación en revista","Biotecnología; Ciência da computação; Ciencias humanas; Ciencias sociales; Computer science applications; Computer science, artificial intelligence; Engenharias iv; Filología lingüística y sociolingüística; Filologia, lingüística i sociolingüística; Filologías; Language and linguistics; Lingüística; Linguística e literatura; Lingüística general y aplicada; Linguistics; Linguistics and language; Revistas de ciencias; Revistas de ciencias sociales; Revistas de filología y linüística","Procesamiento De Lenguaje Natural","0.677","-","-","-","Q1","Benito-Santos A; Ghajari A; Hernández P; Fresno V; Ros S; González-Blanco E (2023). LyricSIM: A novel dataset and benchmark for similarity detection in Spanish song lyrics. Procesamiento De Lenguaje Natural, (71), 149-163. DOI: 10.26342/2023-71-12","2-s2.0-85175048865 (Scopus)"
"La Inteligencia Artificial aplicada al lenguaje y su potencial aplicación al dominio de las AA.PP.","Víctor Fresno Fernández","2023-01-01","-","-","Publicaciones","Artículo","-","Revista Canaria De Administración Pública","-","-","-","-","-","Víctor Fresno Fernández (2023). La Inteligencia Artificial aplicada al lenguaje y su potencial aplicación al dominio de las AA.PP.. Revista Canaria De Administración Pública, (Extra 0), 3 -","9817115ARTREV (Dialnet)"
"LyricSIM: Un nuevo dataset y benchmark para la detección de similitud en letras de canciones en español","Salvador Ros; Elena González-Blanco García; Alejandro Benito Santos; Adrián Ghajari; Pedro Hernández; Víctor Fresno Fernández","2023-01-01","-","-","Publicaciones","Artículo","Biotecnología; Ciência da computação; Ciencias humanas; Ciencias sociales; Computer science applications; Computer science, artificial intelligence; Engenharias iv; Filología lingüística y sociolingüística; Filologia, lingüística i sociolingüística; Filologías; Language and linguistics; Lingüística; Linguística e literatura; Lingüística general y aplicada; Linguistics; Linguistics and language; Revistas de ciencias; Revistas de ciencias sociales; Revistas de filología y linüística","Procesamiento De Lenguaje Natural","0.677","-","-","-","Q1","Salvador Ros; Elena González-Blanco García; Alejandro Benito Santos; Adrián Ghajari; Pedro Hernández; Víctor Fresno Fernández (2023). LyricSIM: Un nuevo dataset y benchmark para la detección de similitud en letras de canciones en español. Procesamiento De Lenguaje Natural, (71), 149-163","9093248ARTREV (Dialnet)"
"Information Theory-based Compositional Distributional Semantics","Amigo, Enrique; Ariza-Casabona, Alejandro; Fresno, Victor; Antonia Marti, M","2022-12-01","10.1162/coli_a_00454","Y","Publicaciones","Artículo","Applied linguistics; Artificial intelligence; Ciência da computação; Ciencias humanas; Ciencias sociales; Computer science applications; Computer science, artificial intelligence; Computer science, interdisciplinary applications; Filología lingüística y sociolingüística; Filologia, lingüística i sociolingüística; Language & linguistics; Language and linguistics; Linguistics; Linguistics and language","Computational Linguistics","1.238","-","-","-","Q1","Amigo, Enrique; Ariza-Casabona, Alejandro; Fresno, Victor; Antonia Marti, M (2022). Information Theory-based Compositional Distributional Semantics. Computational Linguistics, 48(4), 907-948. DOI: 10.1162/coli_a_00454","2-s2.0-85143253729 (Scopus);WOS:000995278700007 (WoS)"
"Is Anisotropy Really the Cause of BERT Embeddings not Being Semantic?","Fuster-Baggetto A; Fresno V","2022-01-01","-","-","Publicaciones","Conferencia Publicada","-","Findings Of The Association For Computational Linguistics: Emnlp 2022","-","-","-","-","-","Fuster-Baggetto A; Fresno V (2022). Is Anisotropy Really the Cause of BERT Embeddings not Being Semantic?.","2-s2.0-85149889107 (Scopus)"
"appForum: An application for forum processing","Rodrigo A; Fernández-Vindel JL; Pérez-Martín J; Iglesias I; Fresno V; Díaz A; Sánchez FJ; Centeno R","2022-01-01","-","-","Publicaciones","Conferencia Publicada","Ciência da computação; Ciências sociais aplicadas i; Computer science (all); Computer science (miscellaneous); Engenharias iii; Engenharias iv; General computer science; Historia","Ceur Workshop Proceedings","0.202","-","-","-","Q3","Rodrigo A; Fernández-Vindel JL; Pérez-Martín J; Iglesias I; Fresno V; Díaz A; Sánchez FJ; Centeno R (2022). appForum: An application for forum processing. : CEUR Workshop Proceedings","2-s2.0-85139873062 (Scopus)"
"Analyzing collaborative filtering for UNED first-year student enrolment Recommendation system","Clavero A; Fresno V; Torres FL; Ros S","2022-01-01","-","-","Publicaciones","Conferencia Publicada","Ciência da computação; Ciências sociais aplicadas i; Computer science (all); Computer science (miscellaneous); Engenharias iii; Engenharias iv; General computer science; Historia","Ceur Workshop Proceedings","0.202","-","-","-","Q3","Clavero A; Fresno V; Torres FL; Ros S (2022). Analyzing collaborative filtering for UNED first-year student enrolment Recommendation system. : CEUR Workshop Proceedings","2-s2.0-85139832440 (Scopus)"
"Cómo hablan las máquinas español: logros, retos y oportunidades parala inteligencia artificial aplicada al lenguaje","Elena González-Blanco García; Salvador Ros Muñoz; Víctor Fresno Fernández","2022-01-01","-","-","Publicaciones","Capítulos de Libro","-","El Español En El Mundo: Anuario Del Instituto Cervantes 2022","-","-","-","-","-","Elena González-Blanco García; Salvador Ros Muñoz; Víctor Fresno Fernández (2022). Cómo hablan las máquinas español: logros, retos y oportunidades parala inteligencia artificial aplicada al lenguaje. En . El Español En El Mundo: Anuario Del Instituto Cervantes 2022 (pp. 183-199). Madrid: Instituto Cervantes","9735328ARTLIB (Dialnet)"
"Plataforma de exploración de la Composición Semántica apartir de Modelos de Lenguaje pre-entrenados yembeddings estáticos","Adrián Ghajari Espinosa; Víctor Fresno Fernández; Enrique Amigó","2022-01-01","-","-","Publicaciones","Capítulos de Libro","-","Sepln-Pd 2022: Annual Conference Of The Spanish Association For Natural Language Processing 2022: Projects And Demonstrations","-","-","-","-","-","Adrián Ghajari Espinosa; Víctor Fresno Fernández; Enrique Amigó (2022). Plataforma de exploración de la Composición Semántica apartir de Modelos de Lenguaje pre-entrenados yembeddings estáticos. En . Sepln-Pd 2022: Annual Conference Of The Spanish Association For Natural Language Processing 2022: Projects And Demonstrations (pp. 52-56). : CEUR Workshop Proceedings","8746813ARTLIB (Dialnet)"
