"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ARQUITECTURAS AVANZADAS DE COMPUTADORES","Galindo Ruedas, Sergio Emilio","2025-09-01","2033039-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Galindo Ruedas, Sergio Emilio (2025). ARQUITECTURAS AVANZADAS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2033_2033039_sergio.galindo (Universidad Rey Juan Carlos)"
"DISEÑO DIGITAL 3D","Galindo Ruedas, Sergio Emilio","2025-09-01","2265006-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Galindo Ruedas, Sergio Emilio (2025). DISEÑO DIGITAL 3D. Universdiad Rey Juan Carlos","2025-26_2265_2265006_sergio.galindo (Universidad Rey Juan Carlos)"
"Gráficos 3D","Galindo Ruedas, Sergio Emilio","2025-09-01","634301-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Galindo Ruedas, Sergio Emilio (2025). Gráficos 3D. Universdiad Rey Juan Carlos","2025-26_6343_634301_sergio.galindo (Universidad Rey Juan Carlos)"
"ARQUITECTURAS AVANZADAS DE COMPUTADORES","Galindo Ruedas, Sergio Emilio","2025-09-01","2114048-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Galindo Ruedas, Sergio Emilio (2025). ARQUITECTURAS AVANZADAS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2114_2114048_sergio.galindo (Universidad Rey Juan Carlos)"
"DISEÑO DIGITAL 3D","Galindo Ruedas, Sergio Emilio","2025-09-01","2175006-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Galindo Ruedas, Sergio Emilio (2025). DISEÑO DIGITAL 3D. Universdiad Rey Juan Carlos","2025-26_2175_2175006_sergio.galindo (Universidad Rey Juan Carlos)"
"Tecnología de Juegos","Galindo Ruedas, Sergio Emilio","2025-09-01","634309-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Galindo Ruedas, Sergio Emilio (2025). Tecnología de Juegos. Universdiad Rey Juan Carlos","2025-26_6343_634309_sergio.galindo (Universidad Rey Juan Carlos)"
"ANIMACION 3D","Galindo Ruedas, Sergio Emilio","2025-09-01","2321029-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Galindo Ruedas, Sergio Emilio (2025). ANIMACION 3D. Universdiad Rey Juan Carlos","2025-26_2321_2321029_sergio.galindo (Universidad Rey Juan Carlos)"
"REALIDAD VIRTUAL","Galindo Ruedas, Sergio Emilio","2025-09-01","2321052-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Galindo Ruedas, Sergio Emilio (2025). REALIDAD VIRTUAL. Universdiad Rey Juan Carlos","2025-26_2321_2321052_sergio.galindo (Universidad Rey Juan Carlos)"
"ANIMACION 3D","Galindo Ruedas, Sergio Emilio","2025-09-01","2175023-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Galindo Ruedas, Sergio Emilio (2025). ANIMACION 3D. Universdiad Rey Juan Carlos","2025-26_2175_2175023_sergio.galindo (Universidad Rey Juan Carlos)"
"REALIDAD VIRTUAL","Galindo Ruedas, Sergio Emilio","2025-09-01","2175043-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Galindo Ruedas, Sergio Emilio (2025). REALIDAD VIRTUAL. Universdiad Rey Juan Carlos","2025-26_2175_2175043_sergio.galindo (Universidad Rey Juan Carlos)"
"DISEÑO DIGITAL 3D","Galindo Ruedas, Sergio Emilio","2025-09-01","2321018-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Galindo Ruedas, Sergio Emilio (2025). DISEÑO DIGITAL 3D. Universdiad Rey Juan Carlos","2025-26_2321_2321018_sergio.galindo (Universidad Rey Juan Carlos)"
