"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PROGRAMACION VISUAL","Gallardo Cava, Roberto","2025-09-01","2321004-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallardo Cava, Roberto (2025). PROGRAMACION VISUAL. Universdiad Rey Juan Carlos","2025-26_2321_2321004_roberto.gallardo (Universidad Rey Juan Carlos)"
"MULTIMEDIA","Gallardo Cava, Roberto","2025-09-01","2175010-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallardo Cava, Roberto (2025). MULTIMEDIA. Universdiad Rey Juan Carlos","2025-26_2175_2175010_roberto.gallardo (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Gallardo Cava, Roberto","2025-09-01","2243011-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallardo Cava, Roberto (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2243_2243011_roberto.gallardo (Universidad Rey Juan Carlos)"
"ENTORNOS MULTIJUGADOR","Gallardo Cava, Roberto","2025-09-01","2265030-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallardo Cava, Roberto (2025). ENTORNOS MULTIJUGADOR. Universdiad Rey Juan Carlos","2025-26_2265_2265030_roberto.gallardo (Universidad Rey Juan Carlos)"
"PROGRAMACION VISUAL","Gallardo Cava, Roberto","2025-09-01","2265005-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallardo Cava, Roberto (2025). PROGRAMACION VISUAL. Universdiad Rey Juan Carlos","2025-26_2265_2265005_roberto.gallardo (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Gallardo Cava, Roberto","2025-09-01","2059009-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallardo Cava, Roberto (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2059_2059009_roberto.gallardo (Universidad Rey Juan Carlos)"
"MULTIMEDIA","Gallardo Cava, Roberto","2025-09-01","2321011-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallardo Cava, Roberto (2025). MULTIMEDIA. Universdiad Rey Juan Carlos","2025-26_2321_2321011_roberto.gallardo (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Gallardo Cava, Roberto","2025-09-01","2073011-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallardo Cava, Roberto (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2073_2073011_roberto.gallardo (Universidad Rey Juan Carlos)"
"MULTIMEDIA","Gallardo Cava, Roberto","2025-09-01","2265010-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallardo Cava, Roberto (2025). MULTIMEDIA. Universdiad Rey Juan Carlos","2025-26_2265_2265010_roberto.gallardo (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Gallardo Cava, Roberto","2025-09-01","2269011-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallardo Cava, Roberto (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2269_2269011_roberto.gallardo (Universidad Rey Juan Carlos)"
"INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL","Gallardo Cava, Roberto","2025-09-01","623017-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallardo Cava, Roberto (2025). INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_6230_623017_roberto.gallardo (Universidad Rey Juan Carlos)"
"PROGRAMACION VISUAL","Gallardo Cava, Roberto","2025-09-01","2175005-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallardo Cava, Roberto (2025). PROGRAMACION VISUAL. Universdiad Rey Juan Carlos","2025-26_2175_2175005_roberto.gallardo (Universidad Rey Juan Carlos)"
"WEB3 VULNERABILITIES (W3V)","Gallardo Cava, Roberto (Tutor)","2025-05-09","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Gallardo Cava, Roberto (Tutor) (2025). WEB3 VULNERABILITIES (W3V).","-"
"INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL","Gallardo Cava, Roberto","2024-09-01","623017-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallardo Cava, Roberto (2024). INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL. Universdiad Rey Juan Carlos","2024-25_6230_623017_roberto.gallardo (Universidad Rey Juan Carlos)"
