"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"FUNDAMENTOS DE LA WEB","Gallego Carrillo, Micael","2025-09-01","2316035-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallego Carrillo, Micael (2025). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2025-26_2316_2316035_micael.gallego (Universidad Rey Juan Carlos)"
"Big Data Processing I","Gallego Carrillo, Micael","2025-09-01","641207-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallego Carrillo, Micael (2025). Big Data Processing I. Universdiad Rey Juan Carlos","2025-26_6412_641207_micael.gallego (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES WEB","Gallego Carrillo, Micael","2025-09-01","2118044-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallego Carrillo, Micael (2025). DESARROLLO DE APLICACIONES WEB. Universdiad Rey Juan Carlos","2025-26_2118_2118044_micael.gallego (Universidad Rey Juan Carlos)"
"DISEÑO Y ARQUITECTURA DEL SOFTWARE","Gallego Carrillo, Micael","2025-09-01","2316036-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallego Carrillo, Micael (2025). DISEÑO Y ARQUITECTURA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2316_2316036_micael.gallego (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE LA WEB","Gallego Carrillo, Micael","2025-09-01","2118029-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallego Carrillo, Micael (2025). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2025-26_2118_2118029_micael.gallego (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE LA WEB","Gallego Carrillo, Micael","2025-09-01","2114014-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallego Carrillo, Micael (2025). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2025-26_2114_2114014_micael.gallego (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE LA WEB","Gallego Carrillo, Micael","2025-09-01","2034015-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallego Carrillo, Micael (2025). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2025-26_2034_2034015_micael.gallego (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES WEB","Gallego Carrillo, Micael","2025-09-01","2316043-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallego Carrillo, Micael (2025). DESARROLLO DE APLICACIONES WEB. Universdiad Rey Juan Carlos","2025-26_2316_2316043_micael.gallego (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES WEB","Gallego Carrillo, Micael","2025-09-01","2114030-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallego Carrillo, Micael (2025). DESARROLLO DE APLICACIONES WEB. Universdiad Rey Juan Carlos","2025-26_2114_2114030_micael.gallego (Universidad Rey Juan Carlos)"
"DISEÑO Y ARQUITECTURA DEL SOFTWARE","Gallego Carrillo, Micael","2025-09-01","2034024-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gallego Carrillo, Micael (2025). DISEÑO Y ARQUITECTURA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2034_2034024_micael.gallego (Universidad Rey Juan Carlos)"
