"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"GRAFICOS POR COMPUTADOR","García Lorenzo, Marcos José","2025-09-01","2113034-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","García Lorenzo, Marcos José (2025). GRAFICOS POR COMPUTADOR. Universdiad Rey Juan Carlos","2025-26_2113_2113034_marcos.garcia (Universidad Rey Juan Carlos)"
"GRAFICOS POR COMPUTADOR","García Lorenzo, Marcos José","2025-09-01","2034041-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","García Lorenzo, Marcos José (2025). GRAFICOS POR COMPUTADOR. Universdiad Rey Juan Carlos","2025-26_2034_2034041_marcos.garcia (Universidad Rey Juan Carlos)"
"GRAFICOS POR COMPUTADOR","García Lorenzo, Marcos José","2025-09-01","2032031-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","García Lorenzo, Marcos José (2025). GRAFICOS POR COMPUTADOR. Universdiad Rey Juan Carlos","2025-26_2032_2032031_marcos.garcia (Universidad Rey Juan Carlos)"
"INFORMATICA GRAFICA","García Lorenzo, Marcos José","2025-09-01","2175016-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","García Lorenzo, Marcos José (2025). INFORMATICA GRAFICA. Universdiad Rey Juan Carlos","2025-26_2175_2175016_marcos.garcia (Universidad Rey Juan Carlos)"
"INFORMATICA GRAFICA","García Lorenzo, Marcos José","2025-09-01","2321019-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","García Lorenzo, Marcos José (2025). INFORMATICA GRAFICA. Universdiad Rey Juan Carlos","2025-26_2321_2321019_marcos.garcia (Universidad Rey Juan Carlos)"
"Gráficos 3D","García Lorenzo, Marcos José","2025-09-01","634301-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","García Lorenzo, Marcos José (2025). Gráficos 3D. Universdiad Rey Juan Carlos","2025-26_6343_634301_marcos.garcia (Universidad Rey Juan Carlos)"
"X-ray simulations with gVXR in education, digital twining, experiment planning, and data analysis","Vidal, Franck P; Afshari, Shaghayegh; Ahmed, Sharif; Albiol, Alberto; Albiol, Francisco; Bechet, Eric; Bellot, Alberto Corbi; Bosse, Stefan; Burkhard, Simon; Chahid, Younes; Chou, Cheng-Ying; Culver, Robert; Desbarats, Pascal; Dixon, Lewis; Friemann, Johan; Garbout, Amin; Garcia-Lorenzo, Marcos; Giovannelli, Jean-Francois; Hanna, Ross; Hatton, Clementine; Henry, Audrey; Kelly, Graham; Leblanc, Christophe; Leonardi, Alberto; Letang, Jean Michel; Lipscomb, Harry; Manchester, Tristan; Meere, Bas; Michelet, Claire; Middleburgh, Simon; Mihail, Radu P; Mitchell, Iwan; Perera, Liam; Puig, Marti; Racy, Malek; Rouwane, Ali; Seznec, Herve; Sujar, Aaron; Tugwell-Allsup, Jenna; Villard, Pierre-Frederic","2025-08-28","10.1016/j.nimb.2025.165804","N","Publicaciones","Artículo","Antropologia / arqueologia; Astronomia / física; Biodiversidade; Ciência da computação; Ciências agrárias i; Ciências ambientais; Ciências biológicas i; Comunicação e informação; Educação; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Ensino; Farmacia; Geociências; Instrumentation; Instruments & instrumentation; Interdisciplinar; Materiais; Medicina i; Medicina ii; Medicina iii; Nuclear and high energy physics; Nuclear science & technology; Physics, atomic, molecular & chemical; Physics, nuclear; Química","Nuclear Instruments & Methods In Physics Research Section B-Beam Interactions With Materials And Atoms","0.351","-","-","-","Q3","Vidal, Franck P; Afshari, Shaghayegh; Ahmed, Sharif; Albiol, Alberto; Albiol, Francisco; Bechet, Eric; Bellot, Alberto Corbi; Bosse, Stefan; Burkhard, (2025). X-ray simulations with gVXR in education, digital twining, experiment planning, and data analysis. Nuclear Instruments & Methods In Physics Research Section B-Beam Interactions With Materials And Atoms, 568(), 165804-. DOI: 10.1016/j.nimb.2025.165804","WOS:001563952000001 (WoS)"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","García Lorenzo, Marcos José","2025-01-01","1813505-6696","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Technological tools for the digital society Education: wellneSs & Health and TEChnology.","García Lorenzo, Marcos José (Investigador/a); Mata Fernández, Susana (Investigador/a); Zapata Cáceres, María (Investigador/a); Sújar Garrido, Aarón (Investigador/a); Bayona Beriso, Sofía (Investigador/a); Robles Sánchez, Óscar David (Investigador/a); Martín Barroso, Estefanía (Investigador/a); Pastor Pérez, Luis Ignacio (Investigador principal (IP))","2025-01-01","2024/SOLCON-137497","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-137497. Technological tools for the digital society Education: wellneSs & Health and TEChnology.. García Lorenzo, Marcos José (Investigador/a); Mata Fernández, Susana (Investigador/a); Zapata Cáceres, María (Investigador/a); Sújar Garrido, Aarón (Investigador/a); Bayona Beriso, Sofía (Investigador/a); Robles Sánchez, Óscar David (Investigador/a); Martín Barroso, Estefanía (Investigador/a); Pastor Pérez, Luis Ignacio (Investigador principal (IP)).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3706 (Universidad Rey Juan Carlos)"
"Gráficos 3D","García Lorenzo, Marcos José","2024-09-01","634301-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","García Lorenzo, Marcos José (2024). Gráficos 3D. Universdiad Rey Juan Carlos","2024-25_6343_634301_marcos.garcia (Universidad Rey Juan Carlos)"
