"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ALGORITMOS DE BUSQUEDA II","García Pardo, Eduardo","2025-09-01","2361021-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","García Pardo, Eduardo (2025). ALGORITMOS DE BUSQUEDA II. Universdiad Rey Juan Carlos","2025-26_2361_2361021_eduardo.pardo (Universidad Rey Juan Carlos)"
"ANALISIS E INGENIERIA DE REQUISITOS","García Pardo, Eduardo","2025-09-01","2118034-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","García Pardo, Eduardo (2025). ANALISIS E INGENIERIA DE REQUISITOS. Universdiad Rey Juan Carlos","2025-26_2118_2118034_eduardo.pardo (Universidad Rey Juan Carlos)"
"ANALISIS E INGENIERIA DE REQUISITOS","García Pardo, Eduardo","2025-09-01","2316030-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","García Pardo, Eduardo (2025). ANALISIS E INGENIERIA DE REQUISITOS. Universdiad Rey Juan Carlos","2025-26_2316_2316030_eduardo.pardo (Universidad Rey Juan Carlos)"
"ANALISIS E INGENIERIA DE REQUISITOS","García Pardo, Eduardo","2025-09-01","2034016-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","García Pardo, Eduardo (2025). ANALISIS E INGENIERIA DE REQUISITOS. Universdiad Rey Juan Carlos","2025-26_2034_2034016_eduardo.pardo (Universidad Rey Juan Carlos)"
"ANALISIS E INGENIERIA DE REQUISITOS","García Pardo, Eduardo","2025-09-01","2114020-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","García Pardo, Eduardo (2025). ANALISIS E INGENIERIA DE REQUISITOS. Universdiad Rey Juan Carlos","2025-26_2114_2114020_eduardo.pardo (Universidad Rey Juan Carlos)"
"APROXIMACIÓN HEURÍSTICA AL PROBLEMA DE EMBEBIDO DE REDES VIRTUALES","García Pardo, Eduardo (Cotutor); Cavero Díaz, Sergio (Tutor)","2025-07-22","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","García Pardo, Eduardo (Cotutor); Cavero Díaz, Sergio (Tutor) (2025). APROXIMACIÓN HEURÍSTICA AL PROBLEMA DE EMBEBIDO DE REDES VIRTUALES.","-"
"APROXIMACIÓN EXACTA AL PROBLEMA DE EMBEBIDO DE REDES VIRTUALES","García Pardo, Eduardo (Cotutor); Cavero Díaz, Sergio (Tutor)","2025-07-22","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","García Pardo, Eduardo (Cotutor); Cavero Díaz, Sergio (Tutor) (2025). APROXIMACIÓN EXACTA AL PROBLEMA DE EMBEBIDO DE REDES VIRTUALES.","-"
"MÓDULO DE TESTING DE NÓMINAS EN ODOO","García Pardo, Eduardo (Tutor); Viejo Fernández, Manuel (Cotutor)","2025-07-21","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","García Pardo, Eduardo (Tutor); Viejo Fernández, Manuel (Cotutor) (2025). MÓDULO DE TESTING DE NÓMINAS EN ODOO.","-"
"GESTIÓN EFICIENTE DE PRODUCTOS INDUSTRIALES CON MÚLTIPLES VARIANTES EN ODOO","García Pardo, Eduardo (Tutor); Viejo Fernández, Manuel (Cotutor)","2025-07-21","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","García Pardo, Eduardo (Tutor); Viejo Fernández, Manuel (Cotutor) (2025). GESTIÓN EFICIENTE DE PRODUCTOS INDUSTRIALES CON MÚLTIPLES VARIANTES EN ODOO.","-"
"Multi-armed bandit for the cyclic minimum sitting arrangement problem","Robles, Marcos; Cavero, Sergio; Pardo, Eduardo G; Cordon, Oscar","2025-07-01","10.1016/j.cor.2025.107034","N","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Arquitetura e urbanismo; Biotecnología; Ciência da computação; Ciencias sociales; Computer science (all); Computer science (miscellaneous); Computer science, interdisciplinary applications; Economia; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Engineering, industrial; General computer science; Interdisciplinar; Management science and operations research; Matemática / probabilidade e estatística; Modeling and simulation; Operations research & management science","Computers & Operations Research","1.605","-","-","-","Q1","Robles, Marcos; Cavero, Sergio; Pardo, Eduardo G; Cordon, Oscar (2025). Multi-armed bandit for the cyclic minimum sitting arrangement problem. Computers & Operations Research, 179(), 107034-. DOI: 10.1016/j.cor.2025.107034","10.1016/j.cor.2025.107034 (Crossref);10293472 (iMarina);10295102 (iMarina);2-s2.0-85219497058 (Scopus);W4408076517 (OpenAlex);WOS:001441824000001 (WoS)"
