"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"REDES DE COMPUTADORES","Garmendia Jorge, Antonio","2025-09-01","2269027-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garmendia Jorge, Antonio (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2269_2269027_antonio.garmendia (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Garmendia Jorge, Antonio","2025-09-01","2269038-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garmendia Jorge, Antonio (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2269_2269038_antonio.garmendia (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Garmendia Jorge, Antonio","2025-09-01","2073038-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garmendia Jorge, Antonio (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2073_2073038_antonio.garmendia (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Garmendia Jorge, Antonio","2025-09-01","2243032-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garmendia Jorge, Antonio (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2243_2243032_antonio.garmendia (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","Garmendia Jorge, Antonio","2025-09-01","2243021-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garmendia Jorge, Antonio (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2243_2243021_antonio.garmendia (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Garmendia Jorge, Antonio","2025-09-01","2243006-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garmendia Jorge, Antonio (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2243_2243006_antonio.garmendia (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Garmendia Jorge, Antonio","2025-09-01","2073005-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garmendia Jorge, Antonio (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2073_2073005_antonio.garmendia (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Garmendia Jorge, Antonio","2025-09-01","2059003-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garmendia Jorge, Antonio (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2059_2059003_antonio.garmendia (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Garmendia Jorge, Antonio","2025-09-01","2269005-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garmendia Jorge, Antonio (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2269_2269005_antonio.garmendia (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","Garmendia Jorge, Antonio","2025-09-01","2059018-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garmendia Jorge, Antonio (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2059_2059018_antonio.garmendia (Universidad Rey Juan Carlos)"
