"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"COMPORTAMIENTO DE PERSONAJES","Garre del Olmo, Carlos","2025-09-01","2175035-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garre del Olmo, Carlos (2025). COMPORTAMIENTO DE PERSONAJES. Universdiad Rey Juan Carlos","2025-26_2175_2175035_carlos.garre (Universidad Rey Juan Carlos)"
"COMPORTAMIENTO DE PERSONAJES","Garre del Olmo, Carlos","2025-09-01","2321039-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garre del Olmo, Carlos (2025). COMPORTAMIENTO DE PERSONAJES. Universdiad Rey Juan Carlos","2025-26_2321_2321039_carlos.garre (Universidad Rey Juan Carlos)"
"REALIDAD VIRTUAL","Garre del Olmo, Carlos","2025-09-01","2175043-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garre del Olmo, Carlos (2025). REALIDAD VIRTUAL. Universdiad Rey Juan Carlos","2025-26_2175_2175043_carlos.garre (Universidad Rey Juan Carlos)"
"ROBOTICA Y DOMOTICA","Garre del Olmo, Carlos","2025-09-01","2032039-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garre del Olmo, Carlos (2025). ROBOTICA Y DOMOTICA. Universdiad Rey Juan Carlos","2025-26_2032_2032039_carlos.garre (Universidad Rey Juan Carlos)"
"REALIDAD VIRTUAL","Garre del Olmo, Carlos","2025-09-01","2321052-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garre del Olmo, Carlos (2025). REALIDAD VIRTUAL. Universdiad Rey Juan Carlos","2025-26_2321_2321052_carlos.garre (Universidad Rey Juan Carlos)"
"Realidad Virtual e Interacción","Garre del Olmo, Carlos","2025-09-01","634302-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garre del Olmo, Carlos (2025). Realidad Virtual e Interacción. Universdiad Rey Juan Carlos","2025-26_6343_634302_carlos.garre (Universidad Rey Juan Carlos)"
"MIKO: DISEÑO DE UNA ARQUITECTURA DE CONTROL JERÁRQUICA Y SU APLICACIÓN AL ROBOT INMOOV","Garre del Olmo, Carlos (Tutor)","2025-07-11","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Garre del Olmo, Carlos (Tutor) (2025). MIKO: DISEÑO DE UNA ARQUITECTURA DE CONTROL JERÁRQUICA Y SU APLICACIÓN AL ROBOT INMOOV.","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Garre del Olmo, Carlos","2025-01-01","1813510-4177","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Inteligencia artificial para la industria 4.0: generación de datos, modelado avanzado optimización e interpretabilidad. (MULTIVIHU)","Garre del Olmo, Carlos (Investigador principal (IP)); Comino Trinidad, Marc (Investigador/a); Márquez Balduque, Mario (Investigador/a); Prieto Martín, Melania (Investigador/a); Sagredo de Miguel, Diego (Investigador/a); Olavarría Bezanilla, Álvaro (Investigador/a); Espinosa García, Antonio Javier (Investigador/a); López Moreno, Jorge Félix (Investigador/a)","2025-01-01","TEC-2024/COM-89","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Inteligencia artificial para la industria 4.0: generación de datos, modelado avanzado optimización e interpretabilidad. (MULTIVIHU). Garre del Olmo, Carlos (Investigador principal (IP)); Comino Trinidad, Marc (Investigador/a); Márquez Balduque, Mario (Investigador/a); Prieto Martín, Melania (Investigador/a); Sagredo de Miguel, Diego (Investigador/a); Olavarría Bezanilla, Álvaro (Investigador/a); Espinosa García, Antonio Javier (Investigador/a); López Moreno, Jorge Félix (Investigador/a).  Financiadora: Comunidad de Madrid  (2025-01-01 / 2028-12-31)","M3838 (Universidad Rey Juan Carlos)"
"Desarrollo de Plataformas para el Estudio de Audio Espacial en Avatares de Telepresencia.","Casas Guix, Dan (Investigador/a); Garre del Olmo, Carlos (Investigador principal (IP)); López Moreno, Jorge Félix (Investigador/a); Sánchez Campos, Alberto (Investigador/a); Otaduy Tristán, Miguel Ángel (Investigador/a)","2025-01-01","2024/SOLCON-138160","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-138160. Desarrollo de Plataformas para el Estudio de Audio Espacial en Avatares de Telepresencia.. Casas Guix, Dan (Investigador/a); Garre del Olmo, Carlos (Investigador principal (IP)); López Moreno, Jorge Félix (Investigador/a); Sánchez Campos, Alberto (Investigador/a); Otaduy Tristán, Miguel Ángel (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3734 (Universidad Rey Juan Carlos)"
"Adquisición de equipamiento para Cognición, Robótica, Visión Artificial y Ciencia de Datos: Consorcio de Innovación Digital.","Garre del Olmo, Carlos (Investigador/a); Velasco González, Iván (Investigador/a); Ortega del Campo, David (Investigador/a); Toader, Nicusor Cosmin (Investigador/a); Lancho Martín, María del Carmen (Investigador/a); Gutiérrez Peña, Gema (Investigador/a); Guillén García, Julio (Investigador principal (IP)); Gómez Macías, Cristian (Investigador/a); Zapata Cáceres, María (Investigador/a); Ramos Vega, María Cristina (Investigador/a); Sújar Garrido, Aarón (Investigador/a); Comino Trinidad, Marc (Investigador/a); Pérez Blanco, Francisco Javier (Investigador/a); Aceña Gil, Víctor (Investigador/a); López Cano, Emilio (Investigador/a); Granada Mejía, Juan David (Investigador/a)","2025-01-01","2024/SOLCON-64840","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-64840. Adquisición de equipamiento para Cognición, Robótica, Visión Artificial y Ciencia de Datos: Consorcio de Innovación Digital.. Garre del Olmo, Carlos (Investigador/a); Velasco González, Iván (Investigador/a); Ortega del Campo, David (Investigador/a); Toader, Nicusor Cosmin (Investigador/a); Lancho Martín, María del Carmen (Investigador/a); Gutiérrez Peña, Gema (Investigador/a); Guillén García, Julio (Investigador principal (IP)); Gómez Macías, Cristian (Investigador/a); Zapata Cáceres, María (Investigador/a); Ramos Vega, María Cristina (Investigador/a); Sújar Garrido, Aarón (Investigador/a); Comino Trinidad, Marc (Investigador/a); Pérez Blanco, Francisco Javier (Investigador/a); Aceña Gil, Víctor (Investigador/a); López Cano, Emilio (Investigador/a); Granada Mejía, Juan David (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3696 (Universidad Rey Juan Carlos)"
"Realidad Virtual e Interacción","Garre del Olmo, Carlos","2024-09-01","634302-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garre del Olmo, Carlos (2024). Realidad Virtual e Interacción. Universdiad Rey Juan Carlos","2024-25_6343_634302_carlos.garre (Universidad Rey Juan Carlos)"
"COMPORTAMIENTO DE PERSONAJES","Garre del Olmo, Carlos","2024-09-01","2175035-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garre del Olmo, Carlos (2024). COMPORTAMIENTO DE PERSONAJES. Universdiad Rey Juan Carlos","2024-25_2175_2175035_carlos.garre (Universidad Rey Juan Carlos)"
"COMPORTAMIENTO DE PERSONAJES","Garre del Olmo, Carlos","2024-09-01","2321039-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garre del Olmo, Carlos (2024). COMPORTAMIENTO DE PERSONAJES. Universdiad Rey Juan Carlos","2024-25_2321_2321039_carlos.garre (Universidad Rey Juan Carlos)"
"ROBOTICA Y DOMOTICA","Garre del Olmo, Carlos","2024-09-01","2113047-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garre del Olmo, Carlos (2024). ROBOTICA Y DOMOTICA. Universdiad Rey Juan Carlos","2024-25_2113_2113047_carlos.garre (Universidad Rey Juan Carlos)"
"REALIDAD VIRTUAL","Garre del Olmo, Carlos","2024-09-01","2321052-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garre del Olmo, Carlos (2024). REALIDAD VIRTUAL. Universdiad Rey Juan Carlos","2024-25_2321_2321052_carlos.garre (Universidad Rey Juan Carlos)"
"ROBOTICA Y DOMOTICA","Garre del Olmo, Carlos","2024-09-01","2032039-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garre del Olmo, Carlos (2024). ROBOTICA Y DOMOTICA. Universdiad Rey Juan Carlos","2024-25_2032_2032039_carlos.garre (Universidad Rey Juan Carlos)"
"ROBOTICA Y DOMOTICA","Garre del Olmo, Carlos","2024-09-01","2321055-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garre del Olmo, Carlos (2024). ROBOTICA Y DOMOTICA. Universdiad Rey Juan Carlos","2024-25_2321_2321055_carlos.garre (Universidad Rey Juan Carlos)"
"REALIDAD VIRTUAL","Garre del Olmo, Carlos","2024-09-01","2175043-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garre del Olmo, Carlos (2024). REALIDAD VIRTUAL. Universdiad Rey Juan Carlos","2024-25_2175_2175043_carlos.garre (Universidad Rey Juan Carlos)"
"KARU RACING: SIMULADOR DE COCHES SIMCADE CON FÍSICAS Y MODELOS DE COCHES REALES","Garre del Olmo, Carlos (Tutor)","2024-07-22","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Garre del Olmo, Carlos (Tutor) (2024). KARU RACING: SIMULADOR DE COCHES SIMCADE CON FÍSICAS Y MODELOS DE COCHES REALES.","-"
