"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PROCESOS DE SOFTWARE","Garzás Parra, Javier","2025-09-01","2114027-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garzás Parra, Javier (2025). PROCESOS DE SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2114_2114027_javier.garzas (Universidad Rey Juan Carlos)"
"PROCESOS DE SOFTWARE","Garzás Parra, Javier","2025-09-01","2118038-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garzás Parra, Javier (2025). PROCESOS DE SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2118_2118038_javier.garzas (Universidad Rey Juan Carlos)"
"NUEVAS TENDENCIAS EN INGENIERÍA DE SISTEMAS DE INFORMACIÓN","Garzás Parra, Javier","2025-09-01","609501-6095","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garzás Parra, Javier (2025). NUEVAS TENDENCIAS EN INGENIERÍA DE SISTEMAS DE INFORMACIÓN. Universdiad Rey Juan Carlos","2025-26_6095_609501_javier.garzas (Universidad Rey Juan Carlos)"
"CALIDAD DEL SOFTWARE","Garzás Parra, Javier","2025-09-01","2118042-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garzás Parra, Javier (2025). CALIDAD DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2118_2118042_javier.garzas (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Garzás Parra, Javier","2025-09-01","2285023-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garzás Parra, Javier (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2285_2285023_javier.garzas (Universidad Rey Juan Carlos)"
"CALIDAD DEL SOFTWARE","Garzás Parra, Javier","2025-09-01","2034030-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garzás Parra, Javier (2025). CALIDAD DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2034_2034030_javier.garzas (Universidad Rey Juan Carlos)"
"PROCESOS DE SOFTWARE","Garzás Parra, Javier","2025-09-01","2316038-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garzás Parra, Javier (2025). PROCESOS DE SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2316_2316038_javier.garzas (Universidad Rey Juan Carlos)"
"CALIDAD DEL SOFTWARE","Garzás Parra, Javier","2025-09-01","2114037-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garzás Parra, Javier (2025). CALIDAD DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2114_2114037_javier.garzas (Universidad Rey Juan Carlos)"
"CALIDAD DEL SOFTWARE","Garzás Parra, Javier","2025-09-01","2316042-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garzás Parra, Javier (2025). CALIDAD DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2316_2316042_javier.garzas (Universidad Rey Juan Carlos)"
"PROCESOS DE SOFTWARE","Garzás Parra, Javier","2025-09-01","2034023-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garzás Parra, Javier (2025). PROCESOS DE SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2034_2034023_javier.garzas (Universidad Rey Juan Carlos)"
"PROCESO DE DESARROLLO DE VIDEOJUEGOS","Garzás Parra, Javier","2025-09-01","2175021-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garzás Parra, Javier (2025). PROCESO DE DESARROLLO DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2175_2175021_javier.garzas (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS","Garzás Parra, Javier","2025-09-01","2061029-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garzás Parra, Javier (2025). SISTEMAS DISTRIBUIDOS. Universdiad Rey Juan Carlos","2025-26_2061_2061029_javier.garzas (Universidad Rey Juan Carlos)"
"PROCESO DE DESARROLLO DE VIDEOJUEGOS","Garzás Parra, Javier","2025-09-01","2321021-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garzás Parra, Javier (2025). PROCESO DE DESARROLLO DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2321_2321021_javier.garzas (Universidad Rey Juan Carlos)"
"IMPACTO DE LA IA GENERATIVA EN LA INGENIERÍA DEL SOFTWARE: UNA REVISIÓN SISTEMÁTICA","Gutiérrez Peña, Gema (Cotutor); Garzás Parra, Javier (Tutor)","2025-07-09","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Gutiérrez Peña, Gema (Cotutor); Garzás Parra, Javier (Tutor) (2025). IMPACTO DE LA IA GENERATIVA EN LA INGENIERÍA DEL SOFTWARE: UNA REVISIÓN SISTEMÁTICA.","-"
"DESARROLLO DE UNA RED SOCIAL BASADA EN GEOLOCALIZACIÓN","Garzás Parra, Javier (Tutor)","2025-06-30","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Garzás Parra, Javier (Tutor) (2025). DESARROLLO DE UNA RED SOCIAL BASADA EN GEOLOCALIZACIÓN.","-"
"Effects of Personality Types on the Performance of Educational Teams","Criado, Juan Manuel; Gutierrez, Gema; Cano, Emilio L; Garzas, Javier; de Lena, Maria Teresa Gonzalez; Moguerza, Javier M; Munoz, Juan Jose Fernandez","2025-03-05","10.3390/bs15030312","Y","Publicaciones","Artículo","Behavioral neuroscience; Ciencias sociales; Development; Ecology, evolution, behavior and systematics; General psychology; Genetics; Psychology (all); Psychology (miscellaneous); Psychology, multidisciplinary","Behavioral Sciences","0.718","-","-","-","Q1","Criado, Juan Manuel; Gutierrez, Gema; Cano, Emilio L; Garzas, Javier; de Lena, Maria Teresa Gonzalez; Moguerza, Javier M; Munoz, Juan Jose Fernandez (2025). Effects of Personality Types on the Performance of Educational Teams. Behavioral Sciences, 15(3), 312-. DOI: 10.3390/bs15030312","10.3390/bs15030312 (Crossref);10295223 (iMarina);2-s2.0-105001153820 (Scopus);W4408218681 (OpenAlex);WOS:001453030200001 (WoS)"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Garzás Parra, Javier","2025-01-01","1813511-4286","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"PROCESOS DE SOFTWARE","Garzás Parra, Javier","2024-09-01","2034023-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garzás Parra, Javier (2024). PROCESOS DE SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2034_2034023_javier.garzas (Universidad Rey Juan Carlos)"
"NUEVAS TENDENCIAS EN INGENIERÍA DE SISTEMAS DE INFORMACIÓN","Garzás Parra, Javier","2024-09-01","609501-6095","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Garzás Parra, Javier (2024). NUEVAS TENDENCIAS EN INGENIERÍA DE SISTEMAS DE INFORMACIÓN. Universdiad Rey Juan Carlos","2024-25_6095_609501_javier.garzas (Universidad Rey Juan Carlos)"
