"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INTRODUCCION A LA CIBERSEGURIDAD","González Pardo, Antonio","2025-09-01","2285002-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2025). INTRODUCCION A LA CIBERSEGURIDAD. Universdiad Rey Juan Carlos","2025-26_2285_2285002_antonio.gpardo (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS I","González Pardo, Antonio","2025-09-01","2361012-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2025). ESTRUCTURAS DE DATOS I. Universdiad Rey Juan Carlos","2025-26_2361_2361012_antonio.gpardo (Universidad Rey Juan Carlos)"
"ALGORITMOS","González Pardo, Antonio","2025-09-01","2361011-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2025). ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2361_2361011_antonio.gpardo (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","González Pardo, Antonio","2025-09-01","2285022-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2285_2285022_antonio.gpardo (Universidad Rey Juan Carlos)"
"GREYWARE Y LOS SOFTWARES ANTICHEATING EN VIDEOJUEGOS","González Pardo, Antonio (Tutor)","2025-07-21","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","González Pardo, Antonio (Tutor) (2025). GREYWARE Y LOS SOFTWARES ANTICHEATING EN VIDEOJUEGOS.","-"
"BIOSCANIA: SISTEMA WEB PARA LA IDENTIFICACIÓN DE ENFERMEDADES Y PLAGAS USANDO DEEP LEARNING","González Pardo, Antonio (Tutor)","2025-07-17","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","González Pardo, Antonio (Tutor) (2025). BIOSCANIA: SISTEMA WEB PARA LA IDENTIFICACIÓN DE ENFERMEDADES Y PLAGAS USANDO DEEP LEARNING.","-"
"CIBERTERRORISMO: LA AMENAZA INVISIBLE DEL SIGLO XXI","González Pardo, Antonio (Tutor)","2025-07-08","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","González Pardo, Antonio (Tutor) (2025). CIBERTERRORISMO: LA AMENAZA INVISIBLE DEL SIGLO XXI.","-"
"DESARROLLO DE UN SISTEMA WEB PARA LA DETECCIÓN DE ARCHIVOS MALICIOSOS","González Pardo, Antonio (Tutor)","2025-06-03","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","González Pardo, Antonio (Tutor) (2025). DESARROLLO DE UN SISTEMA WEB PARA LA DETECCIÓN DE ARCHIVOS MALICIOSOS.","-"
"DESARROLLO DE CLIENTE PARA LA API KIUWAN","González Pardo, Antonio (Tutor)","2025-05-13","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","González Pardo, Antonio (Tutor) (2025). DESARROLLO DE CLIENTE PARA LA API KIUWAN.","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","González Pardo, Antonio","2025-01-01","1813514-4738","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Ciberseguridad e inteligencia artificial resiliente para la Comunidad de Madrid. (GRAFO)","Serrano Luján, Lucía (Investigador/a); Penedo Ventosa, Iván (Investigador/a); Pérez Peló, Sergio (Investigador/a); Martín García, Lucas (Investigador/a); Cavero Díaz, Sergio (Investigador/a); Colmenar Verdugo, José Manuel (Investigador/a); Salazar Cárdenas, Sergio (Investigador/a); Martín Santamaría, Raúl (Investigador/a); Ventura Cabrejas, Silvia (Investigador/a); Lozano Osorio, Isaac (Investigador/a); García Pardo, Eduardo (Investigador/a); Herrán González, Alberto (Investigador/a); Casado Ceballos, Alejandra (Investigador/a); Diaconescu, Teodor Andrei (Investigador/a); Duarte Muñoz, Abraham (Investigador/a); Sánchez-Oro Calvo, Jesús (Investigador principal (IP)); Yuste Moure, Javier (Investigador/a); Fernández Timón, Alfonso (Investigador/a); González Pardo, Antonio (Investigador/a); Robles Rodríguez, Marcos (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Viejo Fernández, Manuel (Investigador/a)","2025-01-01","TEC-2024/COM-404","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:TEC-2024/COM-404. Ciberseguridad e inteligencia artificial resiliente para la Comunidad de Madrid. (GRAFO). Serrano Luján, Lucía (Investigador/a); Penedo Ventosa, Iván (Investigador/a); Pérez Peló, Sergio (Investigador/a); Martín García, Lucas (Investigador/a); Cavero Díaz, Sergio (Investigador/a); Colmenar Verdugo, José Manuel (Investigador/a); Salazar Cárdenas, Sergio (Investigador/a); Martín Santamaría, Raúl (Investigador/a); Ventura Cabrejas, Silvia (Investigador/a); Lozano Osorio, Isaac (Investigador/a); García Pardo, Eduardo (Investigador/a); Herrán González, Alberto (Investigador/a); Casado Ceballos, Alejandra (Investigador/a); Diaconescu, Teodor Andrei (Investigador/a); Duarte Muñoz, Abraham (Investigador/a); Sánchez-Oro Calvo, Jesús (Investigador principal (IP)); Yuste Moure, Javier (Investigador/a); Fernández Timón, Alfonso (Investigador/a); González Pardo, Antonio (Investigador/a); Robles Rodríguez, Marcos (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Viejo Fernández, Manuel (Investigador/a).  Financiadora: Comunidad de Madrid  (2025-01-01 / 2028-12-31)","M3832 (Universidad Rey Juan Carlos)"
"CIPHERENGINE Fostering computational thinking via cryptographic methods for interdisciplinary STEAM education","González Pardo, Antonio (Investigador principal (IP)); Pérez Peló, Sergio (Investigador/a); Martín Santamaría, Raúl (Investigador/a); Lozano Osorio, Isaac (Investigador/a)","2024-12-31","2024-1-NL01-KA220-SCH-000248233","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024-1-NL01-KA220-SCH-000248233. CIPHERENGINE Fostering computational thinking via cryptographic methods for interdisciplinary STEAM education. González Pardo, Antonio (Investigador principal (IP)); Pérez Peló, Sergio (Investigador/a); Martín Santamaría, Raúl (Investigador/a); Lozano Osorio, Isaac (Investigador/a).  Financiadora: European commision  (2024-12-31 / 2026-12-30)","M3740 (Universidad Rey Juan Carlos)"
"ESTUDIO DE NUEVAS CARACTERÍSTICAS SOBRE LA PARTE COMPLEJA DE LA SEÑAL PARA LA DETECCIÓN DE VOCES FALSAS","Simón de Blas, Clara (Cotutor); González Pardo, Antonio (Tutor)","2024-11-20","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Simón de Blas, Clara (Cotutor); González Pardo, Antonio (Tutor) (2024). ESTUDIO DE NUEVAS CARACTERÍSTICAS SOBRE LA PARTE COMPLEJA DE LA SEÑAL PARA LA DETECCIÓN DE VOCES FALSAS.","-"
"ESTRUCTURAS DE DATOS","González Pardo, Antonio","2024-09-01","2269012-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2269_2269012_antonio.gpardo (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA CIBERSEGURIDAD","González Pardo, Antonio","2024-09-01","2285002-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2024). INTRODUCCION A LA CIBERSEGURIDAD. Universdiad Rey Juan Carlos","2024-25_2285_2285002_antonio.gpardo (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS I","González Pardo, Antonio","2024-09-01","2361012-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2024). ESTRUCTURAS DE DATOS I. Universdiad Rey Juan Carlos","2024-25_2361_2361012_antonio.gpardo (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","González Pardo, Antonio","2024-09-01","2073012-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2073_2073012_antonio.gpardo (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","González Pardo, Antonio","2024-09-01","2243010-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2243_2243010_antonio.gpardo (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","González Pardo, Antonio","2024-09-01","2285010-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2285_2285010_antonio.gpardo (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","González Pardo, Antonio","2024-09-01","2059008-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2059_2059008_antonio.gpardo (Universidad Rey Juan Carlos)"
"EBPF: FROM OS DETECTION TO DEEP PACKET INSPECTION","González Pardo, Antonio (Tutor)","2024-07-21","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","González Pardo, Antonio (Tutor) (2024). EBPF: FROM OS DETECTION TO DEEP PACKET INSPECTION.","-"
"VISTA FULL-STACK DE LA SINCRONIZACIÓN DE RELOJES","González Pardo, Antonio (Tutor)","2024-06-13","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","González Pardo, Antonio (Tutor) (2024). VISTA FULL-STACK DE LA SINCRONIZACIÓN DE RELOJES.","-"
"AI MENTAL HEALTH: DESARROLLO DE SISTEMA DE SOPORTE A LA DECISIÓN PARA LA DETECCIÓN DE SEÑALES DE SUICIDIO EN TEXTOS","González Pardo, Antonio (Tutor)","2024-05-12","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","González Pardo, Antonio (Tutor) (2024). AI MENTAL HEALTH: DESARROLLO DE SISTEMA DE SOPORTE A LA DECISIÓN PARA LA DETECCIÓN DE SEÑALES DE SUICIDIO EN TEXTOS.","-"
"A new algorithm for communities detection in social networks with node attributes","Gmati H; Mouakher A; Gonzalez-Pardo A; Camacho D","2024-02-01","10.1007/s12652-018-1108-5","-","Publicaciones","Otro tipo de publicación en revista","Ciência da computação; Computer science (all); Computer science (miscellaneous); Computer science, artificial intelligence; Computer science, information systems; General computer science; Telecommunications","Journal Of Ambient Intelligence And Humanized Computing","0.834","-","-","-","Q1","Gmati H; Mouakher A; Gonzalez-Pardo A; Camacho D (2024). A new algorithm for communities detection in social networks with node attributes. Journal Of Ambient Intelligence And Humanized Computing, 15(2), 1779-1791. DOI: 10.1007/s12652-018-1108-5","2-s2.0-85056124239 (Scopus)"
"DESARROLLO DE UN CHATBOT ESPECIALIZADO USANDO INTELIGENCIA ARTIFICIAL GENERATIVA","González Pardo, Antonio (Tutor)","2024-01-09","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","González Pardo, Antonio (Tutor) (2024). DESARROLLO DE UN CHATBOT ESPECIALIZADO USANDO INTELIGENCIA ARTIFICIAL GENERATIVA. Universdiad Rey Juan Carlos","TFG_2316048_r.catalan.2018_2b02212e23335a40de8941ce9f25d3f8 (Universidad Rey Juan Carlos)"
"Tramo de Investigación (Sexenio)","González Pardo, Antonio","2023-12-31","-","-","Reconocimientos","Tramo de Investigación (Sexenio)","-","-","-","-","-","-","-","Tramo de Investigación (Sexenio) (2023)","antonio.gpardo-sexenios (Universidad Rey Juan Carlos)"
"RESOLUCIÓN DE PROBLEMAS DE DOMINACIÓN TOTAL PONDERADA POR MEDIO DE MODELOS DE OPTIMIZACIÓN","González Pardo, Antonio (Tutor)","2023-10-04","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","González Pardo, Antonio (Tutor) (2023). RESOLUCIÓN DE PROBLEMAS DE DOMINACIÓN TOTAL PONDERADA POR MEDIO DE MODELOS DE OPTIMIZACIÓN. Universdiad Rey Juan Carlos","TFG_2316050_r.catalan.2018_35a20f298cfb93bba0f63d0d7b75cf0f (Universidad Rey Juan Carlos)"
"SISTEMAS DE INFORMACION","González Pardo, Antonio","2023-09-01","2114034-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2023). SISTEMAS DE INFORMACION. Universdiad Rey Juan Carlos","2023-24_2114_2114034_antonio.gpardo (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","González Pardo, Antonio","2023-09-01","2243010-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2023). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2023-24_2243_2243010_antonio.gpardo (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","González Pardo, Antonio","2023-09-01","2269012-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2023). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2023-24_2269_2269012_antonio.gpardo (Universidad Rey Juan Carlos)"
"TECNICAS DE HACKING","González Pardo, Antonio","2023-09-01","2285015-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2023). TECNICAS DE HACKING. Universdiad Rey Juan Carlos","2023-24_2285_2285015_antonio.gpardo (Universidad Rey Juan Carlos)"
"SISTEMAS DE INFORMACION","González Pardo, Antonio","2023-09-01","2033035-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González Pardo, Antonio (2023). SISTEMAS DE INFORMACION. Universdiad Rey Juan Carlos","2023-24_2033_2033035_antonio.gpardo (Universidad Rey Juan Carlos)"
