"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"NUTORO: UNA RED SOCIAL DE RECETAS SALUDABLES","Gutiérrez Peña, Gema (Cotutor); González de Lena Alonso, María Teresa (Tutor)","2025-09-05","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Gutiérrez Peña, Gema (Cotutor); González de Lena Alonso, María Teresa (Tutor) (2025). NUTORO: UNA RED SOCIAL DE RECETAS SALUDABLES.","-"
"PROCESO DE DESARROLLO SOFTWARE DE NUTORO","Gutiérrez Peña, Gema (Cotutor); González de Lena Alonso, María Teresa (Tutor)","2025-09-05","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Gutiérrez Peña, Gema (Cotutor); González de Lena Alonso, María Teresa (Tutor) (2025). PROCESO DE DESARROLLO SOFTWARE DE NUTORO.","-"
"ESTRUCTURAS DE DATOS AVANZADAS","González de Lena Alonso, María Teresa","2025-09-01","2113035-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González de Lena Alonso, María Teresa (2025). ESTRUCTURAS DE DATOS AVANZADAS. Universdiad Rey Juan Carlos","2025-26_2113_2113035_mariateresa.gonzalezdelena (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS AVANZADAS","González de Lena Alonso, María Teresa","2025-09-01","2033024-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González de Lena Alonso, María Teresa (2025). ESTRUCTURAS DE DATOS AVANZADAS. Universdiad Rey Juan Carlos","2025-26_2033_2033024_mariateresa.gonzalezdelena (Universidad Rey Juan Carlos)"
"TEORIA DE AUTOMATAS Y LENGUAJES FORMALES","González de Lena Alonso, María Teresa","2025-09-01","2114016-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González de Lena Alonso, María Teresa (2025). TEORIA DE AUTOMATAS Y LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2114_2114016_mariateresa.gonzalezdelena (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","González de Lena Alonso, María Teresa","2025-09-01","2117022-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González de Lena Alonso, María Teresa (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2117_2117022_mariateresa.gonzalezdelena (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","González de Lena Alonso, María Teresa","2025-09-01","2061018-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González de Lena Alonso, María Teresa (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2061_2061018_mariateresa.gonzalezdelena (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS AVANZADAS","González de Lena Alonso, María Teresa","2025-09-01","2315036-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González de Lena Alonso, María Teresa (2025). ESTRUCTURAS DE DATOS AVANZADAS. Universdiad Rey Juan Carlos","2025-26_2315_2315036_mariateresa.gonzalezdelena (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","González de Lena Alonso, María Teresa","2025-09-01","2034018-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González de Lena Alonso, María Teresa (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2034_2034018_mariateresa.gonzalezdelena (Universidad Rey Juan Carlos)"
"TEORIA DE AUTOMATAS Y LENGUAJES FORMALES","González de Lena Alonso, María Teresa","2025-09-01","2315024-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","González de Lena Alonso, María Teresa (2025). TEORIA DE AUTOMATAS Y LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2315_2315024_mariateresa.gonzalezdelena (Universidad Rey Juan Carlos)"
