"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"DESARROLLO DE APLICACIONES DISTRIBUIDAS","Gortázar Bellas, Francisco de Asis","2025-09-01","2321044-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gortázar Bellas, Francisco de Asis (2025). DESARROLLO DE APLICACIONES DISTRIBUIDAS. Universdiad Rey Juan Carlos","2025-26_2321_2321044_francisco.gortazar (Universidad Rey Juan Carlos)"
"DIRECCION Y GESTION DE PROYECTOS","Gortázar Bellas, Francisco de Asis","2025-09-01","2032029-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gortázar Bellas, Francisco de Asis (2025). DIRECCION Y GESTION DE PROYECTOS. Universdiad Rey Juan Carlos","2025-26_2032_2032029_francisco.gortazar (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES DISTRIBUIDAS","Gortázar Bellas, Francisco de Asis","2025-09-01","2032027-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gortázar Bellas, Francisco de Asis (2025). DESARROLLO DE APLICACIONES DISTRIBUIDAS. Universdiad Rey Juan Carlos","2025-26_2032_2032027_francisco.gortazar (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES DISTRIBUIDAS","Gortázar Bellas, Francisco de Asis","2025-09-01","2113038-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gortázar Bellas, Francisco de Asis (2025). DESARROLLO DE APLICACIONES DISTRIBUIDAS. Universdiad Rey Juan Carlos","2025-26_2113_2113038_francisco.gortazar (Universidad Rey Juan Carlos)"
"LENGUAJES DE PROGRAMACION","Gortázar Bellas, Francisco de Asis","2025-09-01","2032026-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gortázar Bellas, Francisco de Asis (2025). LENGUAJES DE PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2032_2032026_francisco.gortazar (Universidad Rey Juan Carlos)"
"LENGUAJES DE PROGRAMACION","Gortázar Bellas, Francisco de Asis","2025-09-01","2113029-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gortázar Bellas, Francisco de Asis (2025). LENGUAJES DE PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2113_2113029_francisco.gortazar (Universidad Rey Juan Carlos)"
"Sistemas de ayuda a la decisión y optimización en problemas de corte de acero","Gortázar Bellas, Francisco de Asis (Codirector) ; Gallego Carrillo, Micael (Director) Doctorando: OSCAR SOTO SANCHEZ","2025-04-02","-","-","Dirección de Tesis, TFG, TFM, etc.","Tesis Doctoral","-","-","-","-","-","-","-","Gortázar Bellas, Francisco de Asis (Codirector) ; Gallego Carrillo, Micael (Director) Doctorando: OSCAR SOTO SANCHEZ (2025). Sistemas de ayuda a la decisión y optimización en problemas de corte de acero. Universdiad Rey Juan Carlos","-"
"A heuristic algorithm to improving the coil slitting process in the steel industry","Soto-Sanchez, Oscar; Sierra-Paradinas, Maria; Gallego, Micael; Alonso-Ayuso, Antonio; Gortazar, Francisco","2025-03-01","10.1007/s10732-024-09546-x","N","Publicaciones","Artículo","Artificial intelligence; Ciência da computação; Ciencias sociales; Computer networks and communications; Computer science, artificial intelligence; Computer science, theory & methods; Control and optimization; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Information systems; Interdisciplinar; Management science and operations research; Software","Journal Of Heuristics","0.458","-","-","-","Q2","Soto-Sanchez, Oscar; Sierra-Paradinas, Maria; Gallego, Micael; Alonso-Ayuso, Antonio; Gortazar, Francisco (2025). A heuristic algorithm to improving the coil slitting process in the steel industry. Journal Of Heuristics, 31(1), 13-. DOI: 10.1007/s10732-024-09546-x","10.1007/s10732-024-09546-x (Crossref);2-s2.0-85217792722 (Scopus);WOS:001409634400001 (WoS)"
"Quality of Experience Under Huge Load for WebRTC Applications: A Case Study of Three Media Servers","Chicano-Capelo, Ivan; Gortazar, Francisco; Gallego, Micael","2025-01-01","10.1109/ACCESS.2025.3589785","Y","Publicaciones","Artículo","Ciência da computação; Computer science (all); Computer science (miscellaneous); Computer science, information systems; Electrical and electronic engineering; Engenharias iii; Engenharias iv; Engineering (all); Engineering (miscellaneous); Engineering, electrical & electronic; General computer science; General engineering; General materials science; Materials science (all); Materials science (miscellaneous); Telecommunications","Ieee Access","0.849","-","-","-","Q1","Chicano-Capelo, Ivan; Gortazar, Francisco; Gallego, Micael (2025). Quality of Experience Under Huge Load for WebRTC Applications: A Case Study of Three Media Servers. Ieee Access, 13(), 140440-140461. DOI: 10.1109/ACCESS.2025.3589785","10.1109/access.2025.3589785 (Crossref);10383915 (iMarina);2-s2.0-105011196482 (Scopus);WOS:001550832200002 (WoS)"
"DESARROLLO DE APLICACIONES DISTRIBUIDAS","Gortázar Bellas, Francisco de Asis","2024-09-01","2113038-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gortázar Bellas, Francisco de Asis (2024). DESARROLLO DE APLICACIONES DISTRIBUIDAS. Universdiad Rey Juan Carlos","2024-25_2113_2113038_francisco.gortazar (Universidad Rey Juan Carlos)"
