"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"VISUALIZACION DE INFORMACION","Granada Mejía, Juan David","2025-09-01","2360036-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Granada Mejía, Juan David (2025). VISUALIZACION DE INFORMACION. Universdiad Rey Juan Carlos","2025-26_2360_2360036_david.granada (Universidad Rey Juan Carlos)"
"INTELIGENCIA Y ANALISIS DE NEGOCIO","Granada Mejía, Juan David","2025-09-01","2257035-2257","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Granada Mejía, Juan David (2025). INTELIGENCIA Y ANALISIS DE NEGOCIO. Universdiad Rey Juan Carlos","2025-26_2257_2257035_david.granada (Universidad Rey Juan Carlos)"
"INTELIGENCIA Y ANALISIS DE NEGOCIO","Granada Mejía, Juan David","2025-09-01","2267051-2267","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Granada Mejía, Juan David (2025). INTELIGENCIA Y ANALISIS DE NEGOCIO. Universdiad Rey Juan Carlos","2025-26_2267_2267051_david.granada (Universidad Rey Juan Carlos)"
"GESTIÓN DE LA INFORMACIÓN","Granada Mejía, Juan David","2025-09-01","609506-6095","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Granada Mejía, Juan David (2025). GESTIÓN DE LA INFORMACIÓN. Universdiad Rey Juan Carlos","2025-26_6095_609506_david.granada (Universidad Rey Juan Carlos)"
"Visualización y Comunicación de Datos Deportivos","Granada Mejía, Juan David","2025-09-01","641210-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Granada Mejía, Juan David (2025). Visualización y Comunicación de Datos Deportivos. Universdiad Rey Juan Carlos","2025-26_6412_641210_david.granada (Universidad Rey Juan Carlos)"
"INTELIGENCIA Y ANALISIS DE NEGOCIO","Granada Mejía, Juan David","2025-09-01","2176023-2176","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Granada Mejía, Juan David (2025). INTELIGENCIA Y ANALISIS DE NEGOCIO. Universdiad Rey Juan Carlos","2025-26_2176_2176023_david.granada (Universidad Rey Juan Carlos)"
"INTELIGENCIA Y ANALISIS DE NEGOCIO","Granada Mejía, Juan David","2025-09-01","2221051-2221","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Granada Mejía, Juan David (2025). INTELIGENCIA Y ANALISIS DE NEGOCIO. Universdiad Rey Juan Carlos","2025-26_2221_2221051_david.granada (Universidad Rey Juan Carlos)"
"INTELIGENCIA Y ANALISIS DE NEGOCIO","Granada Mejía, Juan David","2025-09-01","2268051-2268","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Granada Mejía, Juan David (2025). INTELIGENCIA Y ANALISIS DE NEGOCIO. Universdiad Rey Juan Carlos","2025-26_2268_2268051_david.granada (Universidad Rey Juan Carlos)"
"INTELIGENCIA Y ANALISIS DE NEGOCIO","Granada Mejía, Juan David","2025-09-01","2239023-2239","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Granada Mejía, Juan David (2025). INTELIGENCIA Y ANALISIS DE NEGOCIO. Universdiad Rey Juan Carlos","2025-26_2239_2239023_david.granada (Universidad Rey Juan Carlos)"
"Fundamentos de Power BI y Preparación de Datos","Granada Mejía, Juan David","2025-09-01","473701-4737","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Granada Mejía, Juan David (2025). Fundamentos de Power BI y Preparación de Datos. Universdiad Rey Juan Carlos","2025-26_4737_473701_david.granada (Universidad Rey Juan Carlos)"
