"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ENTORNOS MULTIJUGADOR","Guillén García, Julio","2025-09-01","2175030-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Guillén García, Julio (2025). ENTORNOS MULTIJUGADOR. Universdiad Rey Juan Carlos","2025-26_2175_2175030_julio.guillen (Universidad Rey Juan Carlos)"
"Desarrollo de Juegos Multijugador","Guillén García, Julio","2025-09-01","634317-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Guillén García, Julio (2025). Desarrollo de Juegos Multijugador. Universdiad Rey Juan Carlos","2025-26_6343_634317_julio.guillen (Universidad Rey Juan Carlos)"
"MULTIMEDIA","Guillén García, Julio","2025-09-01","2265010-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Guillén García, Julio (2025). MULTIMEDIA. Universdiad Rey Juan Carlos","2025-26_2265_2265010_julio.guillen (Universidad Rey Juan Carlos)"
"DESARROLLO DE JUEGOS CON INTELIGENCIA ARTIFICIAL","Guillén García, Julio","2025-09-01","2175024-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Guillén García, Julio (2025). DESARROLLO DE JUEGOS CON INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2175_2175024_julio.guillen (Universidad Rey Juan Carlos)"
"ENTORNOS MULTIJUGADOR","Guillén García, Julio","2025-09-01","2321032-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Guillén García, Julio (2025). ENTORNOS MULTIJUGADOR. Universdiad Rey Juan Carlos","2025-26_2321_2321032_julio.guillen (Universidad Rey Juan Carlos)"
"ENTORNOS MULTIJUGADOR","Guillén García, Julio","2025-09-01","2265030-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Guillén García, Julio (2025). ENTORNOS MULTIJUGADOR. Universdiad Rey Juan Carlos","2025-26_2265_2265030_julio.guillen (Universidad Rey Juan Carlos)"
"DISEÑO Y DESARROLLO INTEGRAL DE UNA DEMO JUGABLE PARA UN VIDEOJUEGO DE PUZLES","Guillén García, Julio (Tutor)","2025-07-24","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Guillén García, Julio (Tutor) (2025). DISEÑO Y DESARROLLO INTEGRAL DE UNA DEMO JUGABLE PARA UN VIDEOJUEGO DE PUZLES.","-"
"HERRAMIENTA DE EVENTOS GLOBALES EN UNITY MEDIANTE SCRIPTABLE OBJECTS Y GENERACIÓN AUTOMÁTICA DE CÓDIGO","Guillén García, Julio (Tutor)","2025-07-24","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Guillén García, Julio (Tutor) (2025). HERRAMIENTA DE EVENTOS GLOBALES EN UNITY MEDIANTE SCRIPTABLE OBJECTS Y GENERACIÓN AUTOMÁTICA DE CÓDIGO.","-"
"ANÁLISIS DE FRAMEWORK MONOGAME PARA EL DESARROLLO MULTIPLATAFORMA","Guillén García, Julio (Tutor)","2025-07-20","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Guillén García, Julio (Tutor) (2025). ANÁLISIS DE FRAMEWORK MONOGAME PARA EL DESARROLLO MULTIPLATAFORMA.","-"
"APRENDIZAJE PARA ALGORITMOS DE PLANIFICACIÓN DE ACCIONES ORENTADAS A OBJETIVOS","Guillén García, Julio (Tutor)","2025-06-10","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Guillén García, Julio (Tutor) (2025). APRENDIZAJE PARA ALGORITMOS DE PLANIFICACIÓN DE ACCIONES ORENTADAS A OBJETIVOS.","-"
