"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Gutiérrez Pescarmona, Martín Eduardo","2025-09-01","2243054-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Pescarmona, Martín Eduardo (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2243_2243054_martin.gutierrez (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Gutiérrez Pescarmona, Martín Eduardo","2025-09-01","2269033-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Pescarmona, Martín Eduardo (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2269_2269033_martin.gutierrez (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES","Gutiérrez Pescarmona, Martín Eduardo","2025-09-01","2175039-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Pescarmona, Martín Eduardo (2025). DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES. Universdiad Rey Juan Carlos","2025-26_2175_2175039_martin.gutierrez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Gutiérrez Pescarmona, Martín Eduardo","2025-09-01","2269012-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Pescarmona, Martín Eduardo (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2269_2269012_martin.gutierrez (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Gutiérrez Pescarmona, Martín Eduardo","2025-09-01","2243025-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Pescarmona, Martín Eduardo (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2243_2243025_martin.gutierrez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Gutiérrez Pescarmona, Martín Eduardo","2025-09-01","2059008-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Pescarmona, Martín Eduardo (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2059_2059008_martin.gutierrez (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Gutiérrez Pescarmona, Martín Eduardo","2025-09-01","2073033-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Pescarmona, Martín Eduardo (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2073_2073033_martin.gutierrez (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Gutiérrez Pescarmona, Martín Eduardo","2025-09-01","2073048-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Pescarmona, Martín Eduardo (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2073_2073048_martin.gutierrez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Gutiérrez Pescarmona, Martín Eduardo","2025-09-01","2073012-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Pescarmona, Martín Eduardo (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2073_2073012_martin.gutierrez (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Gutiérrez Pescarmona, Martín Eduardo","2025-09-01","2269048-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Pescarmona, Martín Eduardo (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2269_2269048_martin.gutierrez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Gutiérrez Pescarmona, Martín Eduardo","2025-09-01","2243010-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Pescarmona, Martín Eduardo (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2243_2243010_martin.gutierrez (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES","Gutiérrez Pescarmona, Martín Eduardo","2025-09-01","2321041-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Pescarmona, Martín Eduardo (2025). DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES. Universdiad Rey Juan Carlos","2025-26_2321_2321041_martin.gutierrez (Universidad Rey Juan Carlos)"
