"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"NUTORO: UNA RED SOCIAL DE RECETAS SALUDABLES","Gutiérrez Peña, Gema (Cotutor); González de Lena Alonso, María Teresa (Tutor)","2025-09-05","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Gutiérrez Peña, Gema (Cotutor); González de Lena Alonso, María Teresa (Tutor) (2025). NUTORO: UNA RED SOCIAL DE RECETAS SALUDABLES.","-"
"PROCESO DE DESARROLLO SOFTWARE DE NUTORO","Gutiérrez Peña, Gema (Cotutor); González de Lena Alonso, María Teresa (Tutor)","2025-09-05","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Gutiérrez Peña, Gema (Cotutor); González de Lena Alonso, María Teresa (Tutor) (2025). PROCESO DE DESARROLLO SOFTWARE DE NUTORO.","-"
"PROCESOS DE SOFTWARE","Gutiérrez Peña, Gema","2025-09-01","2034023-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Peña, Gema (2025). PROCESOS DE SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2034_2034023_gema.gutierrez (Universidad Rey Juan Carlos)"
"MODELADO DEL SOFTWARE","Gutiérrez Peña, Gema","2025-09-01","2028028-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Peña, Gema (2025). MODELADO DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2028_2028028_gema.gutierrez (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","Gutiérrez Peña, Gema","2025-09-01","2034018-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Peña, Gema (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2034_2034018_gema.gutierrez (Universidad Rey Juan Carlos)"
"MODELADO DEL SOFTWARE","Gutiérrez Peña, Gema","2025-09-01","2347028-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Peña, Gema (2025). MODELADO DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2347_2347028_gema.gutierrez (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","Gutiérrez Peña, Gema","2025-09-01","2117022-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Peña, Gema (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2117_2117022_gema.gutierrez (Universidad Rey Juan Carlos)"
"PROCESOS DE SOFTWARE","Gutiérrez Peña, Gema","2025-09-01","2316038-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Peña, Gema (2025). PROCESOS DE SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2316_2316038_gema.gutierrez (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","Gutiérrez Peña, Gema","2025-09-01","2114018-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Peña, Gema (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2114_2114018_gema.gutierrez (Universidad Rey Juan Carlos)"
"MODELADO DEL SOFTWARE","Gutiérrez Peña, Gema","2025-09-01","2299055-2299","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gutiérrez Peña, Gema (2025). MODELADO DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2299_2299055_gema.gutierrez (Universidad Rey Juan Carlos)"
