"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"BASES DE DATOS","Gómez Macías, Cristian","2025-09-01","2316013-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Macías, Cristian (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2316_2316013_cristian.gomez (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Gómez Macías, Cristian","2025-09-01","2221005-2221","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Macías, Cristian (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2221_2221005_cristian.gomez (Universidad Rey Juan Carlos)"
"NUEVAS TENDENCIAS EN INGENIERÍA DE SISTEMAS DE INFORMACIÓN","Gómez Macías, Cristian","2025-09-01","609501-6095","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Macías, Cristian (2025). NUEVAS TENDENCIAS EN INGENIERÍA DE SISTEMAS DE INFORMACIÓN. Universdiad Rey Juan Carlos","2025-26_6095_609501_cristian.gomez (Universidad Rey Juan Carlos)"
"BASES DE DATOS NO RELACIONALES","Gómez Macías, Cristian","2025-09-01","2360033-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Macías, Cristian (2025). BASES DE DATOS NO RELACIONALES. Universdiad Rey Juan Carlos","2025-26_2360_2360033_cristian.gomez (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Gómez Macías, Cristian","2025-09-01","2176006-2176","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Macías, Cristian (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2176_2176006_cristian.gomez (Universidad Rey Juan Carlos)"
"GESTION DE DATOS EN MEDIOS DIGITALES","Gómez Macías, Cristian","2025-09-01","2265031-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Macías, Cristian (2025). GESTION DE DATOS EN MEDIOS DIGITALES. Universdiad Rey Juan Carlos","2025-26_2265_2265031_cristian.gomez (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Gómez Macías, Cristian","2025-09-01","2114013-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Macías, Cristian (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2114_2114013_cristian.gomez (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Gómez Macías, Cristian","2025-09-01","2118016-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Macías, Cristian (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2118_2118016_cristian.gomez (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Gómez Macías, Cristian","2025-09-01","2034014-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Macías, Cristian (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2034_2034014_cristian.gomez (Universidad Rey Juan Carlos)"
"Visualización y Diseño de Informes Interactivos","Gómez Macías, Cristian","2025-09-01","473703-4737","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Macías, Cristian (2025). Visualización y Diseño de Informes Interactivos. Universdiad Rey Juan Carlos","2025-26_4737_473703_cristian.gomez (Universidad Rey Juan Carlos)"
