"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"LENGUAJES FORMALES","Gómez Miguel, Javier","2025-09-01","2348047-2348","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Miguel, Javier (2025). LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2348_2348047_javier.gomez (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Gómez Miguel, Javier","2025-09-01","2173006-2173","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Miguel, Javier (2025). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2025-26_2173_2173006_javier.gomez (Universidad Rey Juan Carlos)"
"LAS TIC EN LA EDUCACION","Gómez Miguel, Javier","2025-09-01","2102006-2102","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Miguel, Javier (2025). LAS TIC EN LA EDUCACION. Universdiad Rey Juan Carlos","2025-26_2102_2102006_javier.gomez (Universidad Rey Juan Carlos)"
"TEORIA DE AUTOMATAS Y LENGUAJES FORMALES","Gómez Miguel, Javier","2025-09-01","2059015-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Miguel, Javier (2025). TEORIA DE AUTOMATAS Y LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2059_2059015_javier.gomez (Universidad Rey Juan Carlos)"
"TEORIA DE AUTOMATAS Y LENGUAJES FORMALES","Gómez Miguel, Javier","2025-09-01","2243027-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Miguel, Javier (2025). TEORIA DE AUTOMATAS Y LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2243_2243027_javier.gomez (Universidad Rey Juan Carlos)"
"LENGUAJES FORMALES","Gómez Miguel, Javier","2025-09-01","2178047-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Miguel, Javier (2025). LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2178_2178047_javier.gomez (Universidad Rey Juan Carlos)"
"LENGUAJES FORMALES","Gómez Miguel, Javier","2025-09-01","2028025-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Miguel, Javier (2025). LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2028_2028025_javier.gomez (Universidad Rey Juan Carlos)"
"TEORIA DE AUTOMATAS Y LENGUAJES FORMALES","Gómez Miguel, Javier","2025-09-01","2269034-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Miguel, Javier (2025). TEORIA DE AUTOMATAS Y LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2269_2269034_javier.gomez (Universidad Rey Juan Carlos)"
"LAS TIC EN LA EDUCACION","Gómez Miguel, Javier","2025-09-01","2019006-2019","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Miguel, Javier (2025). LAS TIC EN LA EDUCACION. Universdiad Rey Juan Carlos","2025-26_2019_2019006_javier.gomez (Universidad Rey Juan Carlos)"
"LENGUAJES FORMALES","Gómez Miguel, Javier","2025-09-01","2118040-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Miguel, Javier (2025). LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2118_2118040_javier.gomez (Universidad Rey Juan Carlos)"
"LAS TIC EN LA EDUCACION","Gómez Miguel, Javier","2025-09-01","2210009-2210","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Miguel, Javier (2025). LAS TIC EN LA EDUCACION. Universdiad Rey Juan Carlos","2025-26_2210_2210009_javier.gomez (Universidad Rey Juan Carlos)"
"LENGUAJES FORMALES","Gómez Miguel, Javier","2025-09-01","2316028-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Miguel, Javier (2025). LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2316_2316028_javier.gomez (Universidad Rey Juan Carlos)"
