"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INTERACCION PERSONA-ORDENADOR","Gómez Pérez, Ana Isabel","2025-09-01","2113025-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Pérez, Ana Isabel (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2113_2113025_ana.gomez.perez (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Gómez Pérez, Ana Isabel","2025-09-01","2321027-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Pérez, Ana Isabel (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2321_2321027_ana.gomez.perez (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Gómez Pérez, Ana Isabel","2025-09-01","2032024-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Pérez, Ana Isabel (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2032_2032024_ana.gomez.perez (Universidad Rey Juan Carlos)"
"INFORMATICA TEORICA Y LENGUAJES FORMALES","Gómez Pérez, Ana Isabel","2025-09-01","2361013-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Pérez, Ana Isabel (2025). INFORMATICA TEORICA Y LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2361_2361013_ana.gomez.perez (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA CIBERSEGURIDAD","Gómez Pérez, Ana Isabel","2025-09-01","2285002-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Pérez, Ana Isabel (2025). INTRODUCCION A LA CIBERSEGURIDAD. Universdiad Rey Juan Carlos","2025-26_2285_2285002_ana.gomez.perez (Universidad Rey Juan Carlos)"
"New Strategies for Global Optimum Search in Variance-Based k-Clustering","GÓMEZ PÉREZ, DOMINGO (Director) ; Gómez Pérez, Ana Isabel (Otros) Doctorando: FRANCISCO JAVIER SOTO SANCHEZ","2025-06-19","-","-","Dirección de Tesis, TFG, TFM, etc.","Tesis Doctoral","-","-","-","-","-","-","-","GÓMEZ PÉREZ, DOMINGO (Director) ; Gómez Pérez, Ana Isabel (Otros) Doctorando: FRANCISCO JAVIER SOTO SANCHEZ (2025). New Strategies for Global Optimum Search in Variance-Based k-Clustering. Universdiad Rey Juan Carlos","-"
"ESTUDIO E IMPLEMENTACIÓN DEL PROTOCOLO  ALBATROSS PARA LA GENERACIÓN DE ALEATORIEDAD","Gómez Pérez, Ana Isabel (Tutor)","2025-01-27","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Gómez Pérez, Ana Isabel (Tutor) (2025). ESTUDIO E IMPLEMENTACIÓN DEL PROTOCOLO  ALBATROSS PARA LA GENERACIÓN DE ALEATORIEDAD.","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Gómez Pérez, Ana Isabel","2025-01-01","1813512-5244","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"FRUTIKIA, CREACIÓN Y ESTUDIO PARA EL MERCADO ESPAÑOL DE UNA MARKETPLACE DE COSMÉTICA","Gómez Pérez, Ana Isabel (Tutor)","2024-11-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Gómez Pérez, Ana Isabel (Tutor) (2024). FRUTIKIA, CREACIÓN Y ESTUDIO PARA EL MERCADO ESPAÑOL DE UNA MARKETPLACE DE COSMÉTICA.","-"
"INFORMATICA TEORICA Y LENGUAJES FORMALES","Gómez Pérez, Ana Isabel","2024-09-01","2361013-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Gómez Pérez, Ana Isabel (2024). INFORMATICA TEORICA Y LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2024-25_2361_2361013_ana.gomez.perez (Universidad Rey Juan Carlos)"
