"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"METODOLOGIA DE LA PROGRAMACION","Hernán Losada, Isidoro","2025-09-01","2178027-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). METODOLOGIA DE LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2178_2178027_isidoro.hernan (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Hernán Losada, Isidoro","2025-09-01","2061012-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2061_2061012_isidoro.hernan (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Hernán Losada, Isidoro","2025-09-01","2321009-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2321_2321009_isidoro.hernan (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Hernán Losada, Isidoro","2025-09-01","2033009-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2033_2033009_isidoro.hernan (Universidad Rey Juan Carlos)"
"METODOLOGIA DE LA PROGRAMACION","Hernán Losada, Isidoro","2025-09-01","2299028-2299","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). METODOLOGIA DE LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2299_2299028_isidoro.hernan (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Hernán Losada, Isidoro","2025-09-01","2117011-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2117_2117011_isidoro.hernan (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Hernán Losada, Isidoro","2025-09-01","2114007-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2114_2114007_isidoro.hernan (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Hernán Losada, Isidoro","2025-09-01","2315002-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2315_2315002_isidoro.hernan (Universidad Rey Juan Carlos)"
"DIDÁCTICAS DE LA INFORMÁTICA Y TECNOLOGÍA","Hernán Losada, Isidoro","2025-09-01","638810-6388","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). DIDÁCTICAS DE LA INFORMÁTICA Y TECNOLOGÍA. Universdiad Rey Juan Carlos","2025-26_6388_638810_isidoro.hernan (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Hernán Losada, Isidoro","2025-09-01","2033004-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2033_2033004_isidoro.hernan (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Hernán Losada, Isidoro","2025-09-01","2175007-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2175_2175007_isidoro.hernan (Universidad Rey Juan Carlos)"
"PROGRAMACION AVANZADA","Hernán Losada, Isidoro","2025-09-01","2321022-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). PROGRAMACION AVANZADA. Universdiad Rey Juan Carlos","2025-26_2321_2321022_isidoro.hernan (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Hernán Losada, Isidoro","2025-09-01","2315009-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2315_2315009_isidoro.hernan (Universidad Rey Juan Carlos)"
"PROGRAMACION AVANZADA","Hernán Losada, Isidoro","2025-09-01","2175017-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). PROGRAMACION AVANZADA. Universdiad Rey Juan Carlos","2025-26_2175_2175017_isidoro.hernan (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Hernán Losada, Isidoro","2025-09-01","2117004-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2117_2117004_isidoro.hernan (Universidad Rey Juan Carlos)"
"INVESTIGACIÓN EDUCATIVA APLICADA A LA INFORMÁTICA Y LA TECNOLOGÍA","Hernán Losada, Isidoro","2025-09-01","638804-6388","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). INVESTIGACIÓN EDUCATIVA APLICADA A LA INFORMÁTICA Y LA TECNOLOGÍA. Universdiad Rey Juan Carlos","2025-26_6388_638804_isidoro.hernan (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Hernán Losada, Isidoro","2025-09-01","2097011-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernán Losada, Isidoro (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2097_2097011_isidoro.hernan (Universidad Rey Juan Carlos)"
