"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PROBABILIDAD","Hernández Alonso, Sonia","2025-09-01","2028010-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández Alonso, Sonia (2025). PROBABILIDAD. Universdiad Rey Juan Carlos","2025-26_2028_2028010_sonia.hernandez (Universidad Rey Juan Carlos)"
"Estadística","Hernández Alonso, Sonia","2025-09-01","2401009-2401","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández Alonso, Sonia (2025). Estadística. Universdiad Rey Juan Carlos","2025-26_2401_2401009_sonia.hernandez (Universidad Rey Juan Carlos)"
"MATEMATICAS III","Hernández Alonso, Sonia","2025-09-01","2336009-2336","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández Alonso, Sonia (2025). MATEMATICAS III. Universdiad Rey Juan Carlos","2025-26_2336_2336009_sonia.hernandez (Universidad Rey Juan Carlos)"
"BIOESTADISTICA","Hernández Alonso, Sonia","2025-09-01","2365010-2365","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández Alonso, Sonia (2025). BIOESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2365_2365010_sonia.hernandez (Universidad Rey Juan Carlos)"
"PROBABILIDAD","Hernández Alonso, Sonia","2025-09-01","2316033-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández Alonso, Sonia (2025). PROBABILIDAD. Universdiad Rey Juan Carlos","2025-26_2316_2316033_sonia.hernandez (Universidad Rey Juan Carlos)"
"BIOESTADISTICA","Hernández Alonso, Sonia","2025-09-01","2026014-2026","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández Alonso, Sonia (2025). BIOESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2026_2026014_sonia.hernandez (Universidad Rey Juan Carlos)"
"BIOESTADISTICA","Hernández Alonso, Sonia","2025-09-01","2317010-2317","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández Alonso, Sonia (2025). BIOESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2317_2317010_sonia.hernandez (Universidad Rey Juan Carlos)"
"MATEMATICAS III","Hernández Alonso, Sonia","2025-09-01","2119009-2119","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández Alonso, Sonia (2025). MATEMATICAS III. Universdiad Rey Juan Carlos","2025-26_2119_2119009_sonia.hernandez (Universidad Rey Juan Carlos)"
"PROBABILIDAD","Hernández Alonso, Sonia","2025-09-01","2347010-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández Alonso, Sonia (2025). PROBABILIDAD. Universdiad Rey Juan Carlos","2025-26_2347_2347010_sonia.hernandez (Universidad Rey Juan Carlos)"
"PROBABILIDAD","Hernández Alonso, Sonia","2025-09-01","2315034-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández Alonso, Sonia (2025). PROBABILIDAD. Universdiad Rey Juan Carlos","2025-26_2315_2315034_sonia.hernandez (Universidad Rey Juan Carlos)"
