"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"APRENDIZAJE AUTOMÁTICO III","Hernández García, Sergio","2025-09-01","2361031-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). APRENDIZAJE AUTOMÁTICO III. Universdiad Rey Juan Carlos","2025-26_2361_2361031_sergio.hernandez (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Hernández García, Sergio","2025-09-01","2059026-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2059_2059026_sergio.hernandez (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Hernández García, Sergio","2025-09-01","2114029-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2114_2114029_sergio.hernandez (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Hernández García, Sergio","2025-09-01","2269061-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2269_2269061_sergio.hernandez (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Hernández García, Sergio","2025-09-01","2117044-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2117_2117044_sergio.hernandez (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Hernández García, Sergio","2025-09-01","2269051-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2269_2269051_sergio.hernandez (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Hernández García, Sergio","2025-09-01","2243042-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2243_2243042_sergio.hernandez (Universidad Rey Juan Carlos)"
"DESARROLLO DE JUEGOS CON INTELIGENCIA ARTIFICIAL","Hernández García, Sergio","2025-09-01","2265024-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). DESARROLLO DE JUEGOS CON INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2265_2265024_sergio.hernandez (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Hernández García, Sergio","2025-09-01","2073051-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2073_2073051_sergio.hernandez (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Hernández García, Sergio","2025-09-01","2315042-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2315_2315042_sergio.hernandez (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Hernández García, Sergio","2025-09-01","2073061-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2073_2073061_sergio.hernandez (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Hernández García, Sergio","2025-09-01","2033030-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2033_2033030_sergio.hernandez (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Hernández García, Sergio","2025-09-01","2059030-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2059_2059030_sergio.hernandez (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Hernández García, Sergio","2025-09-01","2321023-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2321_2321023_sergio.hernandez (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Hernández García, Sergio","2025-09-01","2113018-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2113_2113018_sergio.hernandez (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Hernández García, Sergio","2025-09-01","2032019-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2032_2032019_sergio.hernandez (Universidad Rey Juan Carlos)"
"PROCESADORES DE LENGUAJES","Hernández García, Sergio","2025-09-01","2113030-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hernández García, Sergio (2025). PROCESADORES DE LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2113_2113030_sergio.hernandez (Universidad Rey Juan Carlos)"
