"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INFORMATICA GRAFICA","Herrán González, Alberto","2025-09-01","2114046-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Herrán González, Alberto (2025). INFORMATICA GRAFICA. Universdiad Rey Juan Carlos","2025-26_2114_2114046_alberto.herran (Universidad Rey Juan Carlos)"
"INFORMATICA GRAFICA","Herrán González, Alberto","2025-09-01","2033031-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Herrán González, Alberto (2025). INFORMATICA GRAFICA. Universdiad Rey Juan Carlos","2025-26_2033_2033031_alberto.herran (Universidad Rey Juan Carlos)"
"INFORMATICA GRAFICA","Herrán González, Alberto","2025-09-01","2059031-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Herrán González, Alberto (2025). INFORMATICA GRAFICA. Universdiad Rey Juan Carlos","2025-26_2059_2059031_alberto.herran (Universidad Rey Juan Carlos)"
"INFORMATICA GRAFICA","Herrán González, Alberto","2025-09-01","2061031-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Herrán González, Alberto (2025). INFORMATICA GRAFICA. Universdiad Rey Juan Carlos","2025-26_2061_2061031_alberto.herran (Universidad Rey Juan Carlos)"
"Two-phase GRASP for the Multi-Constraint Graph Partitioning problem","Herrán, A; Colmenar, JM; Resende, MGC","2025-04-01","10.1016/j.cor.2024.106946","Y","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Arquitetura e urbanismo; Biotecnología; Ciência da computação; Ciencias sociales; Computer science (all); Computer science (miscellaneous); Computer science, interdisciplinary applications; Economia; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Engineering, industrial; General computer science; Interdisciplinar; Management science and operations research; Matemática / probabilidade e estatística; Modeling and simulation; Operations research & management science","Computers & Operations Research","1.605","-","-","-","Q1","Herrán, A; Colmenar, JM; Resende, MGC (2025). Two-phase GRASP for the Multi-Constraint Graph Partitioning problem. Computers & Operations Research, 176(), 106946-. DOI: 10.1016/j.cor.2024.106946","2-s2.0-85212407319 (Scopus);WOS:001392941500001 (WoS)"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Herrán González, Alberto","2025-01-01","1813518-5254","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Ciberseguridad e inteligencia artificial resiliente para la Comunidad de Madrid. (GRAFO)","Serrano Luján, Lucía (Investigador/a); Penedo Ventosa, Iván (Investigador/a); Pérez Peló, Sergio (Investigador/a); Martín García, Lucas (Investigador/a); Cavero Díaz, Sergio (Investigador/a); Colmenar Verdugo, José Manuel (Investigador/a); Salazar Cárdenas, Sergio (Investigador/a); Martín Santamaría, Raúl (Investigador/a); Ventura Cabrejas, Silvia (Investigador/a); Lozano Osorio, Isaac (Investigador/a); García Pardo, Eduardo (Investigador/a); Herrán González, Alberto (Investigador/a); Casado Ceballos, Alejandra (Investigador/a); Diaconescu, Teodor Andrei (Investigador/a); Duarte Muñoz, Abraham (Investigador/a); Sánchez-Oro Calvo, Jesús (Investigador principal (IP)); Yuste Moure, Javier (Investigador/a); Fernández Timón, Alfonso (Investigador/a); González Pardo, Antonio (Investigador/a); Robles Rodríguez, Marcos (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Viejo Fernández, Manuel (Investigador/a)","2025-01-01","TEC-2024/COM-404","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:TEC-2024/COM-404. Ciberseguridad e inteligencia artificial resiliente para la Comunidad de Madrid. (GRAFO). Serrano Luján, Lucía (Investigador/a); Penedo Ventosa, Iván (Investigador/a); Pérez Peló, Sergio (Investigador/a); Martín García, Lucas (Investigador/a); Cavero Díaz, Sergio (Investigador/a); Colmenar Verdugo, José Manuel (Investigador/a); Salazar Cárdenas, Sergio (Investigador/a); Martín Santamaría, Raúl (Investigador/a); Ventura Cabrejas, Silvia (Investigador/a); Lozano Osorio, Isaac (Investigador/a); García Pardo, Eduardo (Investigador/a); Herrán González, Alberto (Investigador/a); Casado Ceballos, Alejandra (Investigador/a); Diaconescu, Teodor Andrei (Investigador/a); Duarte Muñoz, Abraham (Investigador/a); Sánchez-Oro Calvo, Jesús (Investigador principal (IP)); Yuste Moure, Javier (Investigador/a); Fernández Timón, Alfonso (Investigador/a); González Pardo, Antonio (Investigador/a); Robles Rodríguez, Marcos (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Viejo Fernández, Manuel (Investigador/a).  Financiadora: Comunidad de Madrid  (2025-01-01 / 2028-12-31)","M3832 (Universidad Rey Juan Carlos)"
"Path relinking strategies for the bi-objective double floor corridor allocation problem","Uribe, NR; Herran, A; Colmenar, JM","2024-12-03","10.1016/j.knosys.2024.112666","Y","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Artificial intelligence; Astronomia / física; Ciência da computação; Ciências biológicas i; Ciencias sociales; Computer science, artificial intelligence; Comunicación e información; Economia; Engenharias iii; Engenharias iv; Información y documentación; Information systems and management; Interdisciplinar; Management information systems; Matemática / probabilidade e estatística; Software","Knowledge-Based Systems","1.934","-","-","-","Q1","Uribe, NR; Herran, A; Colmenar, JM (2024). Path relinking strategies for the bi-objective double floor corridor allocation problem. Knowledge-Based Systems, 305(), 112666-. DOI: 10.1016/j.knosys.2024.112666","10.1016/j.knosys.2024.112666 (Crossref);2-s2.0-85208056972 (Scopus);WOS:001352661400001 (WoS)"
"INFORMATICA GRAFICA","Herrán González, Alberto","2024-09-01","2061031-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Herrán González, Alberto (2024). INFORMATICA GRAFICA. Universdiad Rey Juan Carlos","2024-25_2061_2061031_alberto.herran (Universidad Rey Juan Carlos)"
"INFORMATICA GRAFICA","Herrán González, Alberto","2024-09-01","2033031-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Herrán González, Alberto (2024). INFORMATICA GRAFICA. Universdiad Rey Juan Carlos","2024-25_2033_2033031_alberto.herran (Universidad Rey Juan Carlos)"
"INFORMATICA GRAFICA","Herrán González, Alberto","2024-09-01","2059031-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Herrán González, Alberto (2024). INFORMATICA GRAFICA. Universdiad Rey Juan Carlos","2024-25_2059_2059031_alberto.herran (Universidad Rey Juan Carlos)"
"INFORMATICA GRAFICA","Herrán González, Alberto","2024-09-01","2114046-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Herrán González, Alberto (2024). INFORMATICA GRAFICA. Universdiad Rey Juan Carlos","2024-25_2114_2114046_alberto.herran (Universidad Rey Juan Carlos)"
"A GRASP method for the Bi-Objective Multiple Row Equal Facility Layout Problem","Uribe, NR; Herrán, A; Colmenar, JM","2024-09-01","10.1016/j.asoc.2024.111897","Y","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Biotecnología; Ciência da computação; Ciência de alimentos; Computer science, artificial intelligence; Computer science, interdisciplinary applications; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Interdisciplinar; Matemática / probabilidade e estatística; Software","Applied Soft Computing","1.511","-","-","-","Q1","Uribe, NR; Herrán, A; Colmenar, JM (2024). A GRASP method for the Bi-Objective Multiple Row Equal Facility Layout Problem. Applied Soft Computing, 163(), 111897-. DOI: 10.1016/j.asoc.2024.111897","10.1016/j.asoc.2024.111897 (Crossref);2-s2.0-85197348838 (Scopus);9819891 (iMarina);WOS:001282636700001 (WoS)"
"A Practical Methodology for Reproducible Experimentation: An Application to the Double-Row Facility Layout Problem","Martín-Santamaría, R; Cavero, S; Herrán, A; Duarte, A; Colmenar, JM","2024-03-01","10.1162/evco_a_00317","-","Publicaciones","Artículo","Ciência da computação; Computational mathematics; Computer science, artificial intelligence; Computer science, theory & methods; Engenharias iii; Engenharias iv; Ensino; Interdisciplinar; Matemática / probabilidade e estatística; Medicine (all); Planejamento urbano e regional / demografia","Evolutionary Computation","0.713","0","-","-","Q2","Martín-Santamaría, R; Cavero, S; Herrán, A; Duarte, A; Colmenar, JM (2024). A Practical Methodology for Reproducible Experimentation: An Application to the Double-Row Facility Layout Problem. Evolutionary Computation, 32(1), 69-104. DOI: 10.1162/evco_a_00317","36395509 (PMID);2-s2.0-85186749203 (Scopus);36395509 (Europe PMC);36395509 (Pubmed);9793842 (iMarina);WOS:001173281400001 (WoS)"
"A Path Relinking-Based Approach for the Bi-Objective Double Floor Corridor Allocation Problem","Uribe, NR; Herrán, A; Colmenar, JM","2024-01-01","10.1007/978-3-031-62799-6_12","-","Publicaciones","Conferencia Publicada","Administração pública e de empresas, ciências contábeis e turismo; Arquitetura, urbanismo e design; Ciência da computação; Ciências ambientais; Educação; Engenharias iv; Geociências; Interdisciplinar; Linguística e literatura","14th Conference On Artificial Intelligence In Medicine, Aime 2013","-","-","-","-","-","Uribe, NR; Herrán, A; Colmenar, JM (2024). A Path Relinking-Based Approach for the Bi-Objective Double Floor Corridor Allocation Problem. : Springer International Publishing AG","10.1007/978-3-031-62799-6_12 (Crossref);2-s2.0-85197238790 (Scopus);WOS:001281306800012 (WoS)"
