"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INTRODUCCION A LA PROGRAMACION","Hortelano Haro, Diego","2025-09-01","2032004-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hortelano Haro, Diego (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2032_2032004_diego.hortelano (Universidad Rey Juan Carlos)"
"GESTION DE DATOS EN MEDIOS DIGITALES","Hortelano Haro, Diego","2025-09-01","2175031-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hortelano Haro, Diego (2025). GESTION DE DATOS EN MEDIOS DIGITALES. Universdiad Rey Juan Carlos","2025-26_2175_2175031_diego.hortelano (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Hortelano Haro, Diego","2025-09-01","2113004-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hortelano Haro, Diego (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2113_2113004_diego.hortelano (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Hortelano Haro, Diego","2025-09-01","2285003-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hortelano Haro, Diego (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2285_2285003_diego.hortelano (Universidad Rey Juan Carlos)"
"GESTION DE DATOS EN MEDIOS DIGITALES","Hortelano Haro, Diego","2025-09-01","2265031-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hortelano Haro, Diego (2025). GESTION DE DATOS EN MEDIOS DIGITALES. Universdiad Rey Juan Carlos","2025-26_2265_2265031_diego.hortelano (Universidad Rey Juan Carlos)"
"GESTION DE DATOS EN MEDIOS DIGITALES","Hortelano Haro, Diego","2025-09-01","2321033-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hortelano Haro, Diego (2025). GESTION DE DATOS EN MEDIOS DIGITALES. Universdiad Rey Juan Carlos","2025-26_2321_2321033_diego.hortelano (Universidad Rey Juan Carlos)"
"Diseño, implementación y evaluación de redes neuronales tolerantes a fallos en hardware de alto rendimiento, destinadas a aplicaciones de conducción y control autónomo de vehículos espaciales.","Hortelano Haro, Diego (Investigador/a); Schiavi, Emanuele (Investigador/a); Aranda Barjola, Luis Alberto (Investigador principal (IP)); Ramírez Díaz, Iván (Investigador principal (IP)); Cuesta Infante, Alfredo (Investigador/a)","2025-01-01","2024/SOLCON-135334","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-135334. Diseño, implementación y evaluación de redes neuronales tolerantes a fallos en hardware de alto rendimiento, destinadas a aplicaciones de conducción y control autónomo de vehículos espaciales.. Hortelano Haro, Diego (Investigador/a); Schiavi, Emanuele (Investigador/a); Aranda Barjola, Luis Alberto (Investigador principal (IP)); Ramírez Díaz, Iván (Investigador principal (IP)); Cuesta Infante, Alfredo (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3710 (Universidad Rey Juan Carlos)"
"Adquisición de equipamiento para Altas Capacidades Computación.","Concha Gómez, David (Investigador/a); Lozano Osorio, Isaac (Investigador/a); Martín Santamaría, Raúl (Investigador principal (IP)); Cavero Díaz, Sergio (Investigador/a); Pérez Peló, Sergio (Investigador/a); Aranda Barjola, Luis Alberto (Investigador/a); García Espinosa, Francisco José (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Maes Bermejo, Michel (Investigador/a); Moreno San Segundo, José Ángel (Investigador/a); Ramírez Díaz, Iván (Investigador/a); Hortelano Haro, Diego (Investigador/a); Yuste Moure, Javier (Investigador/a)","2025-01-01","2024/SOLCON-64631","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-64631. Adquisición de equipamiento para Altas Capacidades Computación.. Concha Gómez, David (Investigador/a); Lozano Osorio, Isaac (Investigador/a); Martín Santamaría, Raúl (Investigador principal (IP)); Cavero Díaz, Sergio (Investigador/a); Pérez Peló, Sergio (Investigador/a); Aranda Barjola, Luis Alberto (Investigador/a); García Espinosa, Francisco José (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Maes Bermejo, Michel (Investigador/a); Moreno San Segundo, José Ángel (Investigador/a); Ramírez Díaz, Iván (Investigador/a); Hortelano Haro, Diego (Investigador/a); Yuste Moure, Javier (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3693 (Universidad Rey Juan Carlos)"
"GESTION DE DATOS EN MEDIOS DIGITALES","Hortelano Haro, Diego","2024-09-01","2265031-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hortelano Haro, Diego (2024). GESTION DE DATOS EN MEDIOS DIGITALES. Universdiad Rey Juan Carlos","2024-25_2265_2265031_diego.hortelano (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Hortelano Haro, Diego","2024-09-01","2285003-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hortelano Haro, Diego (2024). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2285_2285003_diego.hortelano (Universidad Rey Juan Carlos)"
